instance,class,experiment,s1_name,s2_name,sweep_param,sweep_weight,s1_cost,s1_time,s1_optimal,s2_cost,s2_time,s2_optimal,total_trips,total_used_trips,R_1,R_TR,R_arc,A_1,concentrated_trips,mono_trips,overloaded_trips,empty_trips,max_concentration,s1_transport_cost,s1_underdiversified
paper_data,paper,epsilon-pareto,S1-eps0,S2-FULL,epsilon,0,4466,1483.21,True,"[0, 65, 4410]",0.682,False,46,45,0.0,0.0,0.0,0.7,0,13,0,1,1.0,4466,0
paper_data,paper,epsilon-pareto,S1-eps1,S2-FULL,epsilon,1,4466,1799.043,False,"[0, 70, 4410]",0.172,False,47,46,0.0,0.0,0.0,0.7,0,14,0,1,1.0,4466,1
paper_data,paper,epsilon-pareto,S1-eps2,S2-FULL,epsilon,2,4466,1799.05,False,"[0, 95, 4355]",105.241,False,47,46,0.0,0.0,0.0,0.8,0,19,1,1,1.0,4466,2
paper_data,paper,epsilon-pareto,S1-eps3,S2-FULL,epsilon,3,4466,1799.056,False,"[0, 60, 4346]",23.79,False,47,46,0.0,0.0,0.0,0.7,0,12,6,1,1.0,4466,3
paper_data,paper,epsilon-pareto,S1-eps4,S2-FULL,epsilon,4,4466,1799.075,False,"[0, 30, 4247]",0.202,False,47,45,0.0,0.0,0.0,0.7,0,6,5,2,1.0,4466,1
paper_data,paper,epsilon-pareto,S1-eps5,S2-FULL,epsilon,5,4466,1799.045,False,"[0, 50, 4275]",17.824,False,46,44,0.0,0.0,0.0,0.8,0,10,5,2,1.0,4466,2
paper_data,paper,epsilon-pareto,S1-eps6,S2-FULL,epsilon,6,4466,1799.037,False,"[0, 35, 4265]",0.193,False,46,44,0.0,0.0,0.0,0.7,0,7,9,2,1.0,4466,4
paper_data,paper,epsilon-pareto,S1-eps7,S2-FULL,epsilon,7,4522,1799.049,False,"[10, 90, 4523]",25.477,False,45,45,0.0,0.0,0.0,0.8,1,18,1,0,1.0,4522,2
paper_data,paper,epsilon-pareto,S1-eps8,S2-FULL,epsilon,8,4494,1799.058,False,"[0, 15, 4274]",0.011,False,47,45,0.0,0.0,0.0,0.8,0,3,4,2,1.0,4494,3
paper_data,paper,epsilon-pareto,S1-eps9,S2-FULL,epsilon,9,4522,1799.047,False,"[0, 35, 4151]",78.977,False,49,45,0.0,0.0,0.0,0.7,0,7,7,4,1.0,4522,4
paper_data,paper,epsilon-pareto,S1-eps10,S2-FULL,epsilon,10,4466,1799.039,False,"[0, 30, 4248]",3.798,False,47,45,0.5,0.0,0.0,0.8,0,6,6,2,0.5,4466,3
