instance,class,experiment,s1_name,s2_name,sweep_param,sweep_weight,s1_cost,s1_time,s1_optimal,s2_cost,s2_time,s2_optimal,total_trips,total_used_trips,R_1,R_TR,R_arc,A_1,concentrated_trips,mono_trips,overloaded_trips,empty_trips,max_concentration,s1_transport_cost,s1_underdiversified
paper_data,paper,epsilon-pareto-minfreq,S1-eps0,S2-FULL,epsilon,0,0,4.595,True,"[0, 45, 4411]",4.04,False,46,45,0.0,0.0,0.0,0.7,0,9,1,1,1.0,4466,0
paper_data,paper,epsilon-pareto-minfreq,S1-eps1,S2-FULL,epsilon,1,0,5.765,True,"[0, 50, 4354]",2.401,False,47,45,0.0,0.0,0.0,0.7,0,10,0,2,1.0,4466,0
paper_data,paper,epsilon-pareto-minfreq,S1-eps2,S2-FULL,epsilon,2,0,8.142,True,"[0, 65, 4468]",223.585,False,46,46,0.0,0.0,0.0,0.8,0,13,2,0,1.0,4466,0
paper_data,paper,epsilon-pareto-minfreq,S1-eps3,S2-FULL,epsilon,3,0,7.12,True,"[0, 65, 4467]",0.675,False,46,46,0.0,0.0,0.0,0.8,0,13,1,0,1.0,4466,0
paper_data,paper,epsilon-pareto-minfreq,S1-eps4,S2-FULL,epsilon,4,0,5.909,True,"[0, 85, 4468]",133.508,False,47,47,0.0,0.0,0.0,0.8,0,17,2,0,1.0,4466,0
paper_data,paper,epsilon-pareto-minfreq,S1-eps5,S2-FULL,epsilon,5,0,5.087,True,"[0, 45, 4411]",4.252,False,46,45,0.0,0.0,0.0,0.7,0,9,1,1,1.0,4466,0
paper_data,paper,epsilon-pareto-minfreq,S1-eps6,S2-FULL,epsilon,6,0,5.896,True,"[0, 100, 4469]",600.012,False,47,47,0.0,0.0,0.0,0.8,0,20,3,0,1.0,4466,0
paper_data,paper,epsilon-pareto-minfreq,S1-eps7,S2-FULL,epsilon,7,0,5.955,True,"[0, 80, 4412]",600.012,False,47,46,0.0,0.0,0.0,0.8,0,16,2,1,1.0,4466,0
paper_data,paper,epsilon-pareto-minfreq,S1-eps8,S2-FULL,epsilon,8,0,7.058,True,"[0, 50, 4354]",1.982,False,47,45,0.0,0.0,0.0,0.8,0,10,0,2,1.0,4466,0
paper_data,paper,epsilon-pareto-minfreq,S1-eps9,S2-FULL,epsilon,9,0,5.298,True,"[0, 65, 4467]",3.354,False,46,46,0.0,0.0,0.0,0.7,0,13,1,0,1.0,4466,0
paper_data,paper,epsilon-pareto-minfreq,S1-eps10,S2-FULL,epsilon,10,0,7.819,True,"[0, 65, 4410]",0.645,False,46,45,0.0,0.0,0.0,0.7,0,13,0,1,1.0,4466,0
