instance,class,experiment,s1_name,s2_name,sweep_param,sweep_weight,s1_cost,s1_time,s1_optimal,s2_cost,s2_time,s2_optimal,total_trips,total_used_trips,R_1,R_TR,R_arc,A_1,concentrated_trips,mono_trips,overloaded_trips,empty_trips,max_concentration
medium_seed1,medium,sweep-concentration,S1-COST,sweep-concentration-w0,concentration,0,13067,119.383,False,"[0, 0, 13074314]",60.022,False,23,23,0.0,0.0,0.0,0.0,8,0,7,0,1.0
medium_seed1,medium,sweep-concentration,S1-COST,sweep-concentration-w1,concentration,1,13067,119.383,False,"[13, 0, 13074301]",60.014,False,23,23,0.0,0.0,0.0,0.0,5,0,5,0,1.0
medium_seed1,medium,sweep-concentration,S1-COST,sweep-concentration-w5,concentration,5,13067,119.383,False,"[65, 0, 13074301]",60.011,False,23,23,0.0,0.0,0.0,0.0,5,0,5,0,1.0
medium_seed1,medium,sweep-concentration,S1-COST,sweep-concentration-w10,concentration,10,13067,119.383,False,"[130, 0, 13074301]",60.028,False,23,23,0.0,0.0,0.0,0.0,5,0,5,0,1.0
medium_seed1,medium,sweep-concentration,S1-COST,sweep-concentration-w20,concentration,20,13067,119.383,False,"[260, 0, 13074301]",60.016,False,23,23,0.0,0.0,0.0,0.0,5,0,5,0,1.0
medium_seed1,medium,sweep-concentration,S1-COST,sweep-concentration-w50,concentration,50,13067,119.383,False,"[650, 0, 13074301]",60.015,False,23,23,0.0,0.0,0.0,0.0,5,0,5,0,1.0
medium_seed1,medium,sweep-concentration,S1-COST,sweep-concentration-w100,concentration,100,13067,119.383,False,"[1300, 0, 13074301]",60.014,False,23,23,0.0,0.0,0.0,0.0,5,0,5,0,1.0
medium_seed1,medium,sweep-concentration,S1-COST,sweep-concentration-w500,concentration,500,13067,119.383,False,"[6500, 0, 13074301]",60.015,False,23,23,0.0,0.0,0.0,0.0,5,0,5,0,1.0
medium_seed2,medium,sweep-concentration,S1-COST,sweep-concentration-w0,concentration,0,14422,119.41,False,"[0, 10, 14461454]",60.015,False,68,68,0.0,0.0,0.0,0.0,42,2,7,0,1.0
medium_seed2,medium,sweep-concentration,S1-COST,sweep-concentration-w1,concentration,1,14422,119.41,False,"[153, 10, 14461457]",60.014,False,68,68,0.0,0.0,0.0,0.0,41,2,9,0,1.0
medium_seed2,medium,sweep-concentration,S1-COST,sweep-concentration-w5,concentration,5,14422,119.41,False,"[765, 10, 14461457]",60.019,False,68,68,0.0,0.0,0.0,0.0,41,2,9,0,1.0
medium_seed2,medium,sweep-concentration,S1-COST,sweep-concentration-w10,concentration,10,14422,119.41,False,"[1530, 10, 14461457]",60.014,False,68,68,0.0,0.0,0.0,0.0,41,2,9,0,1.0
medium_seed2,medium,sweep-concentration,S1-COST,sweep-concentration-w20,concentration,20,14422,119.41,False,"[3060, 10, 14461457]",60.015,False,68,68,0.0,0.0,0.0,0.0,41,2,9,0,1.0
medium_seed2,medium,sweep-concentration,S1-COST,sweep-concentration-w50,concentration,50,14422,119.41,False,"[7650, 10, 14461457]",60.025,False,68,68,0.0,0.0,0.0,0.0,41,2,9,0,1.0
medium_seed2,medium,sweep-concentration,S1-COST,sweep-concentration-w100,concentration,100,14422,119.41,False,"[15300, 10, 14461457]",60.014,False,68,68,0.0,0.0,0.0,0.0,41,2,9,0,1.0
medium_seed2,medium,sweep-concentration,S1-COST,sweep-concentration-w500,concentration,500,14422,119.41,False,"[76500, 10, 14461457]",60.013,False,68,68,0.0,0.0,0.0,0.0,41,2,9,0,1.0
medium_seed3,medium,sweep-concentration,S1-COST,sweep-concentration-w0,concentration,0,6050,119.377,False,"[0, 0, 6061251]",60.013,False,20,20,0.0,0.0,0.0,0.0,11,0,1,0,1.0
medium_seed3,medium,sweep-concentration,S1-COST,sweep-concentration-w1,concentration,1,6050,119.377,False,"[30, 0, 6061251]",0.901,False,20,20,0.0,0.0,0.0,0.0,10,0,1,0,1.0
medium_seed3,medium,sweep-concentration,S1-COST,sweep-concentration-w5,concentration,5,6050,119.377,False,"[150, 0, 6061251]",0.9,False,20,20,0.0,0.0,0.0,0.0,10,0,1,0,1.0
medium_seed3,medium,sweep-concentration,S1-COST,sweep-concentration-w10,concentration,10,6050,119.377,False,"[300, 0, 6061251]",0.876,False,20,20,0.0,0.0,0.0,0.0,10,0,1,0,1.0
medium_seed3,medium,sweep-concentration,S1-COST,sweep-concentration-w20,concentration,20,6050,119.377,False,"[600, 0, 6061251]",0.914,False,20,20,0.0,0.0,0.0,0.0,10,0,1,0,1.0
medium_seed3,medium,sweep-concentration,S1-COST,sweep-concentration-w50,concentration,50,6050,119.377,False,"[1500, 0, 6061251]",0.883,False,20,20,0.0,0.0,0.0,0.0,10,0,1,0,1.0
medium_seed3,medium,sweep-concentration,S1-COST,sweep-concentration-w100,concentration,100,6050,119.377,False,"[3000, 0, 6061251]",0.892,False,20,20,0.0,0.0,0.0,0.0,10,0,1,0,1.0
medium_seed3,medium,sweep-concentration,S1-COST,sweep-concentration-w500,concentration,500,6050,119.377,False,"[15000, 0, 6061251]",0.906,False,20,20,0.0,0.0,0.0,0.0,10,0,1,0,1.0
medium_seed5,medium,sweep-concentration,S1-COST,sweep-concentration-w0,concentration,0,8277,119.374,False,"[0, 0, 8285572]",0.138,False,16,16,0.0,0.0,0.0,0.0,5,0,0,0,1.0
medium_seed5,medium,sweep-concentration,S1-COST,sweep-concentration-w1,concentration,1,8277,119.374,False,"[15, 0, 8285572]",0.38,False,16,16,0.0,0.0,0.0,0.0,4,0,0,0,1.0
medium_seed5,medium,sweep-concentration,S1-COST,sweep-concentration-w5,concentration,5,8277,119.374,False,"[75, 0, 8285572]",0.382,False,16,16,0.0,0.0,0.0,0.0,4,0,0,0,1.0
medium_seed5,medium,sweep-concentration,S1-COST,sweep-concentration-w10,concentration,10,8277,119.374,False,"[150, 0, 8285572]",0.376,False,16,16,0.0,0.0,0.0,0.0,4,0,0,0,1.0
medium_seed5,medium,sweep-concentration,S1-COST,sweep-concentration-w20,concentration,20,8277,119.374,False,"[300, 0, 8285572]",0.394,False,16,16,0.0,0.0,0.0,0.0,4,0,0,0,1.0
medium_seed5,medium,sweep-concentration,S1-COST,sweep-concentration-w50,concentration,50,8277,119.374,False,"[750, 0, 8285572]",0.387,False,16,16,0.0,0.0,0.0,0.0,4,0,0,0,1.0
medium_seed5,medium,sweep-concentration,S1-COST,sweep-concentration-w100,concentration,100,8277,119.374,False,"[1500, 0, 8285572]",0.377,False,16,16,0.0,0.0,0.0,0.0,4,0,0,0,1.0
medium_seed5,medium,sweep-concentration,S1-COST,sweep-concentration-w500,concentration,500,8277,119.374,False,"[7500, 0, 8285572]",0.388,False,16,16,0.0,0.0,0.0,0.0,4,0,0,0,1.0
