instance,class,experiment,s1_name,s2_name,sweep_param,sweep_weight,s1_cost,s1_time,s1_optimal,s2_cost,s2_time,s2_optimal,total_trips,total_used_trips,R_1,R_TR,R_arc,A_1,concentrated_trips,mono_trips,overloaded_trips,empty_trips,max_concentration,s1_transport_cost,s1_underdiversified
data_manual,data,ablation,S1-COST,S2-BASE,,,4760,59.033,False,[],0.005,False,47,,0.0,0.0,0.0,0.8,,,,,,,
data_manual,data,ablation,S1-COST,S2-EVEN,,,4760,59.033,False,[4475],0.045,False,47,,0.0,0.0,0.0,0.7,,,,,,,
data_manual,data,ablation,S1-COST,S2-FULL,,,4760,59.033,False,"[20, 55, 4598]",30.009,False,47,,0.0,0.0,0.0,0.8,,,,,,,
data_manual,data,ablation,S1-COST,S2-HET,,,4760,59.033,False,"[45, 4760]",1.517,False,47,,0.0,0.0,0.0,0.8,,,,,,,
data_manual,data,ablation,S1-COST,S2-VALW,,,4760,59.033,False,"[1220, 55, 4598]",30.009,False,47,,0.0,0.0,0.0,0.8,,,,,,,
data_manual,data,ablation,S1-COST,S2-WC,,,4760,59.033,False,"[20, 4592]",0.012,False,47,,0.0,0.0,0.0,0.7,,,,,,,
data_manual,data,ablation,S1-DIV,S2-BASE,,,4621,59.027,False,[],0.005,False,47,,0.0,0.0,0.0,0.7,,,,,,,
data_manual,data,ablation,S1-DIV,S2-EVEN,,,4621,59.027,False,[4323],0.041,False,47,,0.0,0.0,0.0,0.7,,,,,,,
data_manual,data,ablation,S1-DIV,S2-FULL,,,4621,59.027,False,"[30, 80, 4445]",30.006,False,47,,0.0,0.0,0.0,0.8,,,,,,,
data_manual,data,ablation,S1-DIV,S2-HET,,,4621,59.027,False,"[80, 4438]",30.008,False,47,,0.0,0.0,0.0,0.7,,,,,,,
data_manual,data,ablation,S1-DIV,S2-VALW,,,4621,59.027,False,"[3030, 80, 4445]",30.007,False,47,,0.0,0.0,0.0,0.8,,,,,,,
data_manual,data,ablation,S1-DIV,S2-WC,,,4621,59.027,False,"[30, 4438]",0.011,False,47,,0.0,0.0,0.0,0.7,,,,,,,
large_seed1,large,ablation,S1-COST,S2-BASE,,,0,11.731,True,[],0.121,False,581,561,0.0,0.0,1.0,1.0,324,259,447,20,1.0,177854,167
large_seed1,large,ablation,S1-COST,S2-EVEN,,,0,11.731,True,[160839],60.048,False,581,519,0.0,0.0,1.0,2.0,201,61,318,62,1.0,177854,167
large_seed1,large,ablation,S1-COST,S2-FULL,,,0,11.731,True,"[2840, 800, 170196]",60.048,False,581,553,0.0,0.0,1.0,1.0,244,160,387,28,1.0,177854,167
large_seed1,large,ablation,S1-COST,S2-HET,,,0,11.731,True,"[165, 160120]",60.031,False,581,520,0.0,0.0,1.0,1.0,255,33,404,61,1.0,177854,167
large_seed1,large,ablation,S1-COST,S2-VALW,,,0,11.731,True,"[103173, 875, 172483]",60.057,False,581,556,0.0,0.0,1.0,1.0,227,175,387,25,1.0,177854,167
large_seed1,large,ablation,S1-COST,S2-WC,,,0,11.731,True,"[2220, 163946]",60.051,False,581,532,0.0,0.0,1.0,2.0,194,121,409,49,1.0,177854,167
large_seed1,large,ablation,S1-DIV,S2-BASE,,,800,119.486,False,[],0.124,False,657,618,0.0,0.0,1.0,1.0,329,321,534,39,1.0,208422,160
large_seed1,large,ablation,S1-DIV,S2-EVEN,,,800,119.486,False,[187607],60.053,False,657,582,0.0,0.0,1.0,1.0,242,142,441,75,1.0,208422,160
large_seed1,large,ablation,S1-DIV,S2-FULL,,,800,119.486,False,"[2810, 1170, 201414]",60.063,False,657,627,0.0,0.0,1.0,1.0,254,234,471,30,1.0,208422,160
large_seed1,large,ablation,S1-DIV,S2-HET,,,800,119.486,False,"[340, 184924]",60.041,False,657,576,0.0,0.0,1.0,1.0,264,68,486,81,1.0,208422,160
large_seed1,large,ablation,S1-DIV,S2-VALW,,,800,119.486,False,"[109164, 1215, 201666]",60.058,False,657,630,0.0,0.0,1.0,1.0,257,243,461,27,1.0,208422,160
large_seed1,large,ablation,S1-DIV,S2-WC,,,800,119.486,False,"[2410, 185284]",60.051,False,657,577,0.0,0.0,1.0,1.0,216,124,490,80,1.0,208422,160
large_seed2,large,ablation,S1-COST,S2-BASE,,,0,45.351,True,[],0.084,False,592,589,0.0,0.0,1.0,1.6667,258,297,375,3,1.0,108576,189
large_seed2,large,ablation,S1-COST,S2-EVEN,,,0,45.351,True,[99965],60.082,False,592,550,0.0,0.0,1.0,1.6667,107,75,180,42,1.0,108576,189
large_seed2,large,ablation,S1-COST,S2-FULL,,,0,45.351,True,"[1510, 610, 105835]",60.044,False,592,578,0.0,0.0,1.0,1.6667,139,122,234,14,1.0,108576,189
large_seed2,large,ablation,S1-COST,S2-HET,,,0,45.351,True,"[215, 100742]",60.058,False,592,552,0.0,0.0,1.0,1.6667,174,43,283,40,1.0,108576,189
large_seed2,large,ablation,S1-COST,S2-VALW,,,0,45.351,True,"[109019, 830, 106571]",60.047,False,592,580,0.0,0.0,1.0,1.6667,150,166,267,12,1.0,108576,189
large_seed2,large,ablation,S1-COST,S2-WC,,,0,45.351,True,"[650, 102746]",60.056,False,592,560,0.0,0.0,1.0,1.6667,59,104,239,32,1.0,108576,189
large_seed2,large,ablation,S1-DIV,S2-BASE,,,805,119.344,False,[],0.077,False,561,555,0.0,0.0,0.8636,1.3333,267,293,378,6,1.0,100670,161
large_seed2,large,ablation,S1-DIV,S2-EVEN,,,805,119.344,False,[92670],60.034,False,561,513,0.0,0.0,0.8636,1.3333,117,75,174,48,1.0,100670,161
large_seed2,large,ablation,S1-DIV,S2-FULL,,,805,119.344,False,"[1350, 615, 98040]",60.038,False,561,545,0.0,0.0,0.8636,1.3333,124,123,217,16,1.0,100670,161
large_seed2,large,ablation,S1-DIV,S2-HET,,,805,119.344,False,"[170, 91590]",60.037,False,561,510,0.0,0.0,0.8636,1.3333,176,34,276,51,1.0,100670,161
large_seed2,large,ablation,S1-DIV,S2-VALW,,,805,119.344,False,"[109737, 650, 97493]",60.046,False,561,545,0.0,0.0,0.8636,1.3333,139,130,226,16,1.0,100670,161
