instance,class,experiment,s1_name,s2_name,sweep_param,sweep_weight,s1_cost,s1_time,s1_optimal,s2_cost,s2_time,s2_optimal,total_trips,total_used_trips,R_1,R_TR,R_arc,A_1,concentrated_trips,mono_trips,overloaded_trips,empty_trips,max_concentration
medium_seed1,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w0,heterogeneity,0,13067,119.359,False,"[130, 0, 13074299]",60.013,False,23,23,0.0,0.0,0.0,0.0,5,0,3,0,1.0
medium_seed1,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w1,heterogeneity,1,13067,119.359,False,"[130, 0, 13074300]",60.013,False,23,23,0.0,0.0,0.0,0.0,4,0,4,0,1.0
medium_seed1,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w5,heterogeneity,5,13067,119.359,False,"[130, 0, 13074300]",60.015,False,23,23,0.0,0.0,0.0,0.0,4,0,4,0,1.0
medium_seed1,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w10,heterogeneity,10,13067,119.359,False,"[130, 0, 13074300]",60.015,False,23,23,0.0,0.0,0.0,0.0,4,0,4,0,1.0
medium_seed1,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w20,heterogeneity,20,13067,119.359,False,"[130, 0, 13074300]",60.015,False,23,23,0.0,0.0,0.0,0.0,4,0,4,0,1.0
medium_seed1,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w50,heterogeneity,50,13067,119.359,False,"[130, 0, 13074300]",60.014,False,23,23,0.0,0.0,0.0,0.0,4,0,4,0,1.0
medium_seed1,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w100,heterogeneity,100,13067,119.359,False,"[130, 0, 13074300]",60.019,False,23,23,0.0,0.0,0.0,0.0,4,0,4,0,1.0
medium_seed1,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w500,heterogeneity,500,13067,119.359,False,"[130, 0, 13074300]",60.018,False,23,23,0.0,0.0,0.0,0.0,4,0,4,0,1.0
medium_seed2,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w0,heterogeneity,0,18850,119.487,False,"[1310, 0, 18915820]",60.02,False,102,102,0.0,0.0,0.0,0.0,26,4,23,0,1.0
medium_seed2,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w1,heterogeneity,1,18850,119.487,False,"[1310, 4, 18915819]",60.014,False,102,102,0.0,0.0,0.0,0.0,26,4,22,0,1.0
medium_seed2,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w5,heterogeneity,5,18850,119.487,False,"[1310, 20, 18915819]",60.05,False,102,102,0.0,0.0,0.0,0.0,26,4,22,0,1.0
medium_seed2,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w10,heterogeneity,10,18850,119.487,False,"[1310, 40, 18915819]",60.017,False,102,102,0.0,0.0,0.0,0.0,26,4,22,0,1.0
medium_seed2,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w20,heterogeneity,20,18850,119.487,False,"[1310, 80, 18915819]",60.019,False,102,102,0.0,0.0,0.0,0.0,26,4,22,0,1.0
medium_seed2,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w50,heterogeneity,50,18850,119.487,False,"[1310, 200, 18915819]",60.022,False,102,102,0.0,0.0,0.0,0.0,26,4,22,0,1.0
medium_seed2,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w100,heterogeneity,100,18850,119.487,False,"[1310, 400, 18915819]",60.018,False,102,102,0.0,0.0,0.0,0.0,26,4,22,0,1.0
medium_seed2,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w500,heterogeneity,500,18850,119.487,False,"[1310, 2000, 18915819]",60.015,False,102,102,0.0,0.0,0.0,0.0,26,4,22,0,1.0
medium_seed3,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w0,heterogeneity,0,4588424,60.389,False,"[100, 0, 4588424]",0.176,False,14,14,0.4815,0.0,0.0,0.0,7,0,0,0,0.5185
medium_seed3,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w1,heterogeneity,1,4588424,60.389,False,"[100, 0, 4588424]",0.198,False,14,14,0.4815,0.0,0.0,0.0,7,0,0,0,0.5185
medium_seed3,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w5,heterogeneity,5,4588424,60.389,False,"[100, 0, 4588424]",0.197,False,14,14,0.4815,0.0,0.0,0.0,7,0,0,0,0.5185
medium_seed3,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w10,heterogeneity,10,4588424,60.389,False,"[100, 0, 4588424]",0.194,False,14,14,0.4815,0.0,0.0,0.0,7,0,0,0,0.5185
medium_seed3,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w20,heterogeneity,20,4588424,60.389,False,"[100, 0, 4588424]",0.193,False,14,14,0.4815,0.0,0.0,0.0,7,0,0,0,0.5185
medium_seed3,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w50,heterogeneity,50,4588424,60.389,False,"[100, 0, 4588424]",0.195,False,14,14,0.4815,0.0,0.0,0.0,7,0,0,0,0.5185
medium_seed3,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w100,heterogeneity,100,4588424,60.389,False,"[100, 0, 4588424]",0.196,False,14,14,0.4815,0.0,0.0,0.0,7,0,0,0,0.5185
medium_seed3,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w500,heterogeneity,500,4588424,60.389,False,"[100, 0, 4588424]",0.194,False,14,14,0.4815,0.0,0.0,0.0,7,0,0,0,0.5185
medium_seed4,medium,sweep-heterogeneity,S1-COST,sweep-heterogeneity-w0,heterogeneity,0,5839576,60.332,False,"[370, 0, 5839576]",0.033,False,17,17,0.0,0.0,0.0,0.0,16,0,0,0,1.0
