instance_name,instance_size,seed,div_weight,nominal_cost,dominant_count,r_tr,worst_arc,worst_arc_coverage,s1_optimal,s1_time,status
paper,custom,0,0,5040,8,0.5,"(l1,l3,tr2)",0.5,False,599.027,OK
paper,custom,0,10,4536,7,0.6,"(l1,l3,tr2)",0.6,False,599.03,OK
paper,custom,0,15,4571,7,0.6,"(l1,l3,tr2)",0.6,False,599.017,OK
paper,custom,0,20,4606,7,0.6,"(l1,l3,tr2)",0.6,False,599.021,OK
paper,custom,0,25,4641,7,0.6,"(l1,l2,tr2)",0.6,False,599.019,OK
paper,custom,0,30,4676,7,0.6,"(l1,l2,tr2)",0.6,False,599.03,OK
paper,custom,0,40,4746,7,0.6,"(l1,l3,tr2)",0.6,False,599.018,OK
paper,custom,0,50,4816,7,0.6,"(l1,l2,tr2)",0.6,False,599.025,OK
paper,custom,0,75,4991,7,0.6,"(l1,l3,tr2)",0.6,False,599.027,OK
paper,custom,0,100,5150,6,0.5,"(l1,l3,tr2)",0.5,False,599.023,OK
paper,custom,0,125,5300,6,0.5,"(l1,l3,tr2)",0.5,False,599.035,OK
paper,custom,0,150,5640,4,0.5,"(l1,l3,tr2)",0.5,False,599.032,OK
paper,custom,0,200,5750,6,0.6,"(l1,l3,tr2)",0.6,False,599.019,OK
paper,custom,0,300,6136,3,0.6,"(l1,l3,tr2)",0.6,False,599.023,OK
paper,custom,0,500,6216,0,0.6667,"(l2,l6,tr1)",0.6667,False,599.018,OK
paper,custom,0,600,6830,1,0.6667,"(l2,l6,tr1)",0.6667,False,599.031,OK
paper,custom,0,750,6216,0,0.6667,"(l2,l6,tr1)",0.6667,True,456.181,OK
paper,custom,0,1000,6216,0,0.6667,"(l2,l6,tr1)",0.6667,True,86.873,OK
