instance_name,instance_size,seed,div_weight,nominal_cost,dominant_count,r_tr,worst_arc,worst_arc_coverage,s1_optimal,s1_time,status
small_seed1,small,1,0,8802,19,0.5784,"(l4,l6,tr2)",0.5784,False,599.051,OK
small_seed1,small,1,10,9368,13,0.6275,"(l4,l6,tr2)",0.6275,False,599.055,OK
small_seed1,small,1,15,9606,18,0.6216,"(l5,l6,tr2)",0.6216,False,599.051,OK
small_seed1,small,1,20,8714,11,0.3627,"(l4,l6,tr2)",0.3627,False,599.058,OK
small_seed1,small,1,25,8905,13,0.2647,"(l4,l6,tr2)",0.2647,False,599.061,OK
small_seed1,small,1,30,10182,17,0.5946,"(l5,l6,tr2)",0.5946,False,599.05,OK
small_seed1,small,1,40,10682,13,0.451,"(l3,l6,tr2)",0.451,False,599.049,OK
small_seed1,small,1,50,9868,12,0.5098,"(l4,l6,tr2)",0.5098,False,599.048,OK
small_seed1,small,1,75,10340,12,0.5686,"(l3,l6,tr2)",0.5686,False,599.055,OK
small_seed1,small,1,100,11098,11,0.3922,"(l2,l6,tr2)",0.3922,False,599.053,OK
small_seed1,small,1,125,11470,12,0.4216,"(l2,l6,tr2)",0.4216,False,599.052,OK
small_seed1,small,1,150,11432,11,0.4216,"(l4,l6,tr2)",0.4216,False,599.054,OK
small_seed1,small,1,200,14868,14,0.5676,"(l5,l2,tr2)",0.5676,False,599.054,OK
small_seed1,small,1,300,15440,10,0.549,"(l4,l6,tr2)",0.549,False,599.046,OK
small_seed1,small,1,500,18608,8,0.6757,"(l5,l6,tr2)",0.6757,False,599.05,OK
small_seed1,small,1,600,22446,12,0.4608,"(l3,l6,tr2)",0.4608,False,599.061,OK
small_seed1,small,1,750,19494,8,0.5882,"(l2,l6,tr2)",0.5882,False,599.049,OK
small_seed1,small,1,1000,34956,16,0.6486,"(l5,l3,tr2)",0.6486,False,599.057,OK
