instance_size,div_weight,transport_cost_mean,transport_cost_std,r_tr_mean,r_tr_std,dominant_count_mean,dominant_count_std,nominal_cost_mean,nominal_cost_std,s1_time_mean,s1_time_std,worst_arc_coverage_mean,worst_arc_coverage_std
small,0,8802.0,,0.5784,,19.0,,8802.0,,599.051,,0.5784,
small,10,9238.0,,0.6275,,13.0,,9368.0,,599.055,,0.6275,
small,15,9336.0,,0.6216,,18.0,,9606.0,,599.051,,0.6216,
small,20,8494.0,,0.3627,,11.0,,8714.0,,599.058,,0.3627,
small,25,8580.0,,0.2647,,13.0,,8905.0,,599.061,,0.2647,
small,30,9672.0,,0.5946,,17.0,,10182.0,,599.05,,0.5946,
small,40,10162.0,,0.451,,13.0,,10682.0,,599.049,,0.451,
small,50,9268.0,,0.5098,,12.0,,9868.0,,599.048,,0.5098,
small,75,9440.0,,0.5686,,12.0,,10340.0,,599.055,,0.5686,
small,100,9998.0,,0.3922,,11.0,,11098.0,,599.053,,0.3922,
small,125,9970.0,,0.4216,,12.0,,11470.0,,599.052,,0.4216,
small,150,9782.0,,0.4216,,11.0,,11432.0,,599.054,,0.4216,
small,200,12068.0,,0.5676,,14.0,,14868.0,,599.054,,0.5676,
small,300,12440.0,,0.549,,10.0,,15440.0,,599.046,,0.549,
small,500,14608.0,,0.6757,,8.0,,18608.0,,599.05,,0.6757,
small,600,15246.0,,0.4608,,12.0,,22446.0,,599.061,,0.4608,
small,750,13494.0,,0.5882,,8.0,,19494.0,,599.049,,0.5882,
small,1000,18956.0,,0.6486,,16.0,,34956.0,,599.057,,0.6486,
