instance_size,div_weight,transport_cost_mean,transport_cost_std,r_tr_mean,r_tr_std,dominant_count_mean,dominant_count_std,nominal_cost_mean,nominal_cost_std,s1_time_mean,s1_time_std,worst_arc_coverage_mean,worst_arc_coverage_std
custom,0,5040.0,,0.5,,8.0,,5040.0,,599.027,,0.5,
custom,10,4466.0,,0.6,,7.0,,4536.0,,599.03,,0.6,
custom,15,4466.0,,0.6,,7.0,,4571.0,,599.017,,0.6,
custom,20,4466.0,,0.6,,7.0,,4606.0,,599.021,,0.6,
custom,25,4466.0,,0.6,,7.0,,4641.0,,599.019,,0.6,
custom,30,4466.0,,0.6,,7.0,,4676.0,,599.03,,0.6,
custom,40,4466.0,,0.6,,7.0,,4746.0,,599.018,,0.6,
custom,50,4466.0,,0.6,,7.0,,4816.0,,599.025,,0.6,
custom,75,4466.0,,0.6,,7.0,,4991.0,,599.027,,0.6,
custom,100,4550.0,,0.5,,6.0,,5150.0,,599.023,,0.5,
custom,125,4550.0,,0.5,,6.0,,5300.0,,599.035,,0.5,
custom,150,5040.0,,0.5,,4.0,,5640.0,,599.032,,0.5,
custom,200,4550.0,,0.6,,6.0,,5750.0,,599.019,,0.6,
custom,300,5236.0,,0.6,,3.0,,6136.0,,599.023,,0.6,
custom,500,6216.0,,0.6667,,0.0,,6216.0,,599.018,,0.6667,
custom,600,6230.0,,0.6667,,1.0,,6830.0,,599.031,,0.6667,
custom,750,6216.0,,0.6667,,0.0,,6216.0,,456.181,,0.6667,
custom,1000,6216.0,,0.6667,,0.0,,6216.0,,86.873,,0.6667,
