instance,config,scope,mono_count,concentrated_count,n,min,p10,p25,median,mean,cvar10,frac_full,frac_zero,demand_weighted_mean
layered_small_seed1,baseline,overall,4,31,52,0.8333,0.8667,0.9,0.9333,0.9231,0.8444,0.0962,0.0,0.9231
layered_small_seed1,baseline,packing_addressable,4,31,50,0.8333,0.8667,0.9,0.9333,0.922,0.84,0.08,0.0,0.922
layered_small_seed1,baseline,flow_limited,4,31,2,0.9,0.91,0.925,0.95,0.95,0.9,0.5,0.0,0.95
layered_small_seed1,mixed,overall,0,33,52,0.8333,0.8667,0.9,0.9333,0.9231,0.8444,0.0192,0.0,0.9231
layered_small_seed1,mixed,packing_addressable,0,33,50,0.8333,0.8667,0.9,0.9333,0.922,0.84,0.0,0.0,0.922
layered_small_seed1,mixed,flow_limited,0,33,2,0.9,0.91,0.925,0.95,0.95,0.9,0.5,0.0,0.95
layered_small_seed1,even,overall,5,18,66,0.8,0.8667,0.9,0.9667,0.9394,0.8381,0.0909,0.0,0.9394
layered_small_seed1,even,packing_addressable,5,18,64,0.8,0.8667,0.9,0.9667,0.9391,0.8381,0.0781,0.0,0.9391
layered_small_seed1,even,flow_limited,5,18,2,0.9,0.91,0.925,0.95,0.95,0.9,0.5,0.0,0.95
layered_small_seed1,full,overall,0,18,70,0.8333,0.8667,0.9333,0.9667,0.9429,0.8524,0.0143,0.0,0.9429
layered_small_seed1,full,packing_addressable,0,18,68,0.8333,0.8667,0.9333,0.9667,0.9427,0.8524,0.0,0.0,0.9427
layered_small_seed1,full,flow_limited,0,18,2,0.9,0.91,0.925,0.95,0.95,0.9,0.5,0.0,0.95
