instance,solver,w_net,w_flow,r_tr_arc,r_resource,nri_resource,cvar_resource,worst_res_frac,worst_res,n_resources
layered_medium_seed1,asp,0.0,0.0,0.3,0.0,0.4556,0.0111,0.0111,tr2,2
layered_medium_seed2,asp,0.0,0.0,0.5333,0.1333,0.4722,0.4333,0.4333,tr1,2
layered_medium_seed3,asp,0.0,0.0,0.5,0.1333,0.3444,0.2,0.2,tr2,2
layered_medium_seed4,asp,0.0,0.0,0.5333,0.0,0.4167,0.0111,0.0111,tr1,2
layered_medium_seed5,asp,0.0,0.0,0.6333,0.1,0.3667,0.1333,0.1333,tr1,2
layered_small_seed1,asp,0.0,0.0,0.4667,0.0,0.2666,0.0,0.0,tr1,2
layered_small_seed2,asp,0.0,0.0,0.3667,0.2333,0.5,0.35,0.35,tr1,2
layered_small_seed3,asp,0.0,0.0,0.1667,0.0,0.3917,0.0,0.0,tr2,2
layered_small_seed4,asp,0.0,0.0,0.5667,0.0333,0.475,0.0666,0.0666,tr2,2
layered_small_seed5,asp,0.0,0.0,0.2333,0.1,0.3083,0.1334,0.1334,tr2,2
layered_medium_seed1,asp,4.0,0.0,0.6333,0.0667,0.35,0.1222,0.1222,tr2,2
layered_medium_seed2,asp,4.0,0.0,0.6667,0.1667,0.4,0.3222,0.3222,tr1,2
layered_medium_seed3,asp,4.0,0.0,0.6333,0.0333,0.4167,0.1556,0.1556,tr2,2
layered_medium_seed4,asp,4.0,0.0,0.7,0.1,0.3667,0.2445,0.2445,tr2,2
layered_medium_seed5,asp,4.0,0.0,0.6667,0.0333,0.3611,0.1444,0.1444,tr1,2
layered_small_seed1,asp,4.0,0.0,0.6667,0.0,0.325,0.0,0.0,tr1,2
layered_small_seed2,asp,4.0,0.0,0.6667,0.3333,0.5,0.4166,0.4166,tr1,2
layered_small_seed3,asp,4.0,0.0,0.6667,0.3333,0.4416,0.3666,0.3666,tr2,2
layered_small_seed4,asp,4.0,0.0,0.6667,0.0667,0.4667,0.1334,0.1334,tr2,2
layered_small_seed5,asp,4.0,0.0,0.5,0.0,0.425,0.2,0.2,tr2,2
industry_test_1,milp,0.0,0.0,0.0,0.0,0.7814,0.4828,0.3263,tr15,6
layered_medium_seed1,milp,0.0,0.0,0.3,0.0,0.4166,0.0111,0.0111,tr2,2
layered_medium_seed2,milp,0.0,0.0,0.5,0.0333,0.3389,0.2667,0.2667,tr1,2
layered_medium_seed3,milp,0.0,0.0,0.2,0.1,0.5,0.1444,0.1444,tr2,2
layered_medium_seed4,milp,0.0,0.0,0.5333,0.1333,0.4389,0.1333,0.1333,tr1,2
layered_medium_seed5,milp,0.0,0.0,0.4333,0.0,0.4944,0.0222,0.0222,tr1,2
layered_small_seed1,milp,0.0,0.0,0.4667,0.0,0.2666,0.0,0.0,tr1,2
layered_small_seed2,milp,0.0,0.0,0.3667,0.2333,0.5,0.35,0.35,tr1,2
