instance,flow_solver,lambda_net,lambda_flow,weight_normalizer,w_net,w_flow,config,w_hetero,w_conc,flow_optimum,flow_cost,n_arcs,total_trips,n_single_trip_arcs,s1_time,s2_time,s1_first_cost,s1_first_time,s1_best_cost,s1_best_time,s1_n_improve,s2_optimal,mono_count,concentrated_count,r_tr,r_alpha_single_0.2,r_alpha_single_0.4,r_alpha_single_0.6,r_alpha_single_0.8,r_alpha_global_0.2,r_alpha_global_0.4,r_alpha_global_0.6,r_alpha_global_0.8,cov_mean,cov_median,cov_cvar10,cov_frac_zero,cov_dw_mean,cov_mean_addr,cov_cvar10_addr,nri,nri_worst,nri_addr,nri_alpha_single_0.2,nri_alpha_single_0.4,nri_alpha_single_0.6,nri_alpha_single_0.8,nri_alpha_global_0.2,nri_alpha_global_0.4,nri_alpha_global_0.6,nri_alpha_global_0.8,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_trajectory
layered_small_seed1,asp,0.0,0,108.16,0,0,baseline,0,0,True,4002,6,37,1,0.0,60.005,4002,0.0,4002,0.0,0,False,4,31,0.4667,0.5333,0.5667,0.6333,0.6667,0.0,0.0333,0.3,0.4,0.9231,0.9333,0.8444,0.0,0.9231,0.922,0.84,0.9231,0.9,0.922,0.6972,0.7472,0.8222,0.875,0.0334,0.15,0.4,0.5334,4002,2788,1214,[]
layered_small_seed1,asp,0.0,0,108.16,0,0,hetero_w1,1,0,True,4002,6,37,1,0.0,60.009,4002,0.0,4002,0.0,0,False,0,33,0.4667,0.5,0.5333,0.6333,0.6667,0.0333,0.1,0.3333,0.4333,0.9231,0.9333,0.8444,0.0,0.9231,0.922,0.84,0.9231,0.9,0.922,0.7,0.7472,0.8222,0.875,0.0333,0.15,0.4,0.5833,4002,2788,1214,[]
layered_small_seed1,asp,0.0,0,108.16,0,0,hetero_w2,2,0,True,4002,6,37,1,0.0,60.008,4002,0.0,4002,0.0,0,False,0,32,0.4667,0.5333,0.6,0.6333,0.6667,0.0333,0.1,0.3,0.4333,0.9231,0.9333,0.8389,0.0,0.9231,0.922,0.8333,0.9231,0.9,0.922,0.6945,0.7445,0.8195,0.8722,0.0333,0.15,0.4,0.6,4002,2788,1214,[]
layered_small_seed1,asp,0.0,0,108.16,0,0,hetero_w4,4,0,True,4002,6,37,1,0.0,60.009,4002,0.0,4002,0.0,0,False,0,31,0.4667,0.5,0.6,0.6333,0.6667,0.0333,0.1,0.2667,0.4333,0.9231,0.9333,0.8389,0.0,0.9231,0.922,0.8333,0.9231,0.9,0.922,0.6945,0.7445,0.8195,0.8722,0.0333,0.1833,0.4334,0.6,4002,2788,1214,[]
layered_small_seed1,asp,0.0,0,108.16,0,0,hetero_w8,8,0,True,4002,6,37,1,0.0,60.009,4002,0.0,4002,0.0,0,False,0,32,0.4667,0.5,0.5333,0.5667,0.6667,0.0333,0.1,0.2667,0.4333,0.9231,0.9333,0.8389,0.0,0.9231,0.922,0.8333,0.9231,0.9,0.922,0.6945,0.7444,0.8195,0.8722,0.0333,0.1667,0.4167,0.6,4002,2788,1214,[]
layered_small_seed1,asp,0.0,0,108.16,0,0,hetero_w16,16,0,True,4002,6,37,1,0.0,60.009,4002,0.0,4002,0.0,0,False,0,34,0.4667,0.5333,0.5667,0.6333,0.6667,0.0333,0.1333,0.3333,0.4333,0.9231,0.9333,0.8389,0.0,0.9231,0.922,0.8333,0.9231,0.9,0.922,0.6972,0.7445,0.8194,0.8722,0.05,0.1833,0.45,0.6,4002,2788,1214,[]
layered_small_seed1,asp,0.0,0,108.16,0,0,conc_w1,0,1,True,4002,6,37,1,0.0,60.017,4002,0.0,4002,0.0,0,False,6,21,0.4667,0.5,0.5333,0.5667,0.6,0.0667,0.1333,0.2,0.2667,0.931,0.9667,0.8278,0.0,0.931,0.9304,0.8278,0.931,0.9,0.9304,0.7,0.7444,0.8139,0.8722,0.0833,0.1833,0.4,0.55,4002,3192,810,[]
layered_small_seed1,asp,0.0,0,108.16,0,0,conc_w2,0,2,True,4002,6,37,1,0.0,60.013,4002,0.0,4002,0.0,0,False,5,18,0.4667,0.5,0.5667,0.5667,0.6333,0.0667,0.1333,0.2,0.3667,0.9394,0.9667,0.8381,0.0,0.9394,0.9391,0.8381,0.9394,0.9,0.9391,0.6944,0.7389,0.7972,0.8639,0.0667,0.1833,0.3167,0.5167,4002,3650,352,[]
layered_small_seed1,asp,0.0,0,108.16,0,0,conc_w4,0,4,True,4002,6,37,1,0.0,60.009,4002,0.0,4002,0.0,0,False,3,18,0.4667,0.5,0.5667,0.6,0.6333,0.0333,0.1,0.2,0.3,0.9394,0.9667,0.8381,0.0,0.9394,0.9391,0.8381,0.9394,0.9,0.9391,0.6945,0.7389,0.7972,0.8639,0.05,0.1667,0.3,0.5166,4002,3650,352,[]
layered_small_seed1,asp,0.0,0,108.16,0,0,conc_w8,0,8,True,4002,6,37,1,0.0,60.007,4002,0.0,4002,0.0,0,False,8,17,0.4667,0.4667,0.5,0.5333,0.6,0.0333,0.1333,0.2,0.3333,0.9445,0.9667,0.8417,0.0,0.9445,0.9443,0.8381,0.9445,0.9,0.9443,0.6945,0.7333,0.7889,0.8667,0.05,0.1667,0.3,0.5,4002,3778,224,[]
layered_small_seed1,asp,0.0,0,108.16,0,0,conc_w16,0,16,True,4002,6,37,1,0.0,60.009,4002,0.0,4002,0.0,0,False,3,17,0.4667,0.5,0.5667,0.6,0.6667,0.0667,0.1667,0.2667,0.4333,0.9429,0.9667,0.8476,0.0,0.9429,0.9427,0.8476,0.9429,0.9,0.9427,0.6944,0.7361,0.7889,0.8694,0.0667,0.1833,0.3167,0.4833,4002,3714,288,[]
layered_small_seed1,asp,0.0,0,108.16,0,0,full_w16_16,16,16,True,4002,6,37,1,0.0,60.006,4002,0.0,4002,0.0,0,False,1,18,0.4667,0.5,0.5667,0.6,0.6667,0.0667,0.1333,0.2333,0.3333,0.9394,0.9667,0.8428,0.0,0.9394,0.9391,0.8428,0.9394,0.9,0.9391,0.6972,0.7389,0.7972,0.8639,0.0667,0.1833,0.3167,0.5166,4002,3650,352,[]
