solver,encoding_family,backend,instance,instance_size,seed,n_locations,n_parts,n_routes,n_transports,density,capacity_tightness,num_bins,time_limit,run,status,wall_time,total_time,ground_time,solve_time,cost,optimum,satisfiable,choices,conflicts,restarts,atoms,s1_time,s2_time,s1_atoms,s2_atoms,s1_cost,s2_cost,s1_optimum,s2_optimum
naive_oneshot,one-shot,naive,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,3,600,1,OK,603.075,602.756,2.736,600.021,12464,False,True,2222318,380143,1017,1939880,,,,,,,,
naive_oneshot,one-shot,naive,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,3,600,2,OK,603.545,602.851,2.821,600.029,12464,False,True,2988583,605732,1467,1939880,,,,,,,,
naive_oneshot,one-shot,naive,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,3,600,3,OK,601.769,601.572,1.551,600.021,11494,False,True,4415967,945861,2045,1939880,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,3,600,1,OK,600.096,600.043,0.019,600.024,250696,False,True,7525052,4881243,40427,8518,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,3,600,2,OK,600.072,600.062,0.016,600.047,250696,False,True,7484314,4855245,40088,8518,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,3,600,3,OK,600.156,600.144,0.015,600.129,250696,False,True,7515697,4875347,40345,8518,,,,,,,,
naive_twostage,two-stage,naive,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,,600,1,OK,1200.075,1200.06,0.039,1200.021,10694,False,True,91984495,66305990,110069,11214,600.04,600.02,8312,2902,10694,35,False,False
naive_twostage,two-stage,naive,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,,600,2,OK,1200.088,1200.07,0.041,1200.029,10694,False,True,91639159,65957771,109048,11214,600.045,600.025,8312,2902,10694,35,False,False
naive_twostage,two-stage,naive,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,,600,3,OK,1200.105,1200.077,0.043,1200.034,10714,False,True,89798243,64294341,108465,11236,600.048,600.029,8312,2924,10714,36,False,False
clingcon_twostage,two-stage,clingcon,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,,600,1,OK,1200.113,1200.079,0.011,1200.069,6576,False,True,117908249,80186111,124399,5568,600.053,600.026,4049,1519,6576,31,False,False
clingcon_twostage,two-stage,clingcon,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,,600,2,OK,1200.087,1200.063,0.01,1200.053,6576,False,True,117992605,80152949,124229,5568,600.038,600.025,4049,1519,6576,31,False,False
clingcon_twostage,two-stage,clingcon,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,,600,3,OK,1200.131,1200.096,0.016,1200.08,6584,False,True,118609159,81388159,124500,5483,600.071,600.025,4049,1434,6584,27,False,False
naive_oneshot,one-shot,naive,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,3,600,1,OK,603.643,603.232,3.218,600.014,10485,False,True,3791213,520272,1163,4048919,,,,,,,,
naive_oneshot,one-shot,naive,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,3,600,2,OK,603.571,603.271,3.252,600.019,10020,False,True,4069348,578165,1318,4048919,,,,,,,,
naive_oneshot,one-shot,naive,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,3,600,3,OK,603.429,603.1,3.075,600.025,10485,False,True,3866472,537945,1226,4048919,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,3,600,1,OK,600.042,600.032,0.027,600.005,176220,False,True,27687574,23380206,137321,12809,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,3,600,2,OK,600.062,600.049,0.038,600.011,176220,False,True,28364810,23952909,141656,12809,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,3,600,3,OK,600.052,600.041,0.024,600.017,176220,False,True,28848570,24364738,144168,12809,,,,,,,,
naive_twostage,two-stage,naive,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,,600,1,OK,600.11,600.093,0.046,600.047,5250,False,True,32560417,12446280,19692,11295,600.053,0.04,10062,1233,5250,28,False,True
naive_twostage,two-stage,naive,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,,600,2,OK,600.101,600.085,0.045,600.039,5250,False,True,32693022,12499300,19848,11295,600.046,0.039,10062,1233,5250,28,False,True
naive_twostage,two-stage,naive,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,,600,3,OK,601.021,600.993,0.048,600.945,5310,False,True,31501622,12094993,19076,11361,600.051,0.942,10062,1299,5310,27,False,True
clingcon_twostage,two-stage,clingcon,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,,600,1,OK,600.211,600.182,0.024,600.158,5805,False,True,29175552,13429177,23122,6321,600.064,0.118,5003,1318,5805,31,False,True
clingcon_twostage,two-stage,clingcon,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,,600,2,OK,600.479,600.461,0.02,600.44,5625,False,True,31673029,14594661,24705,6241,600.041,0.42,5003,1238,5625,27,False,True
clingcon_twostage,two-stage,clingcon,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,,600,3,OK,600.194,600.159,0.02,600.14,5745,False,True,30957673,14248004,24604,6273,600.036,0.123,5003,1270,5745,28,False,True
naive_oneshot,one-shot,naive,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,3,600,1,OK,603.773,603.471,3.37,600.101,35983,False,True,1998880,277262,636,1806275,,,,,,,,
naive_oneshot,one-shot,naive,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,3,600,2,OK,603.03,602.798,2.784,600.015,35983,False,True,1995346,275488,636,1806275,,,,,,,,
