instance_size,weight,s2_config,r_tr_mean,r_tr_std,r_tr_ci_lo,r_tr_ci_hi,r_tr_n,r_1_mean,r_1_std,r_1_ci_lo,r_1_ci_hi,r_1_n,k_1_mean,k_1_std,k_1_ci_lo,k_1_ci_hi,k_1_n,nominal_cost_mean,nominal_cost_std,nominal_cost_ci_lo,nominal_cost_ci_hi,nominal_cost_n,s1_dispatch_cost_mean,s1_dispatch_cost_std,s1_dispatch_cost_ci_lo,s1_dispatch_cost_ci_hi,s1_dispatch_cost_n,s2_dispatch_cost_mean,s2_dispatch_cost_std,s2_dispatch_cost_ci_lo,s2_dispatch_cost_ci_hi,s2_dispatch_cost_n,s1_time_mean,s1_time_std,s1_time_ci_lo,s1_time_ci_hi,s1_time_n,s2_time_mean,s2_time_std,s2_time_ci_lo,s2_time_ci_hi,s2_time_n,r_heaviest_single_0.2_mean,r_heaviest_single_0.2_std,r_heaviest_single_0.2_ci_lo,r_heaviest_single_0.2_ci_hi,r_heaviest_single_0.2_n,r_heaviest_single_0.4_mean,r_heaviest_single_0.4_std,r_heaviest_single_0.4_ci_lo,r_heaviest_single_0.4_ci_hi,r_heaviest_single_0.4_n,r_heaviest_single_0.6_mean,r_heaviest_single_0.6_std,r_heaviest_single_0.6_ci_lo,r_heaviest_single_0.6_ci_hi,r_heaviest_single_0.6_n,r_heaviest_single_0.8_mean,r_heaviest_single_0.8_std,r_heaviest_single_0.8_ci_lo,r_heaviest_single_0.8_ci_hi,r_heaviest_single_0.8_n,r_heaviest_global_0.2_mean,r_heaviest_global_0.2_std,r_heaviest_global_0.2_ci_lo,r_heaviest_global_0.2_ci_hi,r_heaviest_global_0.2_n,r_heaviest_global_0.4_mean,r_heaviest_global_0.4_std,r_heaviest_global_0.4_ci_lo,r_heaviest_global_0.4_ci_hi,r_heaviest_global_0.4_n,r_heaviest_global_0.6_mean,r_heaviest_global_0.6_std,r_heaviest_global_0.6_ci_lo,r_heaviest_global_0.6_ci_hi,r_heaviest_global_0.6_n,r_heaviest_global_0.8_mean,r_heaviest_global_0.8_std,r_heaviest_global_0.8_ci_lo,r_heaviest_global_0.8_ci_hi,r_heaviest_global_0.8_n
paper,0,baseline,0.5,0.0,,,1,0.8,0.0,,,1,0.8,0.0,,,1,3458.0,0.0,,,1,3458.0,0.0,,,1,2716.0,0.0,,,1,12.329,0.0,,,1,0.286,0.0,,,1,0.5,0.0,,,1,0.5,0.0,,,1,0.6,0.0,,,1,0.7,0.0,,,1,0.1,0.0,,,1,0.2,0.0,,,1,0.35,0.0,,,1,0.45,0.0,,,1
paper,0,mixed,0.5,0.0,,,1,0.85,0.0,,,1,0.85,0.0,,,1,3458.0,0.0,,,1,3458.0,0.0,,,1,2772.0,0.0,,,1,12.329,0.0,,,1,0.063,0.0,,,1,0.55,0.0,,,1,0.65,0.0,,,1,0.7,0.0,,,1,0.8,0.0,,,1,0.05,0.0,,,1,0.25,0.0,,,1,0.35,0.0,,,1,0.55,0.0,,,1
paper,0,even,0.5,0.0,,,1,0.8,0.0,,,1,0.8,0.0,,,1,3458.0,0.0,,,1,3458.0,0.0,,,1,3402.0,0.0,,,1,12.329,0.0,,,1,600.014,0.0,,,1,0.55,0.0,,,1,0.55,0.0,,,1,0.55,0.0,,,1,0.7,0.0,,,1,0.05,0.0,,,1,0.1,0.0,,,1,0.25,0.0,,,1,0.35,0.0,,,1
paper,0,full,0.5,0.0,,,1,0.8,0.0,,,1,0.8,0.0,,,1,3458.0,0.0,,,1,3458.0,0.0,,,1,3402.0,0.0,,,1,12.329,0.0,,,1,600.018,0.0,,,1,0.55,0.0,,,1,0.55,0.0,,,1,0.55,0.0,,,1,0.7,0.0,,,1,0.05,0.0,,,1,0.1,0.0,,,1,0.25,0.0,,,1,0.35,0.0,,,1
paper,1000000,baseline,0.7,0.0,,,1,0.75,0.0,,,1,0.75,0.0,,,1,3654.0,0.0,,,1,3654.0,0.0,,,1,2940.0,0.0,,,1,4.331,0.0,,,1,0.013,0.0,,,1,0.7,0.0,,,1,0.7,0.0,,,1,0.7,0.0,,,1,0.75,0.0,,,1,0.0,0.0,,,1,0.0,0.0,,,1,0.05,0.0,,,1,0.2,0.0,,,1
paper,1000000,mixed,0.7,0.0,,,1,0.85,0.0,,,1,0.85,0.0,,,1,3654.0,0.0,,,1,3654.0,0.0,,,1,3276.0,0.0,,,1,4.331,0.0,,,1,0.03,0.0,,,1,0.7,0.0,,,1,0.75,0.0,,,1,0.8,0.0,,,1,0.85,0.0,,,1,0.05,0.0,,,1,0.2,0.0,,,1,0.35,0.0,,,1,0.55,0.0,,,1
paper,1000000,even,0.7,0.0,,,1,0.85,0.0,,,1,0.85,0.0,,,1,3654.0,0.0,,,1,3654.0,0.0,,,1,3654.0,0.0,,,1,4.331,0.0,,,1,0.334,0.0,,,1,0.7,0.0,,,1,0.75,0.0,,,1,0.8,0.0,,,1,0.85,0.0,,,1,0.05,0.0,,,1,0.2,0.0,,,1,0.35,0.0,,,1,0.55,0.0,,,1
paper,1000000,full,0.7,0.0,,,1,0.85,0.0,,,1,0.85,0.0,,,1,3654.0,0.0,,,1,3654.0,0.0,,,1,3654.0,0.0,,,1,4.331,0.0,,,1,0.108,0.0,,,1,0.7,0.0,,,1,0.75,0.0,,,1,0.8,0.0,,,1,0.85,0.0,,,1,0.05,0.0,,,1,0.2,0.0,,,1,0.35,0.0,,,1,0.5,0.0,,,1
small,0,baseline,0.3667,0.1434,0.2534,0.4733,5,0.8,0.0527,0.76,0.84,5,0.8,0.0527,0.76,0.84,5,3931.8,1460.5554,2663.0,5054.4,5,3931.8,1460.5554,2663.0,5054.4,5,3022.4,1151.3962,2085.2,3929.4,5,33.375,25.5403,13.2684,53.4816,5,240.2646,328.4033,0.2864,480.2428,5,0.4,0.1105,0.3133,0.4867,5,0.5,0.085,0.4267,0.56,5,0.5667,0.1028,0.4867,0.6467,5,0.68,0.1169,0.5933,0.7666,5,0.0067,0.0149,0.0,0.02,5,0.0734,0.0596,0.0267,0.1267,5,0.2133,0.0505,0.18,0.26,5,0.3867,0.1215,0.2933,0.48,5
small,0,mixed,0.3667,0.1434,0.2534,0.4733,5,0.8333,0.0624,0.78,0.8734,5,0.8333,0.0624,0.78,0.8734,5,3931.8,1460.5554,2663.0,5054.4,5,3931.8,1460.5554,2663.0,5054.4,5,3073.4,1168.6359,2120.2,4009.6,5,33.375,25.5403,13.2684,53.4816,5,240.1748,328.4863,0.218,480.1316,5,0.4133,0.1193,0.32,0.5067,5,0.5,0.0707,0.4466,0.56,5,0.6133,0.073,0.5533,0.6667,5,0.7467,0.0558,0.7067,0.7867,5,0.0467,0.0298,0.02,0.0667,5,0.1333,0.0624,0.08,0.1734,5,0.3667,0.0624,0.3266,0.42,5,0.5333,0.1106,0.4533,0.62,5
