instance,flow_solver,lambda_net,lambda_flow,weight_normalizer,w_net,w_flow,config,w_hetero,w_conc,flow_optimum,flow_cost,n_arcs,total_trips,n_single_trip_arcs,s1_time,s2_time,s2_optimal,mono_count,concentrated_count,r_tr,r_1,k_1,r_alpha_single_0.2,r_alpha_single_0.4,r_alpha_single_0.6,r_alpha_single_0.8,r_alpha_global_0.2,r_alpha_global_0.4,r_alpha_global_0.6,r_alpha_global_0.8,cov_mean,cov_median,cov_cvar10,cov_frac_zero,cov_dw_mean,cov_mean_addr,cov_cvar10_addr,nri,nri_worst,nri_addr,nri_alpha_single_0.2,nri_alpha_single_0.4,nri_alpha_single_0.6,nri_alpha_single_0.8,nri_alpha_global_0.2,nri_alpha_global_0.4,nri_alpha_global_0.6,nri_alpha_global_0.8,s1_dispatch_cost,s2_dispatch_cost,cost_saving
layered_paper,asp,0.0,0,150.35,0,0,baseline,0,0,True,3458,8,23,3,10.012,0.01,True,9,20,0.5,0.75,0.75,0.55,0.65,0.65,0.75,0.1,0.2,0.25,0.35,0.9211,0.9,0.8125,0.0,0.9211,0.9172,0.8125,0.9211,0.875,0.9172,0.825,0.8594,0.875,0.9188,0.1,0.275,0.4,0.6,3458,2744,714
layered_paper,asp,0.0,0,150.35,0,0,hetero_w1,1,0,True,3458,8,23,3,10.012,0.018,True,2,18,0.5,0.85,0.85,0.55,0.7,0.7,0.85,0.1,0.2,0.3,0.45,0.9211,0.95,0.85,0.0,0.9211,0.9172,0.85,0.9211,0.9,0.9172,0.825,0.8656,0.8812,0.925,0.1,0.275,0.4,0.6,3458,2744,714
layered_paper,asp,0.0,0,150.35,0,0,hetero_w2,2,0,True,3458,8,23,3,10.012,0.021,True,2,20,0.5,0.85,0.85,0.55,0.65,0.7,0.85,0.1,0.15,0.3,0.5,0.9211,0.9,0.85,0.0,0.9211,0.9172,0.85,0.9211,0.9,0.9172,0.825,0.8656,0.8812,0.925,0.1,0.275,0.4,0.575,3458,2744,714
layered_paper,asp,0.0,0,150.35,0,0,hetero_w4,4,0,True,3458,8,23,3,10.012,0.021,True,2,18,0.5,0.85,0.85,0.55,0.7,0.7,0.85,0.05,0.2,0.4,0.55,0.9211,0.95,0.85,0.0,0.9211,0.9172,0.85,0.9211,0.9,0.9172,0.825,0.8656,0.8812,0.925,0.1,0.275,0.4,0.575,3458,2744,714
layered_paper,asp,0.0,0,150.35,0,0,hetero_w8,8,0,True,3458,8,23,3,10.012,0.02,True,2,18,0.5,0.85,0.85,0.55,0.7,0.7,0.85,0.05,0.2,0.35,0.55,0.9211,0.95,0.85,0.0,0.9211,0.9172,0.85,0.9211,0.9,0.9172,0.825,0.8656,0.8844,0.9281,0.1,0.275,0.425,0.6,3458,2744,714
layered_paper,asp,0.0,0,150.35,0,0,hetero_w16,16,0,True,3458,8,23,3,10.012,0.019,True,2,18,0.5,0.85,0.85,0.55,0.7,0.7,0.85,0.05,0.2,0.35,0.55,0.9211,0.95,0.85,0.0,0.9211,0.9172,0.85,0.9211,0.9,0.9172,0.825,0.8656,0.8844,0.9281,0.1,0.275,0.425,0.6,3458,2744,714
layered_paper,asp,0.0,0,150.35,0,0,conc_w1,0,1,True,3458,8,23,3,10.012,30.009,False,5,11,0.5,0.75,0.75,0.55,0.6,0.65,0.75,0.05,0.1,0.3,0.35,0.9286,0.95,0.83,0.0,0.9286,0.9264,0.825,0.9286,0.875,0.9264,0.8188,0.8469,0.8719,0.9125,0.05,0.15,0.3,0.5,3458,3122,336
layered_paper,asp,0.0,0,150.35,0,0,conc_w2,0,2,True,3458,8,23,3,10.012,30.008,False,6,9,0.5,0.8,0.8,0.55,0.6,0.7,0.7,0.05,0.1,0.25,0.4,0.9348,0.95,0.83,0.0,0.9348,0.9338,0.825,0.9348,0.9,0.9338,0.8188,0.8438,0.875,0.9156,0.05,0.15,0.3,0.425,3458,3458,0
layered_paper,asp,0.0,0,150.35,0,0,conc_w4,0,4,True,3458,8,23,3,10.012,30.009,False,6,9,0.5,0.8,0.8,0.55,0.6,0.7,0.7,0.05,0.1,0.25,0.45,0.9348,0.95,0.83,0.0,0.9348,0.9337,0.825,0.9348,0.9,0.9338,0.8188,0.8438,0.8719,0.9125,0.05,0.15,0.3,0.5,3458,3458,0
layered_paper,asp,0.0,0,150.35,0,0,conc_w8,0,8,True,3458,8,23,3,10.012,30.006,False,6,9,0.5,0.8,0.8,0.55,0.6,0.7,0.75,0.05,0.1,0.25,0.3,0.9348,0.95,0.83,0.0,0.9348,0.9337,0.825,0.9348,0.9,0.9337,0.8188,0.8438,0.8719,0.9125,0.05,0.15,0.3,0.5,3458,3458,0
layered_paper,asp,0.0,0,150.35,0,0,conc_w16,0,16,True,3458,8,23,3,10.012,30.008,False,6,9,0.5,0.8,0.8,0.55,0.6,0.7,0.75,0.05,0.1,0.3,0.35,0.9348,0.95,0.83,0.0,0.9348,0.9338,0.825,0.9348,0.9,0.9337,0.8188,0.8438,0.875,0.9156,0.05,0.15,0.325,0.525,3458,3458,0
layered_paper,asp,0.0,0,150.35,0,0,full_w16_16,16,16,True,3458,8,23,3,10.012,30.009,False,3,12,0.5,0.85,0.85,0.55,0.6,0.65,0.8,0.05,0.1,0.25,0.4,0.9286,0.95,0.85,0.0,0.9286,0.9264,0.85,0.9286,0.9,0.9264,0.8188,0.85,0.875,0.9156,0.05,0.15,0.275,0.5,3458,3122,336
layered_paper,milp,0.0,0.0,144.08,0,0,baseline,0,0,True,3458,7,24,1,0.058,0.011,True,9,20,0.5,0.75,0.75,0.6,0.65,0.75,0.75,0.1,0.2,0.25,0.35,0.9211,0.9,0.8,0.0,0.9211,0.9194,0.8,0.9211,0.875,0.9194,0.8071,0.8393,0.8786,0.9143,0.1,0.275,0.425,0.625,3458,2604,854
layered_paper,milp,0.0,0.0,144.08,0,0,hetero_w1,1,0,True,3458,7,24,1,0.058,0.069,True,3,18,0.5,0.75,0.75,0.55,0.65,0.7,0.75,0.05,0.25,0.4,0.6,0.9211,0.95,0.8125,0.0,0.9211,0.9194,0.8125,0.9211,0.875,0.9194,0.8071,0.8393,0.8786,0.9143,0.1,0.275,0.425,0.625,3458,2604,854
layered_paper,milp,0.0,0.0,144.08,0,0,hetero_w2,2,0,True,3458,7,24,1,0.058,0.074,True,3,18,0.5,0.75,0.75,0.55,0.65,0.7,0.75,0.05,0.25,0.4,0.6,0.9211,0.95,0.8125,0.0,0.9211,0.9194,0.8125,0.9211,0.875,0.9194,0.8071,0.8393,0.8786,0.9143,0.1,0.275,0.425,0.625,3458,2604,854
layered_paper,milp,0.0,0.0,144.08,0,0,hetero_w4,4,0,True,3458,7,24,1,0.058,0.076,True,3,20,0.5,0.75,0.75,0.6,0.65,0.7,0.75,0.1,0.2,0.4,0.55,0.9211,0.925,0.8125,0.0,0.9211,0.9194,0.8125,0.9211,0.875,0.9194,0.8071,0.8393,0.8786,0.9143,0.1,0.25,0.425,0.625,3458,2604,854
