instance,class,experiment,s1_name,s2_name,sweep_param,sweep_weight,s1_cost,s1_time,s1_optimal,s2_cost,s2_time,s2_optimal,total_trips,total_used_trips,R_1,R_TR,R_arc,A_1,concentrated_trips,mono_trips,overloaded_trips,empty_trips,max_concentration,s1_transport_cost,s1_underdiversified
paper_data,paper,sweep-s1-diversification,S1-div-w0,S2-FULL,div_weight,0,4816,119.024,False,"[40, 65, 4704]",11.677,False,47,46,0.0,0.0,0.0,0.7,4,13,0,1,1.0,4816,2
paper_data,paper,sweep-s1-diversification,S1-div-w20,S2-FULL,div_weight,20,4828,119.027,False,"[0, 75, 4627]",60.007,False,49,47,0.0,0.0,0.0,0.7,0,15,7,2,1.0,4788,2
paper_data,paper,sweep-s1-diversification,S1-div-w40,S2-FULL,div_weight,40,4634,119.029,False,"[10, 35, 4497]",0.27,False,45,43,0.0,0.0,0.0,0.8,1,7,3,2,1.0,4634,0
paper_data,paper,sweep-s1-diversification,S1-div-w60,S2-FULL,div_weight,60,4782,119.035,False,"[0, 65, 4608]",35.744,False,50,49,0.0,0.0,0.0,0.8,0,13,2,1,1.0,4662,2
paper_data,paper,sweep-s1-diversification,S1-div-w80,S2-FULL,div_weight,80,5188,119.033,False,"[20, 30, 4629]",0.043,False,49,47,0.0,0.0,0.0,0.8,2,6,9,2,1.0,4788,5
paper_data,paper,sweep-s1-diversification,S1-div-w100,S2-FULL,div_weight,100,4578,119.029,False,"[0, 60, 4131]",60.009,False,48,43,0.0,0.0,0.0,0.8,0,12,1,5,1.0,4578,0
paper_data,paper,sweep-s1-diversification,S1-div-w120,S2-FULL,div_weight,120,4642,119.022,False,"[0, 25, 4275]",1.229,False,48,45,0.0,0.0,0.0,0.8,0,5,5,3,1.0,4522,1
paper_data,paper,sweep-s1-diversification,S1-div-w140,S2-FULL,div_weight,140,4494,119.03,False,"[0, 60, 4414]",0.027,False,48,47,0.0,0.0,0.0,0.7,0,12,4,1,1.0,4494,0
paper_data,paper,sweep-s1-diversification,S1-div-w160,S2-FULL,div_weight,160,4550,119.027,False,"[0, 75, 4472]",58.756,False,48,47,0.0,0.0,0.0,0.8,0,15,6,1,1.0,4550,0
paper_data,paper,sweep-s1-diversification,S1-div-w180,S2-FULL,div_weight,180,4550,119.024,False,"[0, 110, 4470]",60.008,False,47,46,0.0,0.0,0.0,0.8,0,22,4,1,1.0,4550,0
paper_data,paper,sweep-s1-diversification,S1-div-w200,S2-FULL,div_weight,200,4522,119.023,False,"[0, 55, 4361]",60.007,False,48,46,0.0,0.0,0.0,0.8,0,11,7,2,1.0,4522,0
paper_data,paper,sweep-s1-diversification,S1-div-w220,S2-FULL,div_weight,220,5120,119.029,False,"[30, 20, 4625]",0.896,False,48,45,0.0,0.0,0.0,0.8,3,4,5,3,1.0,4900,1
paper_data,paper,sweep-s1-diversification,S1-div-w240,S2-FULL,div_weight,240,4634,119.057,False,"[0, 45, 4300]",60.009,False,48,45,0.0,0.0,0.0,0.8,0,9,2,3,1.0,4634,0
paper_data,paper,sweep-s1-diversification,S1-div-w260,S2-FULL,div_weight,260,4494,119.033,False,"[0, 55, 4357]",12.617,False,47,45,0.0,0.0,0.0,0.8,0,11,3,2,1.0,4494,0
paper_data,paper,sweep-s1-diversification,S1-div-w280,S2-FULL,div_weight,280,4550,119.033,False,"[0, 60, 4551]",0.024,False,47,47,0.0,0.0,0.0,0.8,0,12,1,0,1.0,4550,0
