instance_name,instance_size,seed,div_weight,nominal_cost,dominant_count,r_tr,worst_arc,worst_arc_coverage,s1_optimal,s1_time,status
small_seed1,small,1,0,25450,48,0.6078,"(l1,l6,tr2)",0.6078,False,29.084,OK
small_seed1,small,1,25,26175,41,0.6757,"(l1,l6,tr2)",0.6757,False,29.084,OK
small_seed1,small,1,50,39026,41,0.6739,"(l3,l5,tr2)",0.6739,False,29.086,OK
small_seed1,small,1,100,33958,38,0.6739,"(l1,l5,tr2)",0.6739,False,29.081,OK
small_seed1,small,1,150,31886,30,0.598,"(l4,l6,tr2)",0.598,False,29.076,OK
small_seed1,small,1,200,32274,25,0.6471,"(l2,l6,tr1)",0.6471,False,29.088,OK
small_seed1,small,1,300,35070,27,0.6486,"(l5,l6,tr2)",0.6486,False,29.075,OK
small_seed1,small,1,500,35518,24,0.5588,"(l2,l6,tr2)",0.5588,False,29.076,OK
small_seed1,small,1,750,69780,38,0.3824,"(l3,l6,tr2)",0.3824,False,29.076,OK
small_seed1,small,1,1000,64666,29,0.7609,"(l1,l2,tr2)",0.7609,False,29.078,OK
small_seed2,small,2,0,38499,24,0.6842,"(l6,l2,tr1)",0.6842,False,29.116,OK
small_seed2,small,2,25,58811,21,0.6316,"(l4,l2,tr2)",0.6316,False,29.122,OK
small_seed2,small,2,50,53124,28,0.7895,"(l3,l2,tr1)",0.7895,False,29.117,OK
small_seed2,small,2,100,53751,28,0.5789,"(l4,l2,tr1)",0.5789,False,29.118,OK
small_seed2,small,2,150,51256,21,0.7368,"(l5,l2,tr1)",0.7368,False,29.125,OK
small_seed2,small,2,200,63475,21,0.6842,"(l4,l2,tr1)",0.6842,False,29.124,OK
small_seed2,small,2,300,64066,19,0.6842,"(l1,l2,tr1)",0.6842,False,29.117,OK
small_seed2,small,2,500,75101,22,0.6842,"(l1,l2,tr1)",0.6842,False,29.116,OK
small_seed2,small,2,750,84750,26,0.7368,"(l3,l2,tr1)",0.7368,False,29.123,OK
small_seed2,small,2,1000,85300,24,0.7895,"(l4,l2,tr1)",0.7895,False,29.116,OK
small_seed3,small,3,0,10599,21,0.4872,"(l4,l6,tr2)",0.4872,False,29.063,OK
small_seed3,small,3,25,19150,19,0.4,"(l6,l2,tr2)",0.4,False,29.06,OK
small_seed3,small,3,50,14558,14,0.5897,"(l4,l6,tr2)",0.5897,False,29.061,OK
small_seed3,small,3,100,21835,24,0.7949,"(l1,l6,tr2)",0.7949,False,29.057,OK
small_seed3,small,3,150,22268,15,0.6154,"(l4,l6,tr2)",0.6154,False,29.064,OK
small_seed3,small,3,200,19951,12,0.6667,"(l2,l3,tr1)",0.6667,False,29.067,OK
small_seed3,small,3,300,23990,12,0.5385,"(l4,l6,tr2)",0.5385,False,29.065,OK
small_seed3,small,3,500,37883,20,0.7,"(l4,l2,tr1)",0.7,False,29.074,OK
small_seed3,small,3,750,38131,15,0.8,"(l1,l3,tr1)",0.8,False,29.064,OK
small_seed3,small,3,1000,53327,20,0.7143,"(l1,l3,tr2)",0.7143,False,29.06,OK
small_seed4,small,4,0,29313,35,0.5055,"(l5,l6,tr2)",0.5055,False,29.112,OK
small_seed4,small,4,25,52158,48,0.8148,"(l5,l3,tr2)",0.8148,False,29.081,OK
small_seed4,small,4,50,48008,22,0.4396,"(l3,l6,tr2)",0.4396,False,29.079,OK
small_seed4,small,4,100,55832,41,0.7759,"(l1,l2,tr2)",0.7759,False,29.078,OK
small_seed4,small,4,150,48702,29,0.6154,"(l5,l6,tr2)",0.6154,False,29.08,OK
small_seed4,small,4,200,50102,31,0.6044,"(l2,l6,tr2)",0.6044,False,29.106,OK
small_seed4,small,4,300,49719,28,0.7759,"(l1,l2,tr2)",0.7759,False,29.077,OK
small_seed4,small,4,500,58688,34,0.8022,"(l5,l2,tr2)",0.8022,False,29.081,OK
small_seed4,small,4,750,90963,45,0.6154,"(l2,l6,tr1)",0.6154,False,29.081,OK
small_seed4,small,4,1000,81952,34,0.7931,"(l1,l6,tr2)",0.7931,False,29.08,OK
small_seed5,small,5,0,52298,43,0.6667,"(l4,l3,tr1)",0.6667,False,29.092,OK
small_seed5,small,5,25,59799,35,0.68,"(l6,l2,tr2)",0.68,False,29.099,OK
small_seed5,small,5,50,48704,29,0.64,"(l4,l5,tr1)",0.64,False,29.097,OK
small_seed5,small,5,100,47828,23,0.6905,"(l6,l1,tr2)",0.6905,False,29.117,OK
small_seed5,small,5,150,51958,26,0.6905,"(l4,l3,tr1)",0.6905,False,29.096,OK
small_seed5,small,5,200,56910,24,0.62,"(l6,l5,tr2)",0.62,False,29.2,OK
small_seed5,small,5,300,57334,22,0.64,"(l6,l5,tr1)",0.64,False,29.117,OK
small_seed5,small,5,500,72800,24,0.78,"(l6,l3,tr1)",0.78,False,29.108,OK
small_seed5,small,5,750,87672,27,0.8851,"(l2,l6,tr1)",0.8851,False,29.108,OK
small_seed5,small,5,1000,95028,27,0.82,"(l6,l5,tr1)",0.82,False,29.095,OK
