instance_name,instance_size,seed,div_weight,nominal_cost,dominant_count,r_tr,worst_arc,worst_arc_coverage,s1_optimal,s1_time,status
small_seed1,small,1,0,9794,21,0.4314,"(l2,l6,tr2)",0.4314,False,601.56,OK
small_seed1,small,1,25,9384,14,0.4216,"(l4,l6,tr2)",0.4216,False,599.262,OK
small_seed1,small,1,50,13428,15,0.4608,"(l4,l6,tr2)",0.4608,False,599.107,OK
small_seed1,small,1,100,11524,12,0.5676,"(l5,l6,tr2)",0.5676,False,599.09,OK
small_seed1,small,1,150,14942,15,0.5,"(l4,l6,tr2)",0.5,False,599.097,OK
small_seed1,small,1,200,14956,14,0.5676,"(l5,l2,tr2)",0.5676,False,599.09,OK
small_seed1,small,1,300,19258,12,0.2843,"(l3,l6,tr2)",0.2843,False,599.136,OK
small_seed1,small,1,500,19560,10,0.6757,"(l5,l6,tr2)",0.6757,False,599.099,OK
small_seed1,small,1,750,20920,9,0.5784,"(l2,l6,tr2)",0.5784,False,599.09,OK
small_seed1,small,1,1000,34956,16,0.6486,"(l5,l3,tr2)",0.6486,False,599.085,OK
