instance_size,div_weight,transport_cost_mean,transport_cost_std,r_tr_mean,r_tr_std,dominant_count_mean,dominant_count_std,nominal_cost_mean,nominal_cost_std,s1_time_mean,s1_time_std,worst_arc_coverage_mean,worst_arc_coverage_std
small,0,9794.0,,0.4314,,21.0,,9794.0,,601.56,,0.4314,
small,25,9034.0,,0.4216,,14.0,,9384.0,,599.262,,0.4216,
small,50,12678.0,,0.4608,,15.0,,13428.0,,599.107,,0.4608,
small,100,10324.0,,0.5676,,12.0,,11524.0,,599.09,,0.5676,
small,150,12692.0,,0.5,,15.0,,14942.0,,599.097,,0.5,
small,200,12156.0,,0.5676,,14.0,,14956.0,,599.09,,0.5676,
small,300,15658.0,,0.2843,,12.0,,19258.0,,599.136,,0.2843,
small,500,14560.0,,0.6757,,10.0,,19560.0,,599.099,,0.6757,
small,750,14170.0,,0.5784,,9.0,,20920.0,,599.09,,0.5784,
small,1000,18956.0,,0.6486,,16.0,,34956.0,,599.085,,0.6486,
