div_weight,transport_cost,dominant_arcs,solver_cost,solve_time,optimal,rounds,improvements
0,4522,10,4522,1799.084,False,4,31
10,4466,7,4536,1799.05,False,4,45
50,4494,7,4844,1799.072,False,4,34
100,4746,6,5346,1799.064,False,4,35
150,4914,5,5664,1799.076,False,4,36
200,4494,6,5694,1799.068,False,4,35
250,5236,3,5986,1799.068,False,4,27
300,5530,2,6130,1799.058,False,4,38
350,5908,2,6608,1799.067,False,4,36
400,5558,2,6358,1799.072,False,4,34
450,6146,1,6596,1799.064,False,4,31
500,6216,0,6216,1799.064,False,4,32
