size_label,weight,s2_config,s1_dispatch,s2_dispatch,r_tr,r_1,n,saving_pct,cost_delta_pct
paper,0,off_off,3458.0,2744.0,0.5,0.75,2,20.6,0.0
paper,0,hetero,3458.0,2744.0,0.5,0.85,2,20.6,0.0
paper,0,conc,3458.0,3458.0,0.5,0.8,2,0.0,26.0
paper,0,both,3458.0,3458.0,0.5,0.8,2,0.0,26.0
paper,1000,off_off,3654.0,3108.0,0.7,0.75,2,14.9,0.0
paper,1000,hetero,3654.0,3276.0,0.7,0.85,2,10.3,5.4
paper,1000,conc,3654.0,3654.0,0.7,0.85,2,0.0,17.6
paper,1000,both,3654.0,3654.0,0.7,0.85,2,0.0,17.6
small,0,off_off,3918.0,3003.0,0.363,0.793,10,23.3,0.0
small,0,hetero,3918.0,3003.0,0.363,0.833,10,23.3,0.0
small,0,conc,3918.0,3783.0,0.363,0.83,10,3.5,25.9
small,0,both,3918.0,3795.0,0.363,0.81,10,3.1,26.3
small,300,off_off,4449.0,3540.0,0.457,0.807,10,20.4,0.0
small,300,hetero,4449.0,3556.0,0.457,0.82,10,20.1,0.5
small,300,conc,4449.0,4242.0,0.457,0.807,10,4.7,19.8
small,300,both,4449.0,4288.0,0.457,0.81,10,3.6,21.1
small,500,off_off,4570.0,3645.0,0.57,0.813,10,20.2,0.0
small,500,hetero,4570.0,3652.0,0.57,0.82,10,20.1,0.2
small,500,conc,4570.0,4353.0,0.57,0.817,10,4.7,19.4
small,500,both,4570.0,4290.0,0.57,0.81,10,6.1,17.7
small,750,off_off,5112.0,4093.0,0.6,0.803,10,19.9,0.0
small,750,hetero,5112.0,4093.0,0.6,0.833,10,19.9,0.0
small,750,conc,5112.0,4754.0,0.6,0.82,10,7.0,16.1
small,750,both,5112.0,4865.0,0.6,0.823,10,4.8,18.8
small,1000,off_off,4654.0,3643.0,0.593,0.807,10,21.7,0.0
small,1000,hetero,4654.0,3659.0,0.593,0.827,10,21.4,0.4
small,1000,conc,4654.0,4249.0,0.593,0.813,10,8.7,16.6
small,1000,both,4654.0,4372.0,0.593,0.81,10,6.1,20.0
medium,0,off_off,10021.0,8352.0,0.507,0.773,5,16.6,0.0
medium,0,hetero,10021.0,8352.0,0.507,0.793,5,16.6,0.0
medium,0,conc,10021.0,9205.0,0.507,0.787,5,8.1,10.2
medium,0,both,10021.0,9263.0,0.507,0.793,5,7.6,10.9
medium,300,off_off,11903.0,10194.0,0.62,0.78,5,14.4,0.0
medium,300,hetero,11903.0,10194.0,0.62,0.8,5,14.4,0.0
medium,300,conc,11903.0,10554.0,0.62,0.78,5,11.3,3.5
medium,300,both,11903.0,10527.0,0.62,0.793,5,11.6,3.3
medium,500,off_off,13130.0,10482.0,0.607,0.747,5,20.2,0.0
medium,500,hetero,13130.0,10491.0,0.607,0.8,5,20.1,0.1
