size,weight,first_r_tr,best_r_tr
paper,0,0.3,0.5
paper,1000,0.3,0.7
small,0,0.31,0.36
small,300,0.31,0.44
small,500,0.31,0.61
small,750,0.31,0.61
small,1000,0.31,0.63
small,1500,0.31,0.57
medium,0,0.34,0.45
medium,300,0.33,0.61
medium,500,0.33,0.63
medium,750,0.33,0.64
medium,1000,0.33,0.65
medium,1500,0.33,0.65
large,0,,0.57
large,300,,0.57
xlarge,0,0.43,0.62
xlarge,1000,0.43,0.6
xlarge,2000,0.43,0.62
xlarge,5000,0.43,0.62
industrylite,0,0.57,0.64
industrylite,2000,0.57,0.57
industry,0,0.0,0.0
industry,1000,0.0,0.0
