size_label,weight,s2_config,r_1,mono,s2_dispatch,s1_dispatch,n_seeds,ra08_single,ra08_global,saving_pct,delta_r1,delta_ra08s,delta_ra08g
paper,0,off_off,0.75,10.0,2744.0,3458.0,1,0.75,0.3,20.6,,,
paper,0,hetero,0.85,2.0,2744.0,3458.0,1,0.85,0.6,20.6,0.1,0.1,0.3
paper,0,conc,0.8,6.0,3458.0,3458.0,1,0.75,0.35,0.0,0.05,0.0,0.05
paper,0,both,0.8,6.0,3458.0,3458.0,1,0.7,0.4,0.0,0.05,-0.05,0.1
small,0,off_off,0.793,12.0,3003.0,3917.8,5,0.653,0.393,23.3,,,
small,0,hetero,0.833,2.0,3003.0,3917.8,5,0.76,0.56,23.3,0.04,0.1067,0.1667
small,0,conc,0.83,11.6,3783.0,3917.8,5,0.727,0.47,3.5,0.0367,0.0734,0.0766
small,0,both,0.81,10.9,3795.0,3917.8,5,0.743,0.48,3.1,0.0167,0.09,0.0867
medium,0,off_off,0.773,10.2,8352.0,10020.6,5,0.767,0.22,16.6,,,
medium,0,hetero,0.793,2.0,8352.0,10020.6,5,0.767,0.22,16.6,0.02,-0.0,0.0
medium,0,conc,0.787,6.2,9205.0,10020.6,5,0.76,0.153,8.1,0.0133,-0.0067,-0.0667
medium,0,both,0.793,5.4,9263.0,10020.6,5,0.773,0.227,7.6,0.02,0.0067,0.0067
large,0,off_off,0.833,23.8,12319.0,15801.0,5,,,22.0,,,
large,0,hetero,0.853,1.0,12421.0,15801.0,5,,,21.4,0.02,,
large,0,conc,0.847,25.6,13698.0,15801.0,5,,,13.3,0.0133,,
large,0,both,0.847,28.6,13717.0,15801.0,5,,,13.2,0.0134,,
xlarge,0,off_off,0.773,18.6,13825.0,17119.2,5,0.773,0.113,19.2,,,
xlarge,0,hetero,0.78,2.4,13825.0,17119.2,5,0.78,0.12,19.2,0.0067,0.0067,0.0067
xlarge,0,conc,0.793,23.8,15994.0,17119.2,5,0.78,0.12,6.6,0.02,0.0067,0.0067
xlarge,0,both,0.807,18.8,16046.0,17119.2,5,0.8,0.173,6.3,0.0333,0.0267,0.06
industrylite,0,off_off,0.827,53.4,53500.0,69782.2,5,0.827,0.067,23.3,,,
industrylite,0,hetero,0.82,6.2,53738.0,69782.2,5,0.82,0.093,23.0,-0.0067,-0.0067,0.0267
industrylite,0,conc,0.84,84.0,65005.0,69782.2,5,0.84,0.127,6.8,0.0133,0.0133,0.06
industrylite,0,both,0.827,102.0,65651.0,69782.2,5,0.82,0.12,5.9,0.0,-0.0067,0.0534
industry,0,off_off,0.0,98.0,34692162.0,151211810.0,1,,,77.1,,,
industry,0,hetero,0.0,116.0,36119670.0,151211810.0,1,,,76.1,0.0,,
industry,0,conc,0.0,98.0,34692162.0,151211810.0,1,,,77.1,0.0,,
industry,0,both,0.0,116.0,36119670.0,151211810.0,1,,,76.1,0.0,,
