size_label,weight,s2_config,r_1,mono,s2_dispatch,s1_dispatch,n_seeds,ra08_single,ra08_global,saving_pct,delta_r1,delta_ra08s,delta_ra08g
paper,1000,off_off,0.75,7.0,3108.0,3654.0,1,0.75,0.3,14.9,,,
paper,1000,hetero,0.85,0.0,3276.0,3654.0,1,0.85,0.55,10.3,0.1,0.1,0.25
paper,1000,conc,0.85,2.0,3654.0,3654.0,1,0.85,0.55,0.0,0.1,0.1,0.25
paper,1000,both,0.85,2.0,3654.0,3654.0,1,0.85,0.45,0.0,0.1,0.1,0.15
small,750,off_off,0.803,8.7,4093.0,5112.0,5,0.797,0.36,19.9,,,
small,750,hetero,0.833,1.4,4093.0,5112.0,5,0.833,0.457,19.9,0.03,0.0367,0.0967
small,750,conc,0.82,8.0,4754.0,5112.0,5,0.81,0.393,7.0,0.0167,0.0133,0.0333
small,750,both,0.823,6.6,4865.0,5112.0,5,0.813,0.397,4.8,0.02,0.0167,0.0367
medium,750,off_off,0.773,13.8,10062.0,11778.8,5,0.76,0.2,14.6,,,
medium,750,hetero,0.787,3.0,10062.0,11778.8,5,0.78,0.213,14.6,0.0133,0.02,0.0133
medium,750,conc,0.787,10.6,10722.0,11778.8,5,0.773,0.187,9.0,0.0133,0.0133,-0.0133
medium,750,both,0.807,8.8,10840.0,11778.8,5,0.78,0.24,8.0,0.0333,0.02,0.04
large,300,off_off,0.807,21.6,15581.0,18391.2,5,,,15.3,,,
large,300,hetero,0.827,6.2,15519.0,18391.2,5,,,15.6,0.02,,
large,300,conc,0.8,29.4,16815.0,18391.2,5,,,8.6,-0.0067,,
large,300,both,0.807,29.2,16649.0,18391.2,5,,,9.5,-0.0,,
xlarge,1000,off_off,0.773,26.4,15264.0,18625.6,5,0.773,0.113,18.0,,,
xlarge,1000,hetero,0.78,2.2,15264.0,18625.6,5,0.773,0.16,18.0,0.0067,0.0,0.0467
xlarge,1000,conc,0.753,33.4,17011.0,18625.6,5,0.74,0.133,8.7,-0.02,-0.0333,0.02
xlarge,1000,both,0.767,23.4,17082.0,18625.6,5,0.753,0.2,8.3,-0.0066,-0.02,0.0867
industrylite,1000,off_off,0.807,65.0,56417.0,74005.6,5,0.793,0.073,23.8,,,
industrylite,1000,hetero,0.84,4.0,56587.0,74005.6,5,0.82,0.12,23.5,0.0333,0.0267,0.0467
industrylite,1000,conc,0.807,95.4,65699.0,74005.6,5,0.773,0.14,11.2,0.0,-0.02,0.0667
industrylite,1000,both,0.8,108.2,66826.0,74005.6,5,0.773,0.133,9.7,-0.0067,-0.02,0.06
industry,0,off_off,0.0,98.0,34692162.0,151211810.0,1,,,77.1,,,
industry,0,hetero,0.0,116.0,36119670.0,151211810.0,1,,,76.1,0.0,,
industry,0,conc,0.0,98.0,34692162.0,151211810.0,1,,,77.1,0.0,,
industry,0,both,0.0,116.0,36119670.0,151211810.0,1,,,76.1,0.0,,
