size_label,weight,s2_config,a0.2,a0.4,a0.6,a0.8
paper,0,off_off,0.0,0.1,0.2,0.3
paper,0,hetero,0.1,0.2,0.4,0.6
paper,0,conc,0.05,0.1,0.3,0.35
paper,0,both,0.05,0.1,0.25,0.4
paper,1000,off_off,0.0,0.05,0.1,0.3
paper,1000,hetero,0.05,0.2,0.35,0.55
paper,1000,conc,0.05,0.15,0.35,0.55
paper,1000,both,0.05,0.15,0.35,0.45
small,0,off_off,0.007,0.077,0.193,0.393
small,0,hetero,0.047,0.177,0.363,0.56
small,0,conc,0.04,0.17,0.32,0.47
small,0,both,0.04,0.17,0.33,0.48
small,300,off_off,0.013,0.103,0.237,0.41
small,300,hetero,0.033,0.16,0.307,0.5
small,300,conc,0.04,0.153,0.297,0.433
small,300,both,0.027,0.13,0.273,0.45
small,500,off_off,0.023,0.11,0.257,0.437
small,500,hetero,0.04,0.153,0.307,0.517
small,500,conc,0.02,0.127,0.28,0.437
small,500,both,0.03,0.13,0.287,0.45
small,750,off_off,0.017,0.083,0.203,0.36
small,750,hetero,0.043,0.143,0.293,0.457
small,750,conc,0.033,0.133,0.263,0.393
small,750,both,0.03,0.127,0.277,0.397
small,1000,off_off,0.02,0.107,0.243,0.46
small,1000,hetero,0.033,0.15,0.317,0.507
small,1000,conc,0.02,0.107,0.25,0.393
small,1000,both,0.03,0.123,0.3,0.397
medium,0,off_off,0.007,0.04,0.08,0.22
medium,0,hetero,0.007,0.047,0.127,0.22
medium,0,conc,0.007,0.027,0.087,0.153
medium,0,both,0.007,0.04,0.12,0.227
medium,300,off_off,0.007,0.04,0.133,0.207
medium,300,hetero,0.007,0.047,0.147,0.26
medium,300,conc,0.0,0.033,0.107,0.153
medium,300,both,0.0,0.027,0.127,0.207
medium,500,off_off,0.0,0.02,0.127,0.2
medium,500,hetero,0.0,0.02,0.14,0.227
medium,500,conc,0.0,0.007,0.107,0.2
medium,500,both,0.0,0.007,0.093,0.173
medium,750,off_off,0.0,0.027,0.133,0.2
medium,750,hetero,0.0,0.033,0.14,0.213
medium,750,conc,0.0,0.02,0.133,0.187
medium,750,both,0.0,0.02,0.14,0.24
medium,1000,off_off,0.0,0.02,0.087,0.16
medium,1000,hetero,0.0,0.033,0.127,0.207
medium,1000,conc,0.0,0.007,0.16,0.24
medium,1000,both,0.0,0.013,0.147,0.22
xlarge,0,off_off,0.0,0.0,0.027,0.113
xlarge,0,hetero,0.0,0.007,0.067,0.12
xlarge,0,conc,0.0,0.007,0.047,0.12
xlarge,0,both,0.0,0.007,0.08,0.173
xlarge,1000,off_off,0.0,0.0,0.06,0.113
xlarge,1000,hetero,0.0,0.0,0.113,0.16
xlarge,1000,conc,0.0,0.007,0.047,0.133
xlarge,1000,both,0.0,0.007,0.113,0.2
industrylite,0,off_off,0.0,0.0,0.027,0.067
industrylite,0,hetero,0.0,0.0,0.053,0.093
industrylite,0,conc,0.0,0.007,0.067,0.127
industrylite,0,both,0.0,0.0,0.073,0.12
industrylite,1000,off_off,0.0,0.0,0.027,0.073
industrylite,1000,hetero,0.0,0.0,0.087,0.12
industrylite,1000,conc,0.0,0.0,0.067,0.14
industrylite,1000,both,0.0,0.0,0.067,0.133
