weight,config,single_0.2,single_0.4,single_0.6,single_0.8,global_0.2,global_0.4,global_0.6,global_0.8
0,off_off,0.48,0.62,0.7,0.75,0.01,0.05,0.17,0.26
0,hetero,0.47,0.55,0.64,0.76,0.01,0.05,0.18,0.3
0,conc,0.5,0.58,0.66,0.76,0.0,0.02,0.12,0.28
0,both,0.49,0.57,0.65,0.76,0.01,0.04,0.15,0.23
300,off_off,0.62,0.66,0.66,0.78,0.0,0.05,0.15,0.28
300,hetero,0.62,0.68,0.72,0.82,0.01,0.08,0.19,0.32
300,conc,0.63,0.68,0.68,0.78,0.0,0.05,0.17,0.29
300,both,0.62,0.68,0.7,0.77,0.0,0.06,0.18,0.26
500,off_off,0.63,0.67,0.68,0.75,0.0,0.02,0.09,0.19
500,hetero,0.63,0.68,0.72,0.8,0.0,0.06,0.14,0.28
500,conc,0.63,0.68,0.76,0.79,0.0,0.04,0.12,0.24
500,both,0.63,0.68,0.74,0.8,0.0,0.03,0.13,0.24
750,off_off,0.65,0.7,0.72,0.78,0.0,0.03,0.17,0.25
750,hetero,0.65,0.68,0.73,0.78,0.0,0.02,0.2,0.28
750,conc,0.65,0.68,0.77,0.79,0.0,0.03,0.18,0.29
750,both,0.65,0.68,0.78,0.79,0.0,0.04,0.21,0.28
1000,off_off,0.65,0.68,0.69,0.75,0.01,0.04,0.14,0.22
1000,hetero,0.65,0.68,0.68,0.76,0.01,0.04,0.13,0.22
1000,conc,0.65,0.68,0.73,0.82,0.01,0.03,0.15,0.24
1000,both,0.65,0.68,0.73,0.8,0.01,0.03,0.18,0.28
1500,off_off,0.67,0.69,0.77,0.79,0.0,0.03,0.17,0.23
1500,hetero,0.67,0.69,0.76,0.8,0.02,0.04,0.2,0.27
1500,conc,0.67,0.72,0.78,0.79,0.01,0.02,0.15,0.22
1500,both,0.67,0.72,0.76,0.78,0.01,0.03,0.18,0.2
