size_label,weight,s2_config,a0.2,a0.4,a0.6,a0.8
paper,0,off_off,0.5,0.6,0.65,0.75
paper,0,hetero,0.55,0.7,0.7,0.85
paper,0,conc,0.55,0.6,0.7,0.75
paper,0,both,0.55,0.6,0.7,0.7
paper,1000,off_off,0.7,0.7,0.7,0.75
paper,1000,hetero,0.7,0.7,0.8,0.85
paper,1000,conc,0.7,0.75,0.8,0.85
paper,1000,both,0.7,0.75,0.8,0.85
small,0,off_off,0.423,0.467,0.517,0.653
small,0,hetero,0.417,0.517,0.64,0.76
small,0,conc,0.42,0.517,0.627,0.727
small,0,both,0.417,0.527,0.63,0.743
small,300,off_off,0.487,0.573,0.643,0.787
small,300,hetero,0.49,0.587,0.68,0.807
small,300,conc,0.493,0.567,0.683,0.78
small,300,both,0.487,0.557,0.667,0.78
small,500,off_off,0.59,0.643,0.673,0.793
small,500,hetero,0.587,0.66,0.693,0.82
small,500,conc,0.59,0.647,0.703,0.797
small,500,both,0.587,0.65,0.707,0.79
small,750,off_off,0.607,0.637,0.677,0.797
small,750,hetero,0.607,0.667,0.713,0.833
small,750,conc,0.623,0.687,0.723,0.81
small,750,both,0.623,0.69,0.737,0.813
small,1000,off_off,0.593,0.627,0.66,0.793
small,1000,hetero,0.6,0.663,0.71,0.827
small,1000,conc,0.607,0.663,0.703,0.79
small,1000,both,0.603,0.653,0.72,0.79
medium,0,off_off,0.547,0.613,0.653,0.767
medium,0,hetero,0.54,0.593,0.653,0.767
medium,0,conc,0.54,0.593,0.687,0.76
medium,0,both,0.533,0.6,0.66,0.773
medium,300,off_off,0.62,0.68,0.707,0.78
medium,300,hetero,0.62,0.667,0.7,0.8
medium,300,conc,0.62,0.68,0.7,0.78
medium,300,both,0.62,0.7,0.72,0.793
medium,500,off_off,0.607,0.66,0.667,0.713
medium,500,hetero,0.627,0.673,0.707,0.78
medium,500,conc,0.607,0.633,0.687,0.733
medium,500,both,0.613,0.647,0.72,0.747
medium,750,off_off,0.607,0.64,0.653,0.76
medium,750,hetero,0.607,0.653,0.68,0.78
medium,750,conc,0.607,0.68,0.7,0.773
medium,750,both,0.607,0.68,0.7,0.78
medium,1000,off_off,0.607,0.64,0.667,0.753
medium,1000,hetero,0.613,0.667,0.707,0.767
medium,1000,conc,0.607,0.673,0.747,0.773
medium,1000,both,0.607,0.68,0.727,0.76
xlarge,0,off_off,0.68,0.707,0.74,0.773
xlarge,0,hetero,0.673,0.733,0.78,0.78
xlarge,0,conc,0.66,0.707,0.767,0.78
xlarge,0,both,0.66,0.713,0.74,0.8
xlarge,1000,off_off,0.633,0.68,0.7,0.773
xlarge,1000,hetero,0.633,0.687,0.707,0.773
xlarge,1000,conc,0.647,0.687,0.7,0.74
xlarge,1000,both,0.64,0.687,0.707,0.753
industrylite,0,off_off,0.733,0.767,0.793,0.827
industrylite,0,hetero,0.733,0.753,0.8,0.82
industrylite,0,conc,0.7,0.787,0.8,0.84
industrylite,0,both,0.7,0.773,0.793,0.82
industrylite,1000,off_off,0.62,0.66,0.687,0.793
industrylite,1000,hetero,0.627,0.687,0.74,0.82
industrylite,1000,conc,0.627,0.673,0.74,0.773
industrylite,1000,both,0.62,0.66,0.747,0.773

