weight,config,single_0.2,single_0.4,single_0.6,single_0.8,global_0.2,global_0.4,global_0.6,global_0.8
0,off_off,0.42,0.47,0.51,0.65,0.01,0.09,0.19,0.39
0,hetero,0.41,0.52,0.63,0.75,0.05,0.18,0.35,0.56
0,conc,0.41,0.51,0.6,0.74,0.03,0.15,0.3,0.49
0,both,0.41,0.51,0.63,0.75,0.05,0.17,0.34,0.5
300,off_off,0.47,0.57,0.64,0.77,0.01,0.09,0.25,0.43
300,hetero,0.49,0.6,0.67,0.82,0.04,0.17,0.33,0.56
300,conc,0.47,0.53,0.61,0.73,0.03,0.13,0.28,0.45
300,both,0.47,0.54,0.61,0.74,0.03,0.13,0.29,0.44
500,off_off,0.62,0.67,0.69,0.8,0.03,0.09,0.24,0.39
500,hetero,0.62,0.68,0.71,0.82,0.04,0.12,0.28,0.44
500,conc,0.62,0.67,0.71,0.79,0.03,0.11,0.3,0.39
500,both,0.62,0.69,0.71,0.81,0.03,0.13,0.29,0.4
750,off_off,0.61,0.67,0.69,0.79,0.02,0.09,0.24,0.41
750,hetero,0.62,0.67,0.7,0.82,0.04,0.14,0.3,0.45
750,conc,0.61,0.67,0.7,0.79,0.03,0.1,0.26,0.39
750,both,0.62,0.68,0.72,0.81,0.03,0.11,0.28,0.41
1000,off_off,0.64,0.65,0.68,0.8,0.01,0.05,0.17,0.37
1000,hetero,0.65,0.7,0.73,0.83,0.03,0.12,0.28,0.45
1000,conc,0.65,0.71,0.74,0.81,0.03,0.12,0.29,0.39
1000,both,0.65,0.71,0.75,0.81,0.03,0.13,0.32,0.42
1500,off_off,0.58,0.63,0.69,0.8,0.01,0.07,0.21,0.37
1500,hetero,0.61,0.68,0.76,0.84,0.03,0.13,0.32,0.5
1500,conc,0.6,0.66,0.71,0.77,0.03,0.12,0.29,0.39
1500,both,0.61,0.65,0.71,0.77,0.05,0.15,0.29,0.42
