weight,config,single_0.2,single_0.4,single_0.6,single_0.8,global_0.2,global_0.4,global_0.6,global_0.8
0,off_off,0.67,0.68,0.72,0.75,0.0,0.0,0.01,0.11
0,hetero,0.66,0.73,0.77,0.78,0.0,0.02,0.07,0.12
0,conc,0.64,0.68,0.74,0.77,0.0,0.01,0.06,0.1
0,both,0.64,0.69,0.71,0.77,0.0,0.0,0.09,0.14
1000,off_off,0.61,0.68,0.7,0.77,0.0,0.0,0.05,0.11
1000,hetero,0.6,0.67,0.72,0.78,0.0,0.01,0.12,0.18
1000,conc,0.62,0.68,0.7,0.74,0.0,0.01,0.03,0.12
1000,both,0.62,0.68,0.71,0.75,0.0,0.02,0.1,0.2
2000,off_off,0.68,0.69,0.73,0.75,0.0,0.0,0.05,0.14
2000,hetero,0.63,0.72,0.78,0.79,0.0,0.01,0.09,0.18
2000,conc,0.65,0.69,0.71,0.72,0.0,0.0,0.07,0.1
2000,both,0.66,0.71,0.72,0.76,0.0,0.02,0.1,0.16
5000,off_off,0.63,0.63,0.72,0.73,0.0,0.01,0.07,0.14
5000,hetero,0.63,0.65,0.72,0.76,0.0,0.0,0.09,0.21
5000,conc,0.64,0.67,0.7,0.75,0.0,0.0,0.07,0.17
5000,both,0.64,0.67,0.7,0.77,0.0,0.01,0.08,0.16
