size_label,weight,r_tr,r_1,nominal_cost,s1_dispatch,s2_dispatch,n,ra08_single,ra08_global,saving_pct
paper,0,0.5,0.8,3458.0,3458.0,3101.0,8,0.762,0.412,10.3
paper,1000,0.7,0.825,3654.0,3654.0,3423.0,8,0.825,0.462,6.3
small,0,0.363,0.817,3918.0,3918.0,3396.0,40,0.721,0.476,13.3
small,300,0.457,0.811,4719.0,4449.0,3906.0,40,0.788,0.448,12.2
small,500,0.57,0.815,4920.0,4570.0,3985.0,40,0.8,0.46,12.8
small,750,0.6,0.82,5412.0,5112.0,4451.0,40,0.813,0.402,12.9
small,1000,0.593,0.814,5154.0,4654.0,3981.0,40,0.8,0.439,14.5
medium,0,0.507,0.787,10021.0,10021.0,8793.0,20,0.767,0.205,12.2
medium,300,0.62,0.788,12563.0,11903.0,10367.0,20,0.788,0.207,12.9
medium,500,0.607,0.77,14330.0,13130.0,10866.0,20,0.743,0.2,17.2
medium,750,0.593,0.788,13279.0,11779.0,10422.0,20,0.773,0.21,11.5
medium,1000,0.593,0.76,14125.0,12525.0,11198.0,20,0.763,0.207,10.6
xlarge,0,0.647,0.788,17119.0,17119.0,14922.0,20,0.783,0.132,12.8
xlarge,1000,0.633,0.768,20826.0,18626.0,16156.0,20,0.76,0.152,13.3
industrylite,0,0.7,0.828,69782.0,69782.0,59473.0,20,0.827,0.102,14.8
industrylite,1000,0.6,0.813,83006.0,74006.0,61382.0,20,0.79,0.117,17.1
