size,weight,r_tr,s1_cost,s2_cost,saving_pct
paper,0,0.5,3458.0,3101.0,10.3
paper,1000,0.7,3654.0,3423.0,6.3
small,0,0.36,3904.0,3419.0,12.4
small,750,0.61,4824.0,4274.0,11.4
medium,0,0.45,8144.0,7010.0,13.9
medium,750,0.64,11019.0,10235.0,7.1
large,0,0.57,15801.0,13039.0,17.5
large,300,0.57,18391.0,16141.0,12.2
xlarge,0,0.62,18533.0,16006.0,13.6
xlarge,1000,0.6,20288.0,17424.0,14.1
industrylite,0,0.64,75022.0,62359.0,16.9
industrylite,2000,0.57,74391.0,61213.0,17.7
industry,0,0.0,400238374.0,115857792.0,71.1
