instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,status
layered_large_seed1,layered,large,1,0,3,off_off,0,0,17629,0,0.6667,"(l6,l7,tr1)",0.8333,"(l4,l9,tr2,k1)",0.8333,"(l4,l9,tr2,k1)",p3,9,43,False,200.04,[],17629,14382,3247,False,200.019,[],OK
layered_large_seed1,layered,large,1,0,3,hetero,1,0,17629,0,0.6667,"(l6,l7,tr1)",0.8333,"(l4,l9,tr2,k1)",0.8333,"(l4,l9,tr2,k1)",p3,9,43,False,200.04,[],17629,14382,3247,False,200.018,[],OK
layered_large_seed1,layered,large,1,0,3,conc,0,1,17629,0,0.6667,"(l6,l7,tr1)",0.8333,"(l4,l9,tr2,k1)",0.8333,"(l4,l9,tr2,k1)",p3,9,43,False,200.04,[],17629,14382,3247,False,200.017,[],OK
layered_large_seed1,layered,large,1,0,3,both,1,1,17629,0,0.6667,"(l6,l7,tr1)",0.8333,"(l4,l9,tr2,k1)",0.8333,"(l4,l9,tr2,k1)",p3,9,43,False,200.04,[],17629,14382,3247,False,200.02,[],OK
layered_large_seed1,layered,large,1,1000,3,off_off,0,0,19273,0,0.6667,"(l1,l7,tr1)",0.9,"(l6,l7,tr2,k3)",0.9,"(l6,l7,tr2,k3)",p4,9,49,False,200.044,[],19273,15032,4241,False,200.026,[],OK
layered_large_seed1,layered,large,1,1000,3,hetero,1,0,19273,0,0.6667,"(l1,l7,tr1)",0.8333,"(l2,l3,tr2,k6)",0.8333,"(l2,l3,tr2,k6)",p3,2,56,False,200.044,[],19273,15032,4241,False,200.07,[],OK
layered_large_seed1,layered,large,1,1000,3,conc,0,1,19273,0,0.6667,"(l1,l7,tr1)",0.8667,"(l6,l7,tr2,k4)",0.8667,"(l6,l7,tr2,k4)",p4,15,40,False,200.044,[],19273,15191,4082,False,200.025,[],OK
layered_large_seed1,layered,large,1,1000,3,both,1,1,19273,0,0.6667,"(l1,l7,tr1)",0.8667,"(l6,l7,tr2,k1)",0.8667,"(l6,l7,tr2,k1)",p4,9,44,False,200.044,[],19273,15032,4241,False,200.027,[],OK
layered_large_seed2,layered,large,2,0,3,off_off,0,0,16340,2,0.5333,"(l1,l7,tr1)",0.8,"(l2,l6,tr1,k2)",0.8,"(l2,l6,tr1,k2)",p4,8,57,False,200.047,[],16340,12924,3416,False,200.021,[],OK
layered_large_seed2,layered,large,2,0,3,hetero,1,0,16340,2,0.5333,"(l1,l7,tr1)",0.8,"(l2,l6,tr1,k2)",0.8,"(l2,l6,tr1,k2)",p4,8,57,False,200.047,[],16340,12924,3416,False,200.021,[],OK
layered_large_seed2,layered,large,2,0,3,conc,0,1,16340,2,0.5333,"(l1,l7,tr1)",0.8,"(l2,l6,tr1,k2)",0.8,"(l2,l6,tr1,k2)",p4,8,57,False,200.047,[],16340,12924,3416,False,200.022,[],OK
layered_large_seed2,layered,large,2,0,3,both,1,1,16340,2,0.5333,"(l1,l7,tr1)",0.8,"(l2,l6,tr1,k2)",0.8,"(l2,l6,tr1,k2)",p4,8,57,False,200.047,[],16340,12924,3416,False,200.024,[],OK
layered_large_seed2,layered,large,2,1000,3,off_off,0,0,18836,4,0.6,"(l1,l7,tr1)",0.8,"(l5,l8,tr1,k3)",0.8,"(l5,l8,tr1,k3)",p4,7,42,False,200.119,[],14836,13256,1580,False,200.028,[],OK
layered_large_seed2,layered,large,2,1000,3,hetero,1,0,18836,4,0.6,"(l1,l7,tr1)",0.8333,"(l5,l8,tr1,k4)",0.8333,"(l5,l8,tr1,k4)",p4,4,43,False,200.119,[],14836,13256,1580,False,200.043,[],OK
layered_large_seed2,layered,large,2,1000,3,conc,0,1,18836,4,0.6,"(l1,l7,tr1)",0.8,"(l1,l4,tr1,k2)",0.8,"(l1,l4,tr1,k2)",p1,13,31,False,200.119,[],14836,13256,1580,False,200.04,[],OK
layered_large_seed2,layered,large,2,1000,3,both,1,1,18836,4,0.6,"(l1,l7,tr1)",0.8333,"(l4,l9,tr2,k2)",0.8333,"(l4,l9,tr2,k2)",p1,9,32,False,200.119,[],14836,13256,1580,False,200.022,[],OK
layered_large_seed3,layered,large,3,0,3,off_off,0,0,13716,4,0.5333,"(l2,l4,tr2)",0.8333,"(l2,l5,tr2,k1)",0.8333,"(l2,l5,tr2,k1)",p4,13,41,False,200.062,[],13716,11593,2123,False,200.027,[],OK
layered_large_seed3,layered,large,3,0,3,hetero,1,0,13716,4,0.5333,"(l2,l4,tr2)",0.8333,"(l6,l7,tr2,k2)",0.8333,"(l6,l7,tr2,k2)",p3,13,41,False,200.062,[],13716,11593,2123,False,200.023,[],OK
layered_large_seed3,layered,large,3,0,3,conc,0,1,13716,4,0.5333,"(l2,l4,tr2)",0.8333,"(l2,l5,tr2,k1)",0.8333,"(l2,l5,tr2,k1)",p4,13,41,False,200.062,[],13716,11593,2123,False,200.021,[],OK
