weight,config,s2_cost,r_tr,r_1,pareto_optimal
0,both,3750.4,0.3667,0.8133,False
0,conc,3796.6,0.3667,0.8333,False
0,hetero,2996.4,0.3667,0.84,True
0,off_off,2996.4,0.3667,0.7933,True
300,both,4247.2,0.4333,0.8133,False
300,conc,4233.2,0.4333,0.8067,False
300,hetero,3547.2,0.4333,0.82,False
300,off_off,3531.2,0.4333,0.8067,True
500,both,4289.6,0.58,0.8067,False
500,conc,4386.8,0.58,0.82,False
500,hetero,3788.8,0.58,0.82,False
500,off_off,3774.0,0.58,0.8133,True
750,both,4787.8,0.6,0.8267,False
750,conc,4767.0,0.6,0.8267,False
750,hetero,4139.8,0.6,0.8333,False
750,off_off,4139.8,0.6,0.8133,False
1000,both,4528.0,0.62,0.82,False
1000,conc,4433.6,0.62,0.8267,False
1000,hetero,3834.0,0.62,0.8333,False
1000,off_off,3783.0,0.62,0.8067,True
