weight,config,s2_cost,r_tr,r_1,pareto_optimal
0,both,5688,0.1667,0.8667,False
0,conc,5720,0.1667,0.8667,False
0,hetero,4564,0.1667,0.8667,True
0,off_off,4564,0.1667,0.8667,True
300,both,6240,0.3333,0.8667,False
300,conc,5956,0.3333,0.8667,False
300,hetero,4700,0.3333,0.8667,True
300,off_off,4700,0.3333,0.8667,True
500,both,6724,0.6667,0.8667,False
500,conc,6724,0.6667,0.8667,False
500,hetero,5424,0.6667,0.8667,True
500,off_off,5424,0.6667,0.8667,True
750,both,6724,0.6667,0.8667,False
750,conc,6724,0.6667,0.8667,False
750,hetero,5424,0.6667,0.8667,True
750,off_off,5424,0.6667,0.8667,True
1000,both,6508,0.6667,0.8667,False
1000,conc,6508,0.6667,0.8667,False
1000,hetero,5424,0.6667,0.8667,True
1000,off_off,5424,0.6667,0.8667,True
1500,both,6724,0.6667,0.8667,False
1500,conc,6724,0.6667,0.8667,False
1500,hetero,5424,0.6667,0.8667,True
1500,off_off,5424,0.6667,0.8667,True
