size,weight,R1_off_off,R1_off_off_std,R1_hetero,R1_hetero_std,R1_conc,R1_conc_std,R1_both,R1_both_std
paper,0,0.75,0.0,0.85,0.0,0.8,0.0,0.8,0.0
paper,1000,0.75,0.0,0.85,0.0,0.85,0.0,0.85,0.0
small,0,0.7933,0.0641,0.8267,0.076,0.8133,0.065,0.8133,0.065
small,300,0.8,0.0624,0.8267,0.0723,0.8067,0.0641,0.8067,0.0641
small,500,0.82,0.0506,0.82,0.0691,0.8067,0.0641,0.8133,0.0506
small,750,0.8067,0.0548,0.82,0.0767,0.8067,0.0641,0.82,0.0506
small,1000,0.8067,0.0641,0.8267,0.0548,0.82,0.038,0.8267,0.0365
small,1500,0.82,0.038,0.84,0.0279,0.8133,0.0506,0.8133,0.0506
medium,0,0.78,0.0505,0.7666,0.0624,0.7833,0.0577,0.7916,0.0419
medium,300,0.7667,0.072,0.8167,0.0333,0.775,0.0739,0.7916,0.0419
medium,500,0.75,0.0793,0.8,0.072,0.7916,0.0419,0.8,0.0272
medium,750,0.775,0.0787,0.7833,0.0638,0.7917,0.0319,0.7917,0.0319
medium,1000,0.7417,0.0876,0.7583,0.0876,0.8083,0.0166,0.7916,0.0419
medium,1500,0.7833,0.043,0.8,0.0471,0.8083,0.0319,0.8,0.0471
large,0,0.8333,0.0408,0.8533,0.0298,0.8467,0.038,0.8467,0.0447
large,300,0.8067,0.0548,0.8267,0.0641,0.8,0.0707,0.8067,0.0641
xlarge,0,0.7667,0.0272,0.7916,0.0419,0.8,0.0272,0.7917,0.0319
xlarge,1000,0.775,0.05,0.7917,0.0319,0.775,0.0419,0.775,0.0419
xlarge,2000,0.7667,0.0471,0.8,0.0471,0.7833,0.043,0.775,0.0319
xlarge,5000,0.75,0.0638,0.7917,0.0569,0.7833,0.0638,0.7916,0.0419
industrylite,0,0.82,0.038,0.8267,0.0435,0.8133,0.038,0.82,0.038
industrylite,2000,0.8067,0.0435,0.8133,0.0506,0.8067,0.0279,0.8,0.0235
industry,0,0.011,0.0291,0.022,0.0436,0.011,0.0291,0.0538,0.0843
industry,1000,0.0154,0.0211,0.0,0.0,0.0154,0.0211,0.0,0.0
