size,config,r_heaviest_single_0.2,r_heaviest_single_0.4,r_heaviest_single_0.6,r_heaviest_single_0.8,r_heaviest_global_0.2,r_heaviest_global_0.4,r_heaviest_global_0.6,r_heaviest_global_0.8,r_first_single_0.2,r_first_single_0.4,r_first_single_0.6,r_first_single_0.8,r_first_global_0.2,r_first_global_0.4,r_first_global_0.6,r_first_global_0.8,r_last_single_0.2,r_last_single_0.4,r_last_single_0.6,r_last_single_0.8,r_last_global_0.2,r_last_global_0.4,r_last_global_0.6,r_last_global_0.8
paper,off_off,0.6,0.65,0.675,0.75,0.0,0.075,0.15,0.3,0.6,0.675,0.675,0.8,0.0,0.2,0.35,0.475,0.625,0.65,0.7,0.75,0.05,0.1,0.3,0.4
paper,hetero,0.625,0.7,0.75,0.85,0.075,0.2,0.375,0.575,0.625,0.7,0.725,0.85,0.05,0.2,0.4,0.55,0.625,0.7,0.75,0.85,0.075,0.225,0.375,0.575
paper,conc,0.625,0.675,0.75,0.8,0.05,0.125,0.325,0.45,0.6,0.65,0.775,0.825,0.025,0.15,0.425,0.55,0.625,0.675,0.75,0.8,0.05,0.15,0.35,0.55
paper,both,0.625,0.675,0.75,0.775,0.05,0.125,0.3,0.425,0.625,0.675,0.75,0.825,0.05,0.15,0.35,0.5,0.6,0.65,0.725,0.775,0.025,0.15,0.325,0.425
small,off_off,0.5578,0.6111,0.6511,0.77,0.0133,0.0778,0.2178,0.3944,0.5656,0.64,0.7033,0.8122,0.0311,0.1367,0.3367,0.5189,0.5678,0.6455,0.6956,0.7956,0.0333,0.1456,0.3167,0.5144
small,hetero,0.5678,0.6422,0.6989,0.8133,0.0389,0.1433,0.3111,0.4944,0.5711,0.67,0.7322,0.8222,0.0511,0.1878,0.3967,0.57,0.5744,0.6744,0.7355,0.83,0.0467,0.1789,0.3778,0.5456
small,conc,0.56,0.6244,0.6789,0.7733,0.0311,0.1222,0.2878,0.4167,0.5611,0.6378,0.7222,0.8089,0.0433,0.16,0.3656,0.5445,0.5611,0.6489,0.7378,0.8211,0.0367,0.1944,0.3989,0.56
small,both,0.5622,0.6289,0.6889,0.7822,0.0378,0.1378,0.3011,0.4322,0.5656,0.6633,0.7367,0.8267,0.0389,0.2033,0.3967,0.5644,0.5667,0.6467,0.7178,0.8122,0.0411,0.1733,0.3689,0.5244
medium,off_off,0.612,0.668,0.704,0.764,0.0027,0.0387,0.1493,0.2387,0.6147,0.6613,0.7093,0.768,0.004,0.04,0.1733,0.2813,0.6187,0.676,0.716,0.7813,0.0027,0.048,0.1933,0.2987
medium,hetero,0.6093,0.6573,0.7067,0.784,0.0067,0.048,0.1747,0.2787,0.62,0.676,0.7333,0.792,0.008,0.0613,0.204,0.3,0.6133,0.672,0.7293,0.7973,0.0053,0.0573,0.2027,0.304
medium,conc,0.6222,0.6681,0.7278,0.7875,0.0028,0.0347,0.1472,0.2611,0.6236,0.6819,0.7431,0.7889,0.0056,0.0583,0.1986,0.2958,0.6236,0.6736,0.7528,0.8042,0.0056,0.0653,0.2153,0.3208
medium,both,0.6195,0.6667,0.7264,0.7847,0.0042,0.0403,0.1694,0.2486,0.6264,0.6875,0.75,0.8097,0.0056,0.05,0.2069,0.3167,0.6264,0.675,0.7431,0.8014,0.0042,0.0611,0.2111,0.3083
large,off_off,,,,,,,,,,,,,,,,,,,,,,,,
large,hetero,,,,,,,,,,,,,,,,,,,,,,,,
large,conc,,,,,,,,,,,,,,,,,,,,,,,,
large,both,,,,,,,,,,,,,,,,,,,,,,,,
xlarge,off_off,0.6458,0.6708,0.7167,0.75,0.0,0.0021,0.0437,0.125,0.65,0.6979,0.7292,0.7812,0.0,0.0042,0.0938,0.2,0.6375,0.6917,0.7396,0.8021,0.0,0.0167,0.1542,0.2375
xlarge,hetero,0.6312,0.6917,0.7458,0.7792,0.0,0.0083,0.0938,0.1688,0.6542,0.7187,0.7646,0.8083,0.0,0.0104,0.1354,0.2417,0.6479,0.6979,0.7458,0.8187,0.0,0.0188,0.1458,0.2542
xlarge,conc,0.6396,0.6792,0.7125,0.7458,0.0,0.0042,0.0562,0.1229,0.6667,0.7062,0.7521,0.7979,0.0,0.0167,0.1125,0.2292,0.6458,0.6854,0.7604,0.8021,0.0,0.0417,0.1687,0.2833
xlarge,both,0.6417,0.6875,0.7104,0.7625,0.0,0.0125,0.0938,0.1646,0.6479,0.7021,0.7604,0.8021,0.0,0.025,0.1438,0.2667,0.6417,0.6979,0.7542,0.8188,0.0,0.0563,0.1813,0.2708
industrylite,off_off,0.6333,0.67,0.7133,0.8,0.0,0.0,0.0333,0.0767,0.63,0.7,0.75,0.8167,0.0,0.01,0.0667,0.14,0.6467,0.7133,0.7267,0.8,0.0,0.0067,0.1233,0.1967
industrylite,hetero,0.63,0.6767,0.7233,0.8033,0.0,0.0,0.05,0.12,0.64,0.7333,0.7766,0.8267,0.0,0.0,0.0967,0.1567,0.6267,0.6933,0.7267,0.82,0.0,0.0067,0.1233,0.2033
industrylite,conc,0.64,0.7033,0.7467,0.8,0.0,0.0033,0.0667,0.13,0.64,0.7033,0.7767,0.83,0.0,0.0033,0.1233,0.21,0.65,0.72,0.7633,0.8267,0.0,0.01,0.1633,0.26
