size_label,weight,s2_config,n_seeds,r_tr_mean,r_tr_std,r_1_mean,r_1_std,k_1_mean,s2_cost_mean,s1_cost_mean,cost_saving_mean,mono_mean,conc_mean,exposure_mean,s1_time_mean,s2_time_mean,s1_optimal_pct,s2_optimal_pct
paper,0,off_off,1,0.5,0.0,0.75,0.0,0.75,2744.0,3458.0,714.0,9.5,12.5,4.0,9.5,0.0,100.0,100.0
paper,0,hetero,1,0.5,0.0,0.8,0.0707,0.8,2744.0,3458.0,714.0,5.5,14.0,4.0,9.5,0.0,100.0,100.0
paper,0,conc,1,0.5,0.0,0.775,0.0354,0.775,3101.0,3458.0,357.0,7.5,13.0,4.0,9.5,12.9,100.0,100.0
paper,0,both,1,0.5,0.0,0.775,0.0354,0.775,3101.0,3458.0,357.0,7.5,13.0,4.0,9.5,29.9,100.0,100.0
paper,300,off_off,1,0.7,0.0,0.75,0.0,0.75,2940.0,3654.0,714.0,11.5,18.0,0.0,26.2,0.0,100.0,100.0
paper,300,hetero,1,0.7,0.0,0.8,0.0707,0.8,3108.0,3654.0,546.0,2.5,17.5,0.0,26.2,0.4,100.0,100.0
paper,300,conc,1,0.7,0.0,0.8,0.0707,0.8,3297.0,3654.0,357.0,4.5,15.5,0.0,26.2,3.2,100.0,100.0
paper,300,both,1,0.7,0.0,0.8,0.0707,0.8,3297.0,3654.0,357.0,3.0,16.0,0.0,26.2,31.3,100.0,50.0
small,0,off_off,5,0.3667,0.1581,0.7933,0.0641,0.7933,2996.4,3931.8,935.4,12.0,4.6,4.2,41.5,24.2,60.0,60.0
small,0,hetero,5,0.3667,0.1581,0.84,0.0494,0.84,2996.4,3931.8,935.4,2.0,3.8,4.2,41.5,24.8,60.0,60.0
small,0,conc,5,0.3667,0.1581,0.8333,0.0624,0.8333,3796.6,3931.8,135.2,11.6,4.6,4.2,41.5,60.0,60.0,0.0
small,0,both,5,0.3667,0.1581,0.8133,0.0506,0.8133,3750.4,3931.8,181.4,10.8,4.4,4.2,41.5,60.0,60.0,0.0
small,300,off_off,5,0.4333,0.2345,0.8067,0.0641,0.8067,3531.2,4419.2,888.0,9.2,11.2,1.0,60.0,13.1,0.0,80.0
small,300,hetero,5,0.4333,0.2345,0.82,0.0691,0.82,3547.2,4419.2,872.0,2.0,11.2,1.0,60.0,15.6,0.0,80.0
small,300,conc,5,0.4333,0.2345,0.8067,0.0641,0.8067,4233.2,4419.2,186.0,10.0,11.4,1.0,60.0,48.2,0.0,20.0
small,300,both,5,0.4333,0.2345,0.8133,0.065,0.8133,4247.2,4419.2,172.0,10.6,11.6,1.0,60.0,50.5,0.0,20.0
small,500,off_off,5,0.58,0.1938,0.8133,0.065,0.8133,3774.0,4637.2,863.2,10.0,11.8,0.6,67.6,12.7,0.0,80.0
small,500,hetero,5,0.58,0.1938,0.82,0.0691,0.82,3788.8,4637.2,848.4,2.4,11.0,0.6,67.6,18.6,0.0,80.0
small,500,conc,5,0.58,0.1938,0.82,0.0691,0.82,4386.8,4637.2,250.4,7.6,10.2,0.6,67.6,48.6,0.0,20.0
small,500,both,5,0.58,0.1938,0.8067,0.0641,0.8067,4289.6,4637.2,347.6,7.8,11.2,0.6,67.6,50.3,0.0,20.0
small,750,off_off,5,0.6,0.1491,0.8133,0.065,0.8133,4139.8,5129.2,989.4,7.8,10.4,0.4,60.3,13.0,0.0,80.0
small,750,hetero,5,0.6,0.1491,0.8333,0.0624,0.8333,4139.8,5129.2,989.4,1.8,9.8,0.4,60.3,14.4,0.0,80.0
small,750,conc,5,0.6,0.1491,0.8267,0.0279,0.8267,4767.0,5129.2,362.2,9.0,12.0,0.4,60.3,49.1,0.0,20.0
small,750,both,5,0.6,0.1491,0.8267,0.0279,0.8267,4787.8,5129.2,341.4,6.6,12.4,0.4,60.3,48.7,0.0,20.0
small,1000,off_off,5,0.62,0.1044,0.8067,0.0641,0.8067,3783.0,4755.6,972.6,8.6,12.0,0.4,59.1,13.7,20.0,80.0
small,1000,hetero,5,0.62,0.1044,0.8333,0.0624,0.8333,3834.0,4755.6,921.6,1.0,10.4,0.4,59.1,13.0,20.0,80.0
small,1000,conc,5,0.62,0.1044,0.8267,0.0435,0.8267,4433.6,4755.6,322.0,9.8,13.2,0.4,59.1,48.3,20.0,20.0
small,1000,both,5,0.62,0.1044,0.82,0.038,0.82,4528.0,4755.6,227.6,9.4,12.6,0.4,59.1,48.2,20.0,20.0
medium,0,off_off,5,0.4933,0.169,0.7667,0.0623,0.7667,8150.4,9777.4,1627.0,12.0,30.4,2.2,120.0,38.3,0.0,80.0
medium,0,hetero,5,0.4933,0.169,0.78,0.0691,0.78,8150.4,9777.4,1627.0,1.6,35.0,2.2,120.0,48.0,0.0,60.0
medium,0,conc,5,0.4933,0.169,0.8,0.0333,0.8,9086.2,9777.4,691.2,5.8,33.2,2.2,120.0,107.0,0.0,20.0
medium,0,both,5,0.4933,0.169,0.8,0.0527,0.8,9182.0,9777.4,595.4,5.4,33.6,2.2,120.0,104.3,0.0,20.0
medium,300,off_off,5,0.5933,0.0983,0.76,0.076,0.76,9428.4,11692.8,2264.4,11.2,37.0,2.4,120.1,72.6,0.0,40.0
medium,300,hetero,5,0.5933,0.0983,0.7733,0.0596,0.7733,9428.4,11692.8,2264.4,2.0,39.0,2.4,120.1,74.5,0.0,40.0
medium,300,conc,5,0.5933,0.0983,0.7733,0.0494,0.7733,9929.0,11692.8,1763.8,10.4,35.4,2.4,120.1,96.0,0.0,20.0
medium,300,both,5,0.5933,0.0983,0.7867,0.0298,0.7867,9881.4,11692.8,1811.4,9.6,36.2,2.4,120.1,96.0,0.0,20.0
medium,500,off_off,5,0.6067,0.0983,0.7467,0.0767,0.7467,10416.8,13090.2,2673.4,10.8,37.0,2.4,120.0,72.0,0.0,40.0
medium,500,hetero,5,0.6067,0.0983,0.7867,0.073,0.7867,10425.8,13090.2,2664.4,2.2,39.8,2.4,120.0,72.0,0.0,40.0
medium,500,conc,5,0.6067,0.0983,0.7733,0.0435,0.7733,11458.4,13090.2,1631.8,11.4,40.2,2.4,120.0,120.0,0.0,0.0
medium,500,both,5,0.6067,0.0983,0.78,0.038,0.78,11407.8,13090.2,1682.4,11.8,40.8,2.4,120.0,120.0,0.0,0.0
medium,750,off_off,5,0.6067,0.0983,0.7733,0.0548,0.7733,9878.0,11752.0,1874.0,12.4,36.2,1.8,120.0,56.1,0.0,60.0
medium,750,hetero,5,0.6067,0.0983,0.7867,0.0558,0.7867,9878.0,11752.0,1874.0,3.2,37.4,1.8,120.0,76.3,0.0,40.0
medium,750,conc,5,0.6067,0.0983,0.78,0.0505,0.78,10489.0,11752.0,1263.0,11.8,38.4,1.8,120.0,101.7,0.0,20.0
medium,750,both,5,0.6067,0.0983,0.8,0.0333,0.8,10632.2,11752.0,1119.8,10.6,40.0,1.8,120.0,101.1,0.0,20.0
medium,1000,off_off,5,0.64,0.0435,0.7467,0.0836,0.7467,11258.2,12273.8,1015.6,11.8,34.4,1.6,120.1,48.3,0.0,60.0
medium,1000,hetero,5,0.64,0.0435,0.78,0.0605,0.78,11258.2,12273.8,1015.6,2.4,36.4,1.6,120.1,72.1,0.0,40.0
medium,1000,conc,5,0.64,0.0435,0.78,0.0691,0.78,11630.2,12273.8,643.6,10.4,37.0,1.6,120.1,96.4,0.0,20.0
medium,1000,both,5,0.64,0.0435,0.7867,0.0558,0.7867,11600.6,12273.8,673.2,8.0,37.4,1.6,120.1,96.3,0.0,20.0
large,0,off_off,5,0.5733,0.0548,0.8333,0.0408,0.8333,12319.0,15801.0,3482.0,23.8,49.2,1.6,300.3,302.0,0.0,0.0
large,0,hetero,5,0.5733,0.0548,0.8533,0.0298,0.8533,12421.0,15801.0,3380.0,1.0,49.2,1.6,300.3,302.1,0.0,0.0
large,0,conc,5,0.5733,0.0548,0.8467,0.038,0.8467,13698.2,15801.0,2102.8,25.6,51.4,1.6,300.3,300.6,0.0,0.0
large,0,both,5,0.5733,0.0548,0.8467,0.0447,0.8467,13717.2,15801.0,2083.8,28.6,53.4,1.6,300.3,300.2,0.0,0.0
large,300,off_off,5,0.5667,0.1154,0.8067,0.0548,0.8067,15581.2,18391.2,2810.0,21.6,43.4,3.0,300.3,310.3,0.0,0.0
large,300,hetero,5,0.5667,0.1154,0.8267,0.0641,0.8267,15518.6,18391.2,2872.6,6.2,45.2,3.0,300.3,301.1,0.0,0.0
large,300,conc,5,0.5667,0.1154,0.8,0.0707,0.8,16814.6,18391.2,1576.6,29.4,48.0,3.0,300.3,300.2,0.0,0.0
large,300,both,5,0.5667,0.1154,0.8067,0.0641,0.8067,16649.0,18391.2,1742.2,29.2,47.8,3.0,300.3,301.1,0.0,0.0
xlarge,0,off_off,5,0.6067,0.0641,0.7667,0.0334,0.7667,13872.2,17609.6,3737.4,18.8,86.2,1.0,604.9,512.0,0.0,20.0
xlarge,0,hetero,5,0.6067,0.0641,0.7867,0.038,0.7867,13872.2,17609.6,3737.4,1.8,91.4,1.0,604.9,552.8,0.0,20.0
xlarge,0,conc,5,0.6067,0.0641,0.7933,0.0279,0.7933,15898.2,17609.6,1711.4,25.8,84.6,1.0,604.9,600.8,0.0,0.0
xlarge,0,both,5,0.6067,0.0641,0.8,0.0333,0.8,16109.8,17609.6,1499.8,19.6,85.2,1.0,604.9,603.6,0.0,0.0
xlarge,1000,off_off,5,0.6333,0.0236,0.78,0.038,0.78,15107.8,18768.6,3660.8,26.6,88.8,1.6,600.9,512.9,0.0,20.0
xlarge,1000,hetero,5,0.6333,0.0236,0.78,0.0505,0.78,15137.4,18768.6,3631.2,2.4,93.6,1.6,600.9,600.0,0.0,0.0
xlarge,1000,conc,5,0.6333,0.0236,0.7733,0.0365,0.7733,16738.4,18768.6,2030.2,31.2,96.6,1.6,600.9,600.3,0.0,0.0
xlarge,1000,both,5,0.6333,0.0236,0.78,0.038,0.78,16876.8,18768.6,1891.8,23.2,97.6,1.6,600.9,600.2,0.0,0.0
industrylite,0,off_off,5,0.7,0.1509,0.8133,0.0182,0.8133,41690.0,55229.4,13539.4,39.0,174.6,2.4,902.2,900.1,0.0,0.0
industrylite,0,hetero,5,0.7,0.1509,0.8266,0.0149,0.8266,41674.2,55229.4,13555.2,5.0,188.2,2.4,902.2,906.6,0.0,0.0
industrylite,0,conc,5,0.7,0.1509,0.8267,0.0365,0.8267,50105.4,55229.4,5124.0,62.0,197.0,2.4,902.2,906.7,0.0,0.0
industrylite,0,both,5,0.7,0.1509,0.8267,0.0365,0.8267,50957.4,55229.4,4272.0,69.8,200.0,2.4,902.2,903.4,0.0,0.0
industrylite,1000,off_off,5,0.62,0.0182,0.8,0.0472,0.8,46385.6,59910.2,13524.6,58.0,170.8,6.2,900.8,900.0,0.0,0.0
industrylite,1000,hetero,5,0.62,0.0182,0.8266,0.0596,0.8266,46430.0,59910.2,13480.2,4.6,192.4,6.2,900.8,900.1,0.0,0.0
industrylite,1000,conc,5,0.62,0.0182,0.82,0.0298,0.82,54132.0,59910.2,5778.2,64.4,204.2,6.2,900.8,900.2,0.0,0.0
industrylite,1000,both,5,0.62,0.0182,0.8067,0.0149,0.8067,56717.6,59910.2,3192.6,84.8,201.8,6.2,900.8,900.4,0.0,0.0
industry,0,off_off,1,0.0,,0.0,,0.0,34692162.0,151211810.0,116519648.0,98.0,598.0,279.0,2562.7,2505.9,0.0,0.0
industry,0,hetero,1,0.0,,0.0,,0.0,36119670.0,151211810.0,115092140.0,116.0,556.0,279.0,2562.7,2502.0,0.0,0.0
industry,0,conc,1,0.0,,0.0,,0.0,34692162.0,151211810.0,116519648.0,98.0,598.0,279.0,2562.7,2505.6,0.0,0.0
industry,0,both,1,0.0,,0.0,,0.0,36119670.0,151211810.0,115092140.0,116.0,556.0,279.0,2562.7,2501.8,0.0,0.0
industry,10000000,off_off,1,0.0,,0.0,,0.0,35959949.0,152003080.0,116043131.0,139.0,572.0,279.0,2581.4,2509.2,0.0,0.0
industry,10000000,hetero,1,0.0,,0.0,,0.0,39649477.0,152003080.0,112353603.0,153.0,587.0,279.0,2581.4,2501.9,0.0,0.0
industry,10000000,conc,1,0.0,,0.0,,0.0,35959949.0,152003080.0,116043131.0,139.0,572.0,279.0,2581.4,2500.5,0.0,0.0
industry,10000000,both,1,0.0,,0.0,,0.0,39649477.0,152003080.0,112353603.0,153.0,587.0,279.0,2581.4,2501.9,0.0,0.0
