size_label,instance_name,seed,weight,s2_config,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_part,mono_count,concentrated_count,exposure_count,nominal_cost,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_optimal,s1_time,s2_optimal,s2_time
paper,layered_paper,0,0,off_off,0.5,"(l1,l4,tr2)",0.75,"(l3,l5,tr2,k4)",0.75,p2,9.0,12.0,4.0,3458.0,3458.0,2744.0,714.0,True,7.196,True,0.017
paper,layered_paper,0,0,off_off,0.5,"(l1,l4,tr2)",0.75,"(l3,l5,tr2,k4)",0.75,p2,10.0,13.0,4.0,3458.0,3458.0,2744.0,714.0,True,11.705,True,0.018
paper,layered_paper,0,0,hetero,0.5,"(l1,l4,tr2)",0.75,"(l3,l5,tr2,k4)",0.75,p2,9.0,12.0,4.0,3458.0,3458.0,2744.0,714.0,True,7.196,True,0.018
paper,layered_paper,0,0,hetero,0.5,"(l1,l4,tr2)",0.85,"(l3,l5,tr2,k4)",0.85,p2,2.0,16.0,4.0,3458.0,3458.0,2744.0,714.0,True,11.705,True,0.024
paper,layered_paper,0,0,conc,0.5,"(l1,l4,tr2)",0.75,"(l3,l5,tr2,k4)",0.75,p2,9.0,12.0,4.0,3458.0,3458.0,2744.0,714.0,True,7.196,True,0.017
paper,layered_paper,0,0,conc,0.5,"(l1,l4,tr2)",0.8,"(l3,l5,tr2,k3)",0.8,p2,6.0,14.0,4.0,3458.0,3458.0,3458.0,0.0,True,11.705,True,25.766
paper,layered_paper,0,0,both,0.5,"(l1,l4,tr2)",0.75,"(l3,l5,tr2,k4)",0.75,p2,9.0,12.0,4.0,3458.0,3458.0,2744.0,714.0,True,7.196,True,0.017
paper,layered_paper,0,0,both,0.5,"(l1,l4,tr2)",0.8,"(l1,l4,tr2,k7)",0.8,p2,6.0,14.0,4.0,3458.0,3458.0,3458.0,0.0,True,11.705,True,59.78
paper,layered_paper,0,300,off_off,0.7,"(l1,l3,tr2)",0.75,"(l1,l3,tr2,k1)",0.75,p2,12.0,18.0,0.0,3654.0,3654.0,2940.0,714.0,True,21.209,True,0.029
paper,layered_paper,0,300,off_off,0.7,"(l1,l3,tr2)",0.75,"(l1,l4,tr2,k3)",0.75,p2,11.0,18.0,0.0,3654.0,3654.0,2940.0,714.0,True,31.277,True,0.022
paper,layered_paper,0,300,hetero,0.7,"(l1,l3,tr2)",0.75,"(l1,l3,tr2,k2)",0.75,p2,4.0,18.0,0.0,3654.0,3654.0,2940.0,714.0,True,21.209,True,0.69
paper,layered_paper,0,300,hetero,0.7,"(l1,l3,tr2)",0.85,"(l3,l5,tr2,k2)",0.85,p2,1.0,17.0,0.0,3654.0,3654.0,3276.0,378.0,True,31.277,True,0.056
paper,layered_paper,0,300,conc,0.7,"(l1,l3,tr2)",0.75,"(l1,l3,tr2,k1)",0.75,p2,8.0,14.0,0.0,3654.0,3654.0,2940.0,714.0,True,21.209,True,2.317
paper,layered_paper,0,300,conc,0.7,"(l1,l3,tr2)",0.85,"(l3,l4,tr2,k1)",0.85,p1,1.0,17.0,0.0,3654.0,3654.0,3654.0,0.0,True,31.277,True,4.092
paper,layered_paper,0,300,both,0.7,"(l1,l3,tr2)",0.75,"(l1,l3,tr2,k1)",0.75,p2,5.0,15.0,0.0,3654.0,3654.0,2940.0,714.0,True,21.209,False,60.012
paper,layered_paper,0,300,both,0.7,"(l1,l3,tr2)",0.85,"(l3,l4,tr2,k1)",0.85,p1,1.0,17.0,0.0,3654.0,3654.0,3654.0,0.0,True,31.277,True,2.623
small,layered_small_seed1,1,0,off_off,0.4667,"(l2,l4,tr1)",0.8,"(l4,l5,tr1,k1)",0.8,p2,4.0,4.0,7.0,4002.0,4002.0,2788.0,1214.0,True,30.821,False,60.007
small,layered_small_seed1,1,0,hetero,0.4667,"(l2,l4,tr1)",0.8333,"(l3,l5,tr1,k1)",0.8333,p2,0.0,4.0,7.0,4002.0,4002.0,2788.0,1214.0,True,30.821,False,60.007
small,layered_small_seed1,1,0,conc,0.4667,"(l2,l4,tr1)",0.8333,"(l4,l5,tr1,k2)",0.8333,p2,3.0,4.0,7.0,4002.0,4002.0,3714.0,288.0,True,30.821,False,60.008
small,layered_small_seed1,1,0,both,0.4667,"(l2,l4,tr1)",0.8,"(l2,l4,tr1,k9)",0.8,p2,2.0,4.0,7.0,4002.0,4002.0,3714.0,288.0,True,30.821,False,60.007
small,layered_small_seed1,1,300,off_off,0.4333,"(l2,l4,tr1)",0.8333,"(l2,l4,tr1,k6)",0.8333,p2,4.0,12.0,1.0,5070.0,4770.0,3950.0,820.0,False,60.011,True,2.284
