instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,status
layered_industrylite_seed1,layered,industrylite,1,0,3,off_off,0,0,92299,6,0.4333,"(l2,l5,tr1)",0.8,"(l7,l13,tr3,k3)",0.8,"(l7,l13,tr3,k3)",p1,56,203,False,908.23,[],92299,67515,24784,False,900.11,[],OK
layered_industrylite_seed1,layered,industrylite,1,0,3,hetero,1,0,92299,6,0.4333,"(l2,l5,tr1)",0.8333,"(l4,l8,tr4,k2)",0.8333,"(l4,l8,tr4,k2)",p2,5,224,False,908.23,[],92299,67436,24863,False,931.752,[],OK
layered_industrylite_seed1,layered,industrylite,1,0,3,conc,0,1,92299,6,0.4333,"(l2,l5,tr1)",0.8333,"(l11,l5,tr2,k3)",0.8333,"(l11,l5,tr2,k3)",p1,91,215,False,908.23,[],92299,83767,8532,False,908.931,[],OK
layered_industrylite_seed1,layered,industrylite,1,0,3,both,1,1,92299,6,0.4333,"(l2,l5,tr1)",0.8333,"(l1,l7,tr2,k1)",0.8333,"(l1,l7,tr2,k1)",p4,105,222,False,908.23,[],92299,86217,6082,False,900.766,[],OK
layered_industrylite_seed1,layered,industrylite,1,1000,3,off_off,0,0,101708,13,0.6,"(l2,l8,tr3)",0.8,"(l3,l9,tr3,k3)",0.8,"(l3,l9,tr3,k3)",p1,84,190,False,901.006,[],88708,66804,21904,False,900.035,[],OK
layered_industrylite_seed1,layered,industrylite,1,1000,3,hetero,1,0,101708,13,0.6,"(l2,l8,tr3)",0.8333,"(l7,l18,tr3,k2)",0.8333,"(l7,l18,tr3,k2)",p2,13,213,False,901.006,[],88708,66804,21904,False,900.176,[],OK
layered_industrylite_seed1,layered,industrylite,1,1000,3,conc,0,1,101708,13,0.6,"(l2,l8,tr3)",0.8,"(l3,l9,tr3,k1)",0.8,"(l3,l9,tr3,k1)",p1,101,217,False,901.006,[],88708,79083,9625,False,900.406,[],OK
layered_industrylite_seed1,layered,industrylite,1,1000,3,both,1,1,101708,13,0.6,"(l2,l8,tr3)",0.8,"(l10,l7,tr3,k7)",0.8,"(l10,l7,tr3,k7)",p4,153,212,False,901.006,[],88708,83343,5365,False,900.74,[],OK
layered_industrylite_seed2,layered,industrylite,2,0,3,off_off,0,0,43475,3,0.8,"(l1,l12,tr4)",0.8,"(l5,l8,tr1,k1)",0.8,"(l5,l8,tr1,k1)",p2,17,165,False,900.897,[],43475,36415,7060,False,900.406,[],OK
layered_industrylite_seed2,layered,industrylite,2,0,3,hetero,1,0,43475,3,0.8,"(l1,l12,tr4)",0.8,"(l5,l8,tr1,k1)",0.8,"(l5,l8,tr1,k1)",p2,1,173,False,900.897,[],43475,36415,7060,False,900.934,[],OK
layered_industrylite_seed2,layered,industrylite,2,0,3,conc,0,1,43475,3,0.8,"(l1,l12,tr4)",0.8333,"(l7,l20,tr3,k1)",0.8333,"(l7,l20,tr3,k1)",p3,29,200,False,900.897,[],43475,42321,1154,False,923.956,[],OK
layered_industrylite_seed2,layered,industrylite,2,0,3,both,1,1,43475,3,0.8,"(l1,l12,tr4)",0.8333,"(l2,l13,tr1,k1)",0.8333,"(l2,l13,tr1,k1)",p10,27,204,False,900.897,[],43475,42462,1013,False,915.376,[],OK
layered_industrylite_seed2,layered,industrylite,2,1000,3,off_off,0,0,35095,1,0.6333,"(l4,l7,tr4)",0.8,"(l4,l7,tr4,k1)",0.8,"(l4,l7,tr4,k1)",p2,24,128,False,900.813,[],34095,28541,5554,False,900.01,[],OK
layered_industrylite_seed2,layered,industrylite,2,1000,3,hetero,1,0,35095,1,0.6333,"(l4,l7,tr4)",0.8333,"(l4,l7,tr4,k1)",0.8333,"(l4,l7,tr4,k1)",p2,1,135,False,900.813,[],34095,28541,5554,False,900.029,[],OK
layered_industrylite_seed2,layered,industrylite,2,1000,3,conc,0,1,35095,1,0.6333,"(l4,l7,tr4)",0.8333,"(l4,l7,tr4,k1)",0.8333,"(l4,l7,tr4,k1)",p2,14,183,False,900.813,[],34095,33088,1007,False,900.092,[],OK
layered_industrylite_seed2,layered,industrylite,2,1000,3,both,1,1,35095,1,0.6333,"(l4,l7,tr4)",0.8333,"(l4,l7,tr4,k2)",0.8333,"(l4,l7,tr4,k2)",p2,12,183,False,900.813,[],34095,33182,913,False,900.261,[],OK
layered_industrylite_seed3,layered,industrylite,3,0,3,off_off,0,0,66462,3,0.7667,"(l2,l9,tr4)",0.8333,"(l3,l12,tr4,k2)",0.8333,"(l3,l12,tr4,k2)",p10,76,188,False,900.97,[],66462,48079,18383,False,900.022,[],OK
layered_industrylite_seed3,layered,industrylite,3,0,3,hetero,1,0,66462,3,0.7667,"(l2,l9,tr4)",0.8333,"(l3,l12,tr4,k3)",0.8333,"(l3,l12,tr4,k3)",p10,15,213,False,900.97,[],66462,48079,18383,False,900.068,[],OK
layered_industrylite_seed3,layered,industrylite,3,0,3,conc,0,1,66462,3,0.7667,"(l2,l9,tr4)",0.8667,"(l3,l12,tr4,k3)",0.8667,"(l3,l12,tr4,k3)",p10,110,209,False,900.97,[],66462,58210,8252,False,900.153,[],OK
layered_industrylite_seed3,layered,industrylite,3,0,3,both,1,1,66462,3,0.7667,"(l2,l9,tr4)",0.8667,"(l2,l9,tr4,k1)",0.8667,"(l2,l9,tr4,k1)",p3,124,202,False,900.97,[],66462,58474,7988,False,900.166,[],OK
layered_industrylite_seed3,layered,industrylite,3,1000,3,off_off,0,0,98093,12,0.6333,"(l2,l10,tr3)",0.8667,"(l5,l11,tr4,k2)",0.8667,"(l5,l11,tr4,k2)",p7,102,198,False,900.869,[],86093,61539,24554,False,900.03,[],OK
layered_industrylite_seed3,layered,industrylite,3,1000,3,hetero,1,0,98093,12,0.6333,"(l2,l10,tr3)",0.9,"(l8,l7,tr4,k10)",0.9,"(l8,l7,tr4,k10)",p9,4,230,False,900.869,[],86093,61539,24554,False,900.086,[],OK
layered_industrylite_seed3,layered,industrylite,3,1000,3,conc,0,1,98093,12,0.6333,"(l2,l10,tr3)",0.8667,"(l8,l7,tr4,k1)",0.8667,"(l8,l7,tr4,k1)",p9,130,216,False,900.869,[],86093,73614,12479,False,900.118,[],OK
layered_industrylite_seed3,layered,industrylite,3,1000,3,both,1,1,98093,12,0.6333,"(l2,l10,tr3)",0.8,"(l2,l20,tr4,k1)",0.8,"(l2,l20,tr4,k1)",p10,174,207,False,900.869,[],86093,79135,6958,False,900.248,[],OK
layered_industrylite_seed4,layered,industrylite,4,0,3,off_off,0,0,37995,0,0.7667,"(l4,l9,tr4)",0.8333,"(l3,l12,tr1,k2)",0.8333,"(l3,l12,tr1,k2)",p4,21,170,False,900.481,[],37995,29583,8412,False,900.024,[],OK
layered_industrylite_seed4,layered,industrylite,4,0,3,hetero,1,0,37995,0,0.7667,"(l4,l9,tr4)",0.8333,"(l3,l12,tr1,k2)",0.8333,"(l3,l12,tr1,k2)",p4,1,177,False,900.481,[],37995,29583,8412,False,900.026,[],OK
layered_industrylite_seed4,layered,industrylite,4,0,3,conc,0,1,37995,0,0.7667,"(l4,l9,tr4)",0.8333,"(l4,l9,tr4,k4)",0.8333,"(l4,l9,tr4,k4)",p9,44,194,False,900.481,[],37995,35037,2958,False,900.135,[],OK
layered_industrylite_seed4,layered,industrylite,4,0,3,both,1,1,37995,0,0.7667,"(l4,l9,tr4)",0.8333,"(l4,l9,tr4,k1)",0.8333,"(l4,l9,tr4,k1)",p9,45,198,False,900.481,[],37995,34835,3160,False,900.268,[],OK
layered_industrylite_seed4,layered,industrylite,4,1000,3,off_off,0,0,45645,1,0.6333,"(l1,l9,tr3)",0.8,"(l1,l9,tr3,k3)",0.8,"(l1,l9,tr3,k3)",p5,42,176,False,900.434,[],44645,36161,8484,False,900.015,[],OK
layered_industrylite_seed4,layered,industrylite,4,1000,3,hetero,1,0,45645,1,0.6333,"(l1,l9,tr3)",0.8333,"(l12,l10,tr3,k4)",0.8333,"(l12,l10,tr3,k4)",p9,5,205,False,900.434,[],44645,36161,8484,False,900.033,[],OK
layered_industrylite_seed4,layered,industrylite,4,1000,3,conc,0,1,45645,1,0.6333,"(l1,l9,tr3)",0.8,"(l1,l9,tr3,k3)",0.8,"(l1,l9,tr3,k3)",p5,43,203,False,900.434,[],44645,40710,3935,False,900.155,[],OK
layered_industrylite_seed4,layered,industrylite,4,1000,3,both,1,1,45645,1,0.6333,"(l1,l9,tr3)",0.8,"(l1,l9,tr3,k1)",0.8,"(l1,l9,tr3,k1)",p5,53,208,False,900.434,[],44645,42215,2430,False,900.291,[],OK
layered_industrylite_seed5,layered,industrylite,5,0,3,off_off,0,0,35916,0,0.7333,"(l3,l20,tr3)",0.8,"(l3,l20,tr3,k1)",0.8,"(l3,l20,tr3,k1)",p10,25,147,False,900.67,[],35916,26858,9058,False,900.015,[],OK
layered_industrylite_seed5,layered,industrylite,5,0,3,hetero,1,0,35916,0,0.7333,"(l3,l20,tr3)",0.8333,"(l3,l20,tr3,k1)",0.8333,"(l3,l20,tr3,k1)",p10,3,154,False,900.67,[],35916,26858,9058,False,900.026,[],OK
