instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,r_heaviest_single_0.2,r_heaviest_single_0.4,r_heaviest_single_0.6,r_heaviest_single_0.8,r_heaviest_global_0.2,r_heaviest_global_0.4,r_heaviest_global_0.6,r_heaviest_global_0.8,r_first_single_0.2,r_first_single_0.4,r_first_single_0.6,r_first_single_0.8,r_first_global_0.2,r_first_global_0.4,r_first_global_0.6,r_first_global_0.8,r_last_single_0.2,r_last_single_0.4,r_last_single_0.6,r_last_single_0.8,r_last_global_0.2,r_last_global_0.4,r_last_global_0.6,r_last_global_0.8,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,first_s1_time,first_s1_cost,first_r_tr,first_s2_time,first_s2_cost,first_r_1,first_k_1,first_mono_count,first_concentrated_count,first_s1_dispatch_cost,first_s2_dispatch_cost,first_r_heaviest_single_0.2,first_r_heaviest_single_0.4,first_r_heaviest_single_0.6,first_r_heaviest_single_0.8,first_r_heaviest_global_0.2,first_r_heaviest_global_0.4,first_r_heaviest_global_0.6,first_r_heaviest_global_0.8,first_r_first_single_0.2,first_r_first_single_0.4,first_r_first_single_0.6,first_r_first_single_0.8,first_r_first_global_0.2,first_r_first_global_0.4,first_r_first_global_0.6,first_r_first_global_0.8,first_r_last_single_0.2,first_r_last_single_0.4,first_r_last_single_0.6,first_r_last_single_0.8,first_r_last_global_0.2,first_r_last_global_0.4,first_r_last_global_0.6,first_r_last_global_0.8,status
layered_industrylite_seed1,layered,industrylite,1,0,3,off_off,0,0,116246,12,0.5333,"(l12,l7,tr3)",0.8,"(l5,l14,tr4,k1)",0.8,"(l5,l14,tr4,k1)",p4,83,232,0.7,0.8,0.8,0.8,0.0,0.0,0.0333,0.0667,0.6333,0.8,0.8,0.8,0.0,0.0,0.1333,0.1667,0.6,0.7667,0.8,0.8,0.0,0.0,0.0667,0.1333,False,607.232,[],116246,84671,31575,False,600.07,[],3.53,359659,0.6,0.475,358,0.8667,0.8667,176,220,359659,92675,0.6333,0.6333,0.6333,0.6333,0.0,0.0,0.0,0.0333,0.6333,0.6333,0.6333,0.6333,0.0,0.0,0.0333,0.1333,0.6333,0.6333,0.6333,0.6333,0.0,0.0,0.0667,0.1667,OK
layered_industrylite_seed1,layered,industrylite,1,0,3,hetero,1,0,116246,12,0.5333,"(l12,l7,tr3)",0.8,"(l4,l9,tr2,k2)",0.8,"(l4,l9,tr2,k2)",p2,8,248,0.7,0.7333,0.7667,0.8,0.0,0.0,0.0667,0.0667,0.7,0.7667,0.8,0.8,0.0,0.0,0.1333,0.1667,0.6667,0.7667,0.8,0.8,0.0,0.0,0.0333,0.1333,False,607.232,[],116246,85735,30511,False,600.219,[],3.53,359659,0.6,0.313,176,0.8667,0.8667,176,220,359659,92675,0.6333,0.6333,0.6333,0.6333,0.0,0.0,0.0,0.0333,0.6333,0.6333,0.6333,0.6333,0.0,0.0,0.0333,0.1333,0.6333,0.6333,0.6333,0.6333,0.0,0.0,0.0667,0.1667,OK
layered_industrylite_seed1,layered,industrylite,1,0,3,conc,0,1,116246,12,0.5333,"(l12,l7,tr3)",0.8333,"(l8,l9,tr3,k2)",0.8333,"(l8,l9,tr3,k2)",p4,173,250,0.5333,0.7667,0.7667,0.8333,0.0,0.0,0.0667,0.1333,0.6,0.6667,0.7667,0.8667,0.0,0.0,0.1667,0.3333,0.6333,0.7667,0.8,0.8333,0.0,0.0333,0.2,0.3333,False,607.232,[],116246,108346,7900,False,603.59,[],3.53,359659,0.6,0.269,307298,0.8667,0.8667,176,220,359659,92675,0.6333,0.6333,0.6333,0.6333,0.0,0.0,0.0,0.0333,0.6333,0.6333,0.6333,0.6333,0.0,0.0,0.0333,0.1333,0.6333,0.6333,0.6333,0.6333,0.0,0.0,0.0667,0.1667,OK
layered_industrylite_seed1,layered,industrylite,1,0,3,both,1,1,116246,12,0.5333,"(l12,l7,tr3)",0.8,"(l9,l5,tr2,k9)",0.8,"(l9,l5,tr2,k9)",p4,224,243,0.5333,0.7333,0.7667,0.7667,0.0,0.0,0.0667,0.0667,0.7333,0.7333,0.8,0.8667,0.0,0.0,0.1333,0.2,0.6333,0.7667,0.7667,0.8333,0.0,0.0,0.0667,0.1333,False,607.232,[],116246,109052,7194,False,601.05,[],3.53,359659,0.6,0.288,307474,0.8667,0.8667,176,220,359659,92675,0.6333,0.6333,0.6333,0.6333,0.0,0.0,0.0,0.0333,0.6333,0.6333,0.6333,0.6333,0.0,0.0,0.0333,0.1333,0.6333,0.6333,0.6333,0.6333,0.0,0.0,0.0667,0.1667,OK
layered_industrylite_seed1,layered,industrylite,1,1000,3,off_off,0,0,116537,16,0.6333,"(l2,l8,tr3)",0.8,"(l5,l7,tr1,k5)",0.8,"(l5,l7,tr1,k5)",p2,98,218,0.6333,0.6333,0.6333,0.8,0.0,0.0,0.0333,0.0333,0.6333,0.6667,0.6667,0.8,0.0,0.0,0.0667,0.0667,0.6333,0.6333,0.7333,0.8,0.0,0.0,0.1333,0.2333,False,601.317,[],100537,76579,23958,False,600.068,[],5.279,367659,0.6,0.208,339,0.8333,0.8333,163,219,359659,87609,0.6,0.6,0.6,0.6,0.0,0.0,0.0333,0.0667,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.1333,0.6,0.6667,0.6667,0.6667,0.0,0.0,0.1333,0.2333,OK
layered_industrylite_seed1,layered,industrylite,1,1000,3,hetero,1,0,116537,16,0.6333,"(l2,l8,tr3)",0.8333,"(l5,l13,tr3,k2)",0.8333,"(l5,l13,tr3,k2)",p1,6,231,0.6333,0.7,0.7333,0.7667,0.0,0.0,0.1,0.1667,0.6333,0.7,0.7667,0.8333,0.0,0.0,0.0333,0.1667,0.6333,0.6667,0.7,0.8,0.0,0.0,0.2,0.3,False,601.317,[],100537,77021,23516,False,600.186,[],5.279,367659,0.6,0.309,163,0.8333,0.8333,163,219,359659,87609,0.6,0.6,0.6,0.6,0.0,0.0,0.0333,0.0667,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.1333,0.6,0.6667,0.6667,0.6667,0.0,0.0,0.1333,0.2333,OK
layered_industrylite_seed1,layered,industrylite,1,1000,3,conc,0,1,116537,16,0.6333,"(l2,l8,tr3)",0.8,"(l3,l5,tr3,k2)",0.8,"(l3,l5,tr3,k2)",p1,131,228,0.6333,0.6333,0.6333,0.7333,0.0,0.0,0.0667,0.2,0.6333,0.7,0.7333,0.8333,0.0,0.0333,0.1667,0.2667,0.6333,0.6667,0.6667,0.8,0.0,0.0,0.1333,0.3,False,601.317,[],100537,89596,10941,False,600.371,[],5.279,367659,0.6,0.249,320377,0.8333,0.8333,163,219,359659,87609,0.6,0.6,0.6,0.6,0.0,0.0,0.0333,0.0667,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.1333,0.6,0.6667,0.6667,0.6667,0.0,0.0,0.1333,0.2333,OK
layered_industrylite_seed1,layered,industrylite,1,1000,3,both,1,1,116537,16,0.6333,"(l2,l8,tr3)",0.7667,"(l8,l9,tr4,k5)",0.7667,"(l8,l9,tr4,k5)",p1,183,232,0.6333,0.6333,0.7,0.7333,0.0,0.0,0.0333,0.1333,0.6333,0.7333,0.7333,0.8667,0.0,0.0333,0.1333,0.3333,0.6333,0.6333,0.7333,0.7333,0.0,0.0,0.1,0.2,False,601.317,[],100537,94483,6054,False,600.873,[],5.279,367659,0.6,0.268,320540,0.8333,0.8333,163,219,359659,87609,0.6,0.6,0.6,0.6,0.0,0.0,0.0333,0.0667,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.1333,0.6,0.6667,0.6667,0.6667,0.0,0.0,0.1333,0.2333,OK
layered_industrylite_seed2,layered,industrylite,2,0,3,off_off,0,0,46440,0,0.7,"(l2,l6,tr3)",0.8333,"(l4,l10,tr2,k2)",0.8333,"(l4,l10,tr2,k2)",p2,22,152,0.7,0.7333,0.7333,0.8333,0.0,0.0,0.0333,0.0333,0.7,0.7333,0.8,0.8333,0.0,0.0,0.0667,0.0667,0.7,0.7333,0.8333,0.8333,0.0,0.0,0.0667,0.0667,False,601.053,[],46440,39396,7044,False,600.012,[],3.87,362249,0.5667,0.082,164,0.9,0.9,42,149,362249,41757,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0333,0.0333,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0,0.0333,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0667,0.0667,OK
layered_industrylite_seed2,layered,industrylite,2,0,3,hetero,1,0,46440,0,0.7,"(l2,l6,tr3)",0.8,"(l2,l6,tr3,k4)",0.8,"(l2,l6,tr3,k4)",p3,0,163,0.7,0.7333,0.7667,0.8,0.0,0.0,0.0333,0.0333,0.7,0.7333,0.7333,0.8,0.0,0.0,0.0667,0.0667,0.7,0.7333,0.8,0.8,0.0,0.0,0.0,0.0,False,601.053,[],46440,39396,7044,False,600.022,[],3.87,362249,0.5667,0.174,42,0.9,0.9,42,149,362249,41757,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0333,0.0333,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0,0.0333,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0667,0.0667,OK
