instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,r_heaviest_single_0.2,r_heaviest_single_0.4,r_heaviest_single_0.6,r_heaviest_single_0.8,r_heaviest_global_0.2,r_heaviest_global_0.4,r_heaviest_global_0.6,r_heaviest_global_0.8,r_first_single_0.2,r_first_single_0.4,r_first_single_0.6,r_first_single_0.8,r_first_global_0.2,r_first_global_0.4,r_first_global_0.6,r_first_global_0.8,r_last_single_0.2,r_last_single_0.4,r_last_single_0.6,r_last_single_0.8,r_last_global_0.2,r_last_global_0.4,r_last_global_0.6,r_last_global_0.8,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,first_s1_time,first_s1_cost,first_r_tr,first_s2_time,first_s2_cost,first_r_1,first_k_1,first_mono_count,first_concentrated_count,first_s1_dispatch_cost,first_s2_dispatch_cost,first_r_heaviest_single_0.2,first_r_heaviest_single_0.4,first_r_heaviest_single_0.6,first_r_heaviest_single_0.8,first_r_heaviest_global_0.2,first_r_heaviest_global_0.4,first_r_heaviest_global_0.6,first_r_heaviest_global_0.8,first_r_first_single_0.2,first_r_first_single_0.4,first_r_first_single_0.6,first_r_first_single_0.8,first_r_first_global_0.2,first_r_first_global_0.4,first_r_first_global_0.6,first_r_first_global_0.8,first_r_last_single_0.2,first_r_last_single_0.4,first_r_last_single_0.6,first_r_last_single_0.8,first_r_last_global_0.2,first_r_last_global_0.4,first_r_last_global_0.6,first_r_last_global_0.8,status
layered_industrylite_seed1,layered,industrylite,1,0,3,off_off,0,0,123999,13,0.5333,"(l2,l5,tr3)",0.8333,"(l8,l10,tr3,k1)",0.8333,"(l8,l10,tr3,k1)",p1,105,229,0.6,0.7,0.7,0.7667,0.0,0.0,0.0,0.0333,0.5333,0.6333,0.8,0.8333,0.0,0.0,0.0667,0.2,0.6,0.6667,0.7333,0.7667,0.0,0.0,0.1,0.2667,False,646.018,[],123999,89841,34158,False,600.074,[],4.412,359659,0.6,0.269,342,0.9,0.9,183,213,359659,98038,0.6,0.6,0.6,0.6,0.0,0.0,0.0667,0.0667,0.6,0.6,0.6,0.6,0.0,0.0,0.0333,0.1333,0.6,0.6333,0.6333,0.6333,0.0,0.0,0.1,0.2,OK
layered_industrylite_seed1,layered,industrylite,1,0,3,hetero,1,0,123999,13,0.5333,"(l2,l5,tr3)",0.8667,"(l9,l10,tr4,k2)",0.8667,"(l9,l10,tr4,k2)",p9,9,250,0.5667,0.6333,0.7667,0.7667,0.0,0.0,0.0333,0.1333,0.6,0.7333,0.7667,0.8333,0.0,0.0,0.1,0.1333,0.5667,0.6667,0.7333,0.8667,0.0,0.0333,0.1,0.2333,False,646.018,[],123999,91169,32830,False,600.4,[],4.412,359659,0.6,0.51,183,0.9,0.9,183,213,359659,98038,0.6,0.6,0.6,0.6,0.0,0.0,0.0667,0.0667,0.6,0.6,0.6,0.6,0.0,0.0,0.0333,0.1333,0.6,0.6333,0.6333,0.6333,0.0,0.0,0.1,0.2,OK
layered_industrylite_seed1,layered,industrylite,1,0,3,conc,0,1,123999,13,0.5333,"(l2,l5,tr3)",0.8,"(l3,l11,tr2,k2)",0.8,"(l3,l11,tr2,k2)",p1,134,236,0.6,0.7,0.7,0.7667,0.0,0.0,0.0333,0.1,0.5667,0.7,0.8,0.8667,0.0,0.0,0.1333,0.2333,0.5667,0.7,0.7333,0.8333,0.0,0.0,0.2,0.3,False,646.018,[],123999,107196,16803,False,600.325,[],4.412,359659,0.6,0.531,317407,0.9,0.9,183,213,359659,98038,0.6,0.6,0.6,0.6,0.0,0.0,0.0667,0.0667,0.6,0.6,0.6,0.6,0.0,0.0,0.0333,0.1333,0.6,0.6333,0.6333,0.6333,0.0,0.0,0.1,0.2,OK
layered_industrylite_seed1,layered,industrylite,1,0,3,both,1,1,123999,13,0.5333,"(l2,l5,tr3)",0.8,"(l3,l11,tr2,k2)",0.8,"(l3,l11,tr2,k2)",p1,193,231,0.6,0.6667,0.7,0.7,0.0,0.0,0.0,0.0667,0.6667,0.7333,0.8,0.8333,0.0,0.0333,0.1,0.3,0.6667,0.6667,0.7333,0.8333,0.0,0.0,0.1,0.1667,False,646.018,[],123999,113737,10262,False,615.129,[],4.412,359659,0.6,0.423,317590,0.9,0.9,183,213,359659,98038,0.6,0.6,0.6,0.6,0.0,0.0,0.0667,0.0667,0.6,0.6,0.6,0.6,0.0,0.0,0.0333,0.1333,0.6,0.6333,0.6333,0.6333,0.0,0.0,0.1,0.2,OK
layered_industrylite_seed1,layered,industrylite,1,2000,3,off_off,0,0,128552,15,0.6,"(l4,l5,tr2)",0.8,"(l5,l8,tr3,k6)",0.8,"(l5,l8,tr3,k6)",p2,91,194,0.6,0.6,0.6667,0.8,0.0,0.0,0.0667,0.1333,0.6,0.6,0.7333,0.8,0.0,0.0,0.1,0.1667,0.6,0.7333,0.7667,0.8,0.0,0.0,0.1667,0.1667,False,622.089,[],98552,76478,22074,False,600.117,[],4.005,375659,0.6,0.259,308,0.9,0.9,157,169,359659,82631,0.7333,0.7333,0.7333,0.7333,0.0,0.0,0.0333,0.0667,0.6333,0.6333,0.7333,0.7333,0.0,0.0,0.0333,0.1,0.7333,0.7333,0.7333,0.7333,0.0,0.0,0.1333,0.2333,OK
layered_industrylite_seed1,layered,industrylite,1,2000,3,hetero,1,0,128552,15,0.6,"(l4,l5,tr2)",0.8333,"(l4,l5,tr2,k3)",0.8333,"(l4,l5,tr2,k3)",p2,13,220,0.6,0.6,0.7,0.8333,0.0,0.0,0.0333,0.1,0.6,0.7333,0.7333,0.8333,0.0,0.0,0.0667,0.1333,0.6,0.7,0.7,0.8333,0.0,0.0,0.1667,0.2333,False,622.089,[],98552,76856,21696,False,621.177,[],4.005,375659,0.6,0.402,157,0.9,0.9,157,169,359659,82631,0.7333,0.7333,0.7333,0.7333,0.0,0.0,0.0333,0.0667,0.6333,0.6333,0.7333,0.7333,0.0,0.0,0.0333,0.1,0.7333,0.7333,0.7333,0.7333,0.0,0.0,0.1333,0.2333,OK
layered_industrylite_seed1,layered,industrylite,1,2000,3,conc,0,1,128552,15,0.6,"(l4,l5,tr2)",0.8,"(l5,l8,tr3,k6)",0.8,"(l5,l8,tr3,k6)",p2,123,221,0.6333,0.7,0.7667,0.8,0.0,0.0,0.0667,0.1667,0.6667,0.7,0.7,0.8333,0.0,0.0,0.0667,0.2667,0.6333,0.7333,0.8,0.8,0.0,0.0,0.2,0.3333,False,622.089,[],98552,88205,10347,False,623.94,[],4.005,375659,0.6,2.772,278749,0.9,0.9,157,169,359659,82631,0.7333,0.7333,0.7333,0.7333,0.0,0.0,0.0333,0.0667,0.6333,0.6333,0.7333,0.7333,0.0,0.0,0.0333,0.1,0.7333,0.7333,0.7333,0.7333,0.0,0.0,0.1333,0.2333,OK
layered_industrylite_seed1,layered,industrylite,1,2000,3,both,1,1,128552,15,0.6,"(l4,l5,tr2)",0.8,"(l12,l14,tr1,k4)",0.8,"(l12,l14,tr1,k4)",p4,149,211,0.6,0.6667,0.7,0.8,0.0,0.0,0.0667,0.1667,0.6333,0.7333,0.7333,0.8,0.0,0.0,0.1667,0.2333,0.6333,0.6333,0.7,0.8,0.0,0.0,0.2,0.3667,False,622.089,[],98552,91158,7394,False,614.951,[],4.005,375659,0.6,0.235,278906,0.9,0.9,157,169,359659,82631,0.7333,0.7333,0.7333,0.7333,0.0,0.0,0.0333,0.0667,0.6333,0.6333,0.7333,0.7333,0.0,0.0,0.0333,0.1,0.7333,0.7333,0.7333,0.7333,0.0,0.0,0.1333,0.2333,OK
layered_industrylite_seed2,layered,industrylite,2,0,3,off_off,0,0,49512,0,0.7333,"(l4,l12,tr2)",0.7667,"(l4,l12,tr2,k1)",0.7667,"(l4,l12,tr2,k1)",p2,16,164,0.7333,0.7333,0.7667,0.7667,0.0,0.0,0.0,0.0667,0.7333,0.8,0.8,0.8333,0.0,0.0,0.0333,0.0667,0.7333,0.7667,0.7667,0.7667,0.0,0.0,0.0333,0.1333,False,601.46,[],49512,40680,8832,False,600.138,[],6.439,362249,0.5667,0.174,161,0.8,0.8,43,145,362249,44043,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0333,0.0333,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0333,0.0333,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0333,0.1,OK
layered_industrylite_seed2,layered,industrylite,2,0,3,hetero,1,0,49512,0,0.7333,"(l4,l12,tr2)",0.8,"(l4,l12,tr2,k1)",0.8,"(l4,l12,tr2,k1)",p2,1,160,0.7333,0.7333,0.7667,0.8,0.0,0.0,0.0,0.0333,0.7333,0.8,0.8,0.8333,0.0,0.0,0.0667,0.0667,0.7333,0.7667,0.8,0.8,0.0,0.0,0.0,0.1,False,601.46,[],49512,40680,8832,False,600.027,[],6.439,362249,0.5667,0.159,43,0.8,0.8,43,145,362249,44043,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0333,0.0333,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0333,0.0333,0.6667,0.6667,0.6667,0.6667,0.0,0.0,0.0333,0.1,OK
