instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,status
layered_medium_seed1,layered,medium,1,0,3,off_off,0,0,10006,5,0.3333,"(l2,l7,tr2)",0.8,"(l2,l7,tr2,k12)",0.8,"(l2,l7,tr2,k12)",p2,12,19,False,120.019,[],10006,7576,2430,False,120.009,[],OK
layered_medium_seed1,layered,medium,1,0,3,hetero,1,0,10006,5,0.3333,"(l2,l7,tr2)",0.8333,"(l5,l8,tr2,k5)",0.8333,"(l5,l8,tr2,k5)",p3,0,18,False,120.019,[],10006,7576,2430,False,120.016,[],OK
layered_medium_seed1,layered,medium,1,0,3,conc,0,1,10006,5,0.3333,"(l2,l7,tr2)",0.8,"(l2,l7,tr2,k8)",0.8,"(l2,l7,tr2,k8)",p1,6,15,False,120.019,[],10006,8728,1278,False,120.016,[],OK
layered_medium_seed1,layered,medium,1,0,3,both,1,1,10006,5,0.3333,"(l2,l7,tr2)",0.8,"(l2,l7,tr2,k8)",0.8,"(l2,l7,tr2,k8)",p1,7,15,False,120.019,[],10006,8792,1214,False,120.189,[],OK
layered_medium_seed1,layered,medium,1,300,3,off_off,0,0,17036,0,0.6667,"(l2,l7,tr2)",0.8333,"(l5,l8,tr2,k2)",0.8333,"(l5,l8,tr2,k2)",p2,6,41,False,120.069,[],17036,13414,3622,False,120.265,[],OK
layered_medium_seed1,layered,medium,1,300,3,hetero,1,0,17036,0,0.6667,"(l2,l7,tr2)",0.8333,"(l4,l7,tr2,k4)",0.8333,"(l4,l7,tr2,k4)",p1,3,38,False,120.069,[],17036,13414,3622,False,120.081,[],OK
layered_medium_seed1,layered,medium,1,300,3,conc,0,1,17036,0,0.6667,"(l2,l7,tr2)",0.8,"(l5,l8,tr2,k3)",0.8,"(l5,l8,tr2,k3)",p3,13,34,False,120.069,[],17036,14190,2846,False,120.072,[],OK
layered_medium_seed1,layered,medium,1,300,3,both,1,1,17036,0,0.6667,"(l2,l7,tr2)",0.8,"(l4,l7,tr2,k1)",0.8,"(l4,l7,tr2,k1)",p1,11,38,False,120.069,[],17036,14190,2846,False,120.041,[],OK
layered_medium_seed1,layered,medium,1,500,3,off_off,0,0,18210,0,0.6667,"(l2,l7,tr2)",0.8,"(l2,l3,tr2,k2)",0.8,"(l2,l3,tr2,k2)",p1,5,52,False,120.019,[],18210,12198,6012,False,120.011,[],OK
layered_medium_seed1,layered,medium,1,500,3,hetero,1,0,18210,0,0.6667,"(l2,l7,tr2)",0.8333,"(l2,l7,tr2,k5)",0.8333,"(l2,l7,tr2,k5)",p3,1,51,False,120.019,[],18210,12198,6012,False,120.032,[],OK
layered_medium_seed1,layered,medium,1,500,3,conc,0,1,18210,0,0.6667,"(l2,l7,tr2)",0.8,"(l1,l5,tr2,k4)",0.8,"(l1,l5,tr2,k4)",p2,14,50,False,120.019,[],18210,13116,5094,False,120.019,[],OK
