instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,r_heaviest_single_0.2,r_heaviest_single_0.4,r_heaviest_single_0.6,r_heaviest_single_0.8,r_heaviest_global_0.2,r_heaviest_global_0.4,r_heaviest_global_0.6,r_heaviest_global_0.8,r_first_single_0.2,r_first_single_0.4,r_first_single_0.6,r_first_single_0.8,r_first_global_0.2,r_first_global_0.4,r_first_global_0.6,r_first_global_0.8,r_last_single_0.2,r_last_single_0.4,r_last_single_0.6,r_last_single_0.8,r_last_global_0.2,r_last_global_0.4,r_last_global_0.6,r_last_global_0.8,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,first_s1_time,first_s1_cost,first_r_tr,first_s2_time,first_s2_cost,first_r_1,first_k_1,first_mono_count,first_concentrated_count,first_s1_dispatch_cost,first_s2_dispatch_cost,first_r_heaviest_single_0.2,first_r_heaviest_single_0.4,first_r_heaviest_single_0.6,first_r_heaviest_single_0.8,first_r_heaviest_global_0.2,first_r_heaviest_global_0.4,first_r_heaviest_global_0.6,first_r_heaviest_global_0.8,first_r_first_single_0.2,first_r_first_single_0.4,first_r_first_single_0.6,first_r_first_single_0.8,first_r_first_global_0.2,first_r_first_global_0.4,first_r_first_global_0.6,first_r_first_global_0.8,first_r_last_single_0.2,first_r_last_single_0.4,first_r_last_single_0.6,first_r_last_single_0.8,first_r_last_global_0.2,first_r_last_global_0.4,first_r_last_global_0.6,first_r_last_global_0.8,status
layered_medium_seed1,layered,medium,1,0,3,off_off,0,0,8834,4,0.3333,"(l2,l7,tr2)",0.8333,"(l1,l5,tr2,k5)",0.8333,"(l1,l5,tr2,k5)",p3,2,16,0.4,0.6333,0.7,0.8333,0.0333,0.1,0.2667,0.4,0.4,0.5,0.5667,0.7667,0.0667,0.2,0.3,0.5333,0.4667,0.6667,0.7333,0.8667,0.0333,0.1,0.2667,0.4667,False,603.447,[],8834,7116,1718,False,601.137,[],0.059,20844,0.4,0.139,31,0.8,0.8,13,18,20844,7372,0.4667,0.5,0.5333,0.5333,0.0,0.0667,0.1333,0.3667,0.4333,0.5,0.5,0.5333,0.0,0.1,0.1333,0.4,0.5333,0.5333,0.5333,0.5333,0.0,0.0667,0.1,0.3333,OK
layered_medium_seed1,layered,medium,1,0,3,hetero,1,0,8834,4,0.3333,"(l2,l7,tr2)",0.8333,"(l1,l5,tr2,k2)",0.8333,"(l1,l5,tr2,k2)",p2,0,17,0.3667,0.5,0.6,0.8,0.0333,0.1667,0.3333,0.4667,0.4333,0.6,0.6333,0.8,0.0333,0.1333,0.3333,0.5333,0.3667,0.5667,0.7,0.8,0.0333,0.1667,0.3,0.5,False,603.447,[],8834,7116,1718,False,600.021,[],0.059,20844,0.4,0.021,13,0.8,0.8,13,18,20844,7372,0.4667,0.5,0.5333,0.5333,0.0,0.0667,0.1333,0.3667,0.4333,0.5,0.5,0.5333,0.0,0.1,0.1333,0.4,0.5333,0.5333,0.5333,0.5333,0.0,0.0667,0.1,0.3333,OK
layered_medium_seed1,layered,medium,1,0,3,conc,0,1,8834,4,0.3333,"(l2,l7,tr2)",0.8,"(l1,l5,tr2,k6)",0.8,"(l1,l5,tr2,k6)",p3,3,24,0.4,0.4667,0.5667,0.7333,0.0,0.0,0.1333,0.3,0.4,0.6,0.7,0.8,0.0667,0.2,0.3667,0.5667,0.4,0.6,0.7,0.7333,0.0667,0.1,0.1333,0.3,False,603.447,[],8834,8002,832,False,600.021,[],0.059,20844,0.4,0.036,13052,0.8,0.8,13,18,20844,7372,0.4667,0.5,0.5333,0.5333,0.0,0.0667,0.1333,0.3667,0.4333,0.5,0.5,0.5333,0.0,0.1,0.1333,0.4,0.5333,0.5333,0.5333,0.5333,0.0,0.0667,0.1,0.3333,OK
layered_medium_seed1,layered,medium,1,0,3,both,1,1,8834,4,0.3333,"(l2,l7,tr2)",0.8,"(l1,l5,tr2,k3)",0.8,"(l1,l5,tr2,k3)",p3,4,25,0.4,0.4667,0.5667,0.7333,0.0333,0.0667,0.1333,0.4,0.5,0.6333,0.7667,0.8333,0.0333,0.0667,0.2667,0.5333,0.4,0.4333,0.6667,0.7333,0.0333,0.1,0.3667,0.5667,False,603.447,[],8834,8578,256,False,600.073,[],0.059,20844,0.4,0.037,13065,0.8,0.8,13,18,20844,7372,0.4667,0.5,0.5333,0.5333,0.0,0.0667,0.1333,0.3667,0.4333,0.5,0.5,0.5333,0.0,0.1,0.1333,0.4,0.5333,0.5333,0.5333,0.5333,0.0,0.0667,0.1,0.3333,OK
layered_medium_seed1,layered,medium,1,300,3,off_off,0,0,15732,2,0.6,"(l2,l3,tr2)",0.8,"(l2,l7,tr2,k4)",0.8,"(l2,l7,tr2,k4)",p2,7,33,0.6,0.6667,0.6667,0.8333,0.0,0.0667,0.1667,0.4333,0.6,0.6333,0.6667,0.8333,0.0,0.1,0.2,0.3,0.6,0.6667,0.8,0.8333,0.0,0.0667,0.3,0.4333,False,603.227,[],15132,12600,2532,True,9.204,[],0.136,22944,0.4,0.137,44,0.8333,0.8333,11,33,20844,13008,0.4,0.4667,0.4667,0.5333,0.0,0.0,0.0333,0.1667,0.4,0.5,0.5,0.6,0.0,0.0333,0.1,0.1333,0.4,0.4667,0.5333,0.5333,0.0,0.0667,0.1333,0.2,OK
layered_medium_seed1,layered,medium,1,300,3,hetero,1,0,15732,2,0.6,"(l2,l3,tr2)",0.8333,"(l5,l7,tr2,k4)",0.8333,"(l5,l7,tr2,k4)",p3,3,33,0.6,0.6667,0.7333,0.8333,0.0,0.1,0.2,0.4,0.6,0.6667,0.7667,0.8333,0.0,0.1333,0.2333,0.3667,0.6,0.7,0.7333,0.8333,0.0,0.0667,0.2,0.4,False,603.227,[],15132,12600,2532,True,397.619,[],0.136,22944,0.4,0.027,11,0.8333,0.8333,11,33,20844,13008,0.4,0.4667,0.4667,0.5333,0.0,0.0,0.0333,0.1667,0.4,0.5,0.5,0.6,0.0,0.0333,0.1,0.1333,0.4,0.4667,0.5333,0.5333,0.0,0.0667,0.1333,0.2,OK
layered_medium_seed1,layered,medium,1,300,3,conc,0,1,15732,2,0.6,"(l2,l3,tr2)",0.8,"(l2,l7,tr2,k4)",0.8,"(l2,l7,tr2,k4)",p2,11,32,0.6333,0.7,0.7,0.8,0.0,0.0667,0.2,0.2667,0.6333,0.7,0.7333,0.8,0.0,0.1667,0.3,0.3667,0.6333,0.7,0.8,0.8667,0.0,0.0333,0.2667,0.3333,False,603.227,[],15132,12728,2404,False,600.009,[],0.136,22944,0.4,0.042,16989,0.8333,0.8333,11,33,20844,13008,0.4,0.4667,0.4667,0.5333,0.0,0.0,0.0333,0.1667,0.4,0.5,0.5,0.6,0.0,0.0333,0.1,0.1333,0.4,0.4667,0.5333,0.5333,0.0,0.0667,0.1333,0.2,OK
layered_medium_seed1,layered,medium,1,300,3,both,1,1,15732,2,0.6,"(l2,l3,tr2)",0.8,"(l5,l7,tr2,k4)",0.8,"(l5,l7,tr2,k4)",p3,13,28,0.6,0.6333,0.6667,0.7667,0.0,0.0667,0.1667,0.3333,0.6,0.7,0.7333,0.7667,0.0,0.0333,0.1,0.3333,0.6,0.7,0.7,0.8,0.0,0.1,0.3333,0.4333,False,603.227,[],15132,13072,2060,False,602.848,[],0.136,22944,0.4,0.042,17000,0.8333,0.8333,11,33,20844,13008,0.4,0.4667,0.4667,0.5333,0.0,0.0,0.0333,0.1667,0.4,0.5,0.5,0.6,0.0,0.0333,0.1,0.1333,0.4,0.4667,0.5333,0.5333,0.0,0.0667,0.1333,0.2,OK
layered_medium_seed1,layered,medium,1,500,3,off_off,0,0,18210,0,0.6667,"(l2,l7,tr2)",0.8,"(l2,l7,tr2,k4)",0.8,"(l2,l7,tr2,k4)",p3,5,52,0.6667,0.7,0.7333,0.8,0.0,0.0333,0.2333,0.4,0.6667,0.7,0.7333,0.8333,0.0,0.0667,0.3333,0.4333,0.6667,0.7,0.7333,0.8,0.0,0.0667,0.3333,0.4333,False,601.517,[],18210,12198,6012,False,600.213,[],0.122,24344,0.4,0.087,44,0.8,0.8,26,38,20844,13116,0.4,0.4,0.4,0.4,0.0,0.0333,0.1,0.1667,0.4,0.5333,0.5333,0.5333,0.0,0.0,0.1,0.3333,0.4,0.4,0.4,0.4,0.0,0.0333,0.1,0.1,OK
layered_medium_seed1,layered,medium,1,500,3,hetero,1,0,18210,0,0.6667,"(l2,l7,tr2)",0.8333,"(l2,l7,tr2,k5)",0.8333,"(l2,l7,tr2,k5)",p3,1,51,0.6667,0.7,0.7333,0.8333,0.0,0.0667,0.2333,0.4667,0.6667,0.7,0.8,0.8333,0.0,0.0667,0.3,0.4333,0.6667,0.7,0.7333,0.8333,0.0,0.0667,0.3333,0.4667,False,601.517,[],18210,12198,6012,False,600.158,[],0.122,24344,0.4,0.063,26,0.8,0.8,26,38,20844,13116,0.4,0.4,0.4,0.4,0.0,0.0333,0.1,0.1667,0.4,0.5333,0.5333,0.5333,0.0,0.0,0.1,0.3333,0.4,0.4,0.4,0.4,0.0,0.0333,0.1,0.1,OK
