instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,status
layered_paper,layered,paper,0,0,3,off_off,0,0,3458,4,0.5,"(l1,l4,tr2)",0.75,"(l3,l5,tr2,k4)",0.75,"(l3,l5,tr2,k4)",p2,9,12,True,7.196,[],3458,2744,714,True,0.017,[],OK
layered_paper,layered,paper,0,0,3,hetero,1,0,3458,4,0.5,"(l1,l4,tr2)",0.75,"(l3,l5,tr2,k4)",0.75,"(l3,l5,tr2,k4)",p2,9,12,True,7.196,[],3458,2744,714,True,0.018,[],OK
layered_paper,layered,paper,0,0,3,conc,0,1,3458,4,0.5,"(l1,l4,tr2)",0.75,"(l3,l5,tr2,k4)",0.75,"(l3,l5,tr2,k4)",p2,9,12,True,7.196,[],3458,2744,714,True,0.017,[],OK
layered_paper,layered,paper,0,0,3,both,1,1,3458,4,0.5,"(l1,l4,tr2)",0.75,"(l3,l5,tr2,k4)",0.75,"(l3,l5,tr2,k4)",p2,9,12,True,7.196,[],3458,2744,714,True,0.017,[],OK
layered_paper,layered,paper,0,300,3,off_off,0,0,3654,0,0.7,"(l1,l3,tr2)",0.75,"(l1,l3,tr2,k1)",0.75,"(l1,l3,tr2,k1)",p2,12,18,True,21.209,[],3654,2940,714,True,0.029,[],OK
layered_paper,layered,paper,0,300,3,hetero,1,0,3654,0,0.7,"(l1,l3,tr2)",0.75,"(l1,l3,tr2,k2)",0.75,"(l1,l3,tr2,k2)",p2,4,18,True,21.209,[],3654,2940,714,True,0.69,[],OK
layered_paper,layered,paper,0,300,3,conc,0,1,3654,0,0.7,"(l1,l3,tr2)",0.75,"(l1,l3,tr2,k1)",0.75,"(l1,l3,tr2,k1)",p2,8,14,True,21.209,[],3654,2940,714,True,2.317,[],OK
layered_paper,layered,paper,0,300,3,both,1,1,3654,0,0.7,"(l1,l3,tr2)",0.75,"(l1,l3,tr2,k1)",0.75,"(l1,l3,tr2,k1)",p2,5,15,True,21.209,[],3654,2940,714,False,60.012,[],OK
layered_paper,layered,paper,0,0,3,off_off,0,0,,,,,,,,,,,,,,,,,,,,,S1_UNSAT
layered_paper,layered,paper,0,0,3,hetero,1,0,,,,,,,,,,,,,,,,,,,,,S1_UNSAT
layered_paper,layered,paper,0,0,3,conc,0,1,,,,,,,,,,,,,,,,,,,,,S1_UNSAT
layered_paper,layered,paper,0,0,3,both,1,1,,,,,,,,,,,,,,,,,,,,,S1_UNSAT
layered_paper,layered,paper,0,300,3,off_off,0,0,,,,,,,,,,,,,,,,,,,,,S1_UNSAT
layered_paper,layered,paper,0,300,3,hetero,1,0,,,,,,,,,,,,,,,,,,,,,S1_UNSAT
layered_paper,layered,paper,0,300,3,conc,0,1,,,,,,,,,,,,,,,,,,,,,S1_UNSAT
layered_paper,layered,paper,0,300,3,both,1,1,,,,,,,,,,,,,,,,,,,,,S1_UNSAT
layered_paper,layered,paper,0,0,3,off_off,0,0,3458,4,0.5,"(l1,l4,tr2)",0.75,"(l3,l5,tr2,k4)",0.75,"(l3,l5,tr2,k4)",p2,10,13,True,11.705,[],3458,2744,714,True,0.018,[],OK
layered_paper,layered,paper,0,0,3,hetero,1,0,3458,4,0.5,"(l1,l4,tr2)",0.85,"(l3,l5,tr2,k4)",0.85,"(l3,l5,tr2,k4)",p2,2,16,True,11.705,[],3458,2744,714,True,0.024,[],OK
layered_paper,layered,paper,0,0,3,conc,0,1,3458,4,0.5,"(l1,l4,tr2)",0.8,"(l3,l5,tr2,k3)",0.8,"(l3,l5,tr2,k3)",p2,6,14,True,11.705,[],3458,3458,0,True,25.766,[],OK
layered_paper,layered,paper,0,0,3,both,1,1,3458,4,0.5,"(l1,l4,tr2)",0.8,"(l1,l4,tr2,k7)",0.8,"(l1,l4,tr2,k7)",p2,6,14,True,11.705,[],3458,3458,0,True,59.78,[],OK
layered_paper,layered,paper,0,300,3,off_off,0,0,3654,0,0.7,"(l1,l3,tr2)",0.75,"(l1,l4,tr2,k3)",0.75,"(l1,l4,tr2,k3)",p2,11,18,True,31.277,[],3654,2940,714,True,0.022,[],OK
layered_paper,layered,paper,0,300,3,hetero,1,0,3654,0,0.7,"(l1,l3,tr2)",0.85,"(l3,l5,tr2,k2)",0.85,"(l3,l5,tr2,k2)",p2,1,17,True,31.277,[],3654,3276,378,True,0.056,[],OK
layered_paper,layered,paper,0,300,3,conc,0,1,3654,0,0.7,"(l1,l3,tr2)",0.85,"(l3,l4,tr2,k1)",0.85,"(l3,l4,tr2,k1)",p1,1,17,True,31.277,[],3654,3654,0,True,4.092,[],OK
layered_paper,layered,paper,0,300,3,both,1,1,3654,0,0.7,"(l1,l3,tr2)",0.85,"(l3,l4,tr2,k1)",0.85,"(l3,l4,tr2,k1)",p1,1,17,True,31.277,[],3654,3654,0,True,2.623,[],OK
