instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,status
layered_small_seed1,layered,small,1,0,3,off_off,0,0,4002,7,0.4667,"(l2,l4,tr1)",0.8,"(l3,l5,tr1,k7)",0.8,"(l3,l5,tr1,k7)",p2,5,4,True,14.218,[],4002,2788,1214,False,60.013,[],OK
layered_small_seed1,layered,small,1,0,3,hetero,1,0,4002,7,0.4667,"(l2,l4,tr1)",0.8333,"(l4,l6,tr1,k1)",0.8333,"(l4,l6,tr1,k1)",p2,0,4,True,14.218,[],4002,2788,1214,False,60.011,[],OK
layered_small_seed1,layered,small,1,0,3,conc,0,1,4002,7,0.4667,"(l2,l4,tr1)",0.8,"(l2,l4,tr1,k9)",0.8,"(l2,l4,tr1,k9)",p2,6,3,True,14.218,[],4002,3044,958,False,60.011,[],OK
layered_small_seed1,layered,small,1,0,3,both,1,1,4002,7,0.4667,"(l2,l4,tr1)",0.8333,"(l4,l5,tr1,k3)",0.8333,"(l4,l5,tr1,k3)",p2,0,3,True,14.218,[],4002,3044,958,False,60.012,[],OK
layered_small_seed1,layered,small,1,300,3,off_off,0,0,4978,2,0.3,"(l3,l5,tr1)",0.8667,"(l4,l6,tr1,k5)",0.8667,"(l4,l6,tr1,k5)",p1,8,8,False,60.013,[],4378,3592,786,False,60.013,[],OK
layered_small_seed1,layered,small,1,300,3,hetero,1,0,4978,2,0.3,"(l3,l5,tr1)",0.8333,"(l3,l5,tr1,k11)",0.8333,"(l3,l5,tr1,k11)",p2,0,4,False,60.013,[],4378,3592,786,False,60.014,[],OK
layered_small_seed1,layered,small,1,300,3,conc,0,1,4978,2,0.3,"(l3,l5,tr1)",0.8667,"(l3,l5,tr1,k9)",0.8667,"(l3,l5,tr1,k9)",p2,3,3,False,60.013,[],4378,3592,786,False,60.054,[],OK
layered_small_seed1,layered,small,1,300,3,both,1,1,4978,2,0.3,"(l3,l5,tr1)",0.8333,"(l3,l5,tr1,k5)",0.8333,"(l3,l5,tr1,k5)",p2,1,3,False,60.013,[],4378,3592,786,False,60.023,[],OK
layered_small_seed2,layered,small,2,0,3,off_off,0,0,1707,3,0.3667,"(l1,l6,tr1)",0.7667,"(l1,l6,tr1,k4)",0.7667,"(l1,l6,tr1,k4)",p2,4,3,True,4.188,[],1707,1391,316,True,0.074,[],OK
layered_small_seed2,layered,small,2,0,3,hetero,1,0,1707,3,0.3667,"(l1,l6,tr1)",0.8333,"(l1,l6,tr1,k2)",0.8333,"(l1,l6,tr1,k2)",p2,0,3,True,4.188,[],1707,1391,316,True,0.047,[],OK
layered_small_seed2,layered,small,2,0,3,conc,0,1,1707,3,0.3667,"(l1,l6,tr1)",0.8,"(l1,l6,tr1,k8)",0.8,"(l1,l6,tr1,k8)",p2,1,3,True,4.188,[],1707,1391,316,True,0.069,[],OK
layered_small_seed2,layered,small,2,0,3,both,1,1,1707,3,0.3667,"(l1,l6,tr1)",0.8333,"(l1,l6,tr1,k3)",0.8333,"(l1,l6,tr1,k3)",p2,0,3,True,4.188,[],1707,1391,316,True,0.047,[],OK
layered_small_seed2,layered,small,2,300,3,off_off,0,0,2560,0,0.6667,"(l1,l6,tr1)",0.8667,"(l4,l6,tr2,k1)",0.8667,"(l4,l6,tr2,k1)",p2,5,12,False,60.019,[],2560,2337,223,True,0.018,[],OK
layered_small_seed2,layered,small,2,300,3,hetero,1,0,2560,0,0.6667,"(l1,l6,tr1)",0.8667,"(l4,l6,tr2,k1)",0.8667,"(l4,l6,tr2,k1)",p2,0,14,False,60.019,[],2560,2337,223,True,0.015,[],OK
layered_small_seed2,layered,small,2,300,3,conc,0,1,2560,0,0.6667,"(l1,l6,tr1)",0.8333,"(l4,l6,tr2,k1)",0.8333,"(l4,l6,tr2,k1)",p2,4,6,False,60.019,[],2560,2374,186,True,0.024,[],OK
