instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,status
layered_xlarge_seed1,layered,xlarge,1,0,3,off_off,0,0,22031,1,0.6333,"(l2,l5,tr1)",0.8,"(l3,l15,tr3,k2)",0.8,"(l3,l15,tr3,k2)",p6,23,58,False,605.183,[],22031,15570,6461,False,600.832,[],OK
layered_xlarge_seed1,layered,xlarge,1,0,3,hetero,1,0,22031,1,0.6333,"(l2,l5,tr1)",0.8,"(l1,l13,tr3,k6)",0.8,"(l1,l13,tr3,k6)",p1,5,63,False,605.183,[],22031,15570,6461,False,600.034,[],OK
layered_xlarge_seed1,layered,xlarge,1,0,3,conc,0,1,22031,1,0.6333,"(l2,l5,tr1)",0.7667,"(l3,l15,tr3,k2)",0.7667,"(l3,l15,tr3,k2)",p6,50,61,False,605.183,[],22031,17783,4248,False,603.714,[],OK
layered_xlarge_seed1,layered,xlarge,1,0,3,both,1,1,22031,1,0.6333,"(l2,l5,tr1)",0.8333,"(l1,l13,tr3,k3)",0.8333,"(l1,l13,tr3,k3)",p2,41,61,False,605.183,[],22031,18507,3524,False,617.453,[],OK
layered_xlarge_seed1,layered,xlarge,1,1000,3,off_off,0,0,25013,2,0.6,"(l1,l7,tr3)",0.8333,"(l5,l15,tr3,k1)",0.8333,"(l5,l15,tr3,k1)",p1,30,82,False,603.669,[],23013,17637,5376,False,600.012,[],OK
layered_xlarge_seed1,layered,xlarge,1,1000,3,hetero,1,0,25013,2,0.6,"(l1,l7,tr3)",0.8,"(l3,l5,tr3,k3)",0.8,"(l3,l5,tr3,k3)",p1,5,95,False,603.669,[],23013,17637,5376,False,600.022,[],OK
layered_xlarge_seed1,layered,xlarge,1,1000,3,conc,0,1,25013,2,0.6,"(l1,l7,tr3)",0.8333,"(l1,l7,tr3,k3)",0.8333,"(l1,l7,tr3,k3)",p4,42,91,False,603.669,[],23013,18670,4343,False,600.049,[],OK
layered_xlarge_seed1,layered,xlarge,1,1000,3,both,1,1,25013,2,0.6,"(l1,l7,tr3)",0.8333,"(l3,l5,tr3,k2)",0.8333,"(l3,l5,tr3,k2)",p1,41,97,False,603.669,[],23013,18935,4078,False,600.118,[],OK
layered_xlarge_seed2,layered,xlarge,2,0,3,off_off,0,0,17753,1,0.6,"(l1,l8,tr1)",0.7667,"(l1,l8,tr1,k3)",0.7667,"(l1,l8,tr1,k3)",p6,25,84,False,600.427,[],17753,15475,2278,False,600.03,[],OK
layered_xlarge_seed2,layered,xlarge,2,0,3,hetero,1,0,17753,1,0.6,"(l1,l8,tr1)",0.8333,"(l9,l13,tr2,k1)",0.8333,"(l9,l13,tr2,k1)",p1,0,82,False,600.427,[],17753,15475,2278,False,600.011,[],OK
layered_xlarge_seed2,layered,xlarge,2,0,3,conc,0,1,17753,1,0.6,"(l1,l8,tr1)",0.8,"(l1,l8,tr1,k1)",0.8,"(l1,l8,tr1,k1)",p5,16,93,False,600.427,[],17753,17150,603,False,600.018,[],OK
layered_xlarge_seed2,layered,xlarge,2,0,3,both,1,1,17753,1,0.6,"(l1,l8,tr1)",0.7667,"(l1,l8,tr1,k3)",0.7667,"(l1,l8,tr1,k3)",p6,11,92,False,600.427,[],17753,16883,870,False,600.121,[],OK
layered_xlarge_seed2,layered,xlarge,2,1000,3,off_off,0,0,18509,1,0.6333,"(l7,l5,tr3)",0.7333,"(l1,l9,tr2,k3)",0.7333,"(l1,l9,tr2,k3)",p6,28,83,False,600.357,[],17509,14116,3393,False,600.011,[],OK
layered_xlarge_seed2,layered,xlarge,2,1000,3,hetero,1,0,18509,1,0.6333,"(l7,l5,tr3)",0.7667,"(l1,l9,tr2,k3)",0.7667,"(l1,l9,tr2,k3)",p6,2,94,False,600.357,[],17509,14116,3393,False,600.017,[],OK
layered_xlarge_seed2,layered,xlarge,2,1000,3,conc,0,1,18509,1,0.6333,"(l7,l5,tr3)",0.7333,"(l1,l9,tr2,k3)",0.7333,"(l1,l9,tr2,k3)",p6,30,102,False,600.357,[],17509,16571,938,False,601.107,[],OK
layered_xlarge_seed2,layered,xlarge,2,1000,3,both,1,1,18509,1,0.6333,"(l7,l5,tr3)",0.7667,"(l1,l9,tr2,k3)",0.7667,"(l1,l9,tr2,k3)",p6,17,108,False,600.357,[],17509,16571,938,False,600.472,[],OK
layered_xlarge_seed3,layered,xlarge,3,0,3,off_off,0,0,17134,0,0.7,"(l2,l7,tr3)",0.8,"(l5,l10,tr3,k4)",0.8,"(l5,l10,tr3,k4)",p1,17,76,False,618.653,[],17134,13502,3632,False,601.834,[],OK
layered_xlarge_seed3,layered,xlarge,3,0,3,hetero,1,0,17134,0,0.7,"(l2,l7,tr3)",0.8,"(l5,l10,tr3,k4)",0.8,"(l5,l10,tr3,k4)",p1,0,84,False,618.653,[],17134,13502,3632,False,600.884,[],OK
layered_xlarge_seed3,layered,xlarge,3,0,3,conc,0,1,17134,0,0.7,"(l2,l7,tr3)",0.8333,"(l5,l10,tr3,k4)",0.8333,"(l5,l10,tr3,k4)",p1,23,81,False,618.653,[],17134,15630,1504,False,600.395,[],OK
layered_xlarge_seed3,layered,xlarge,3,0,3,both,1,1,17134,0,0.7,"(l2,l7,tr3)",0.8333,"(l3,l7,tr3,k2)",0.8333,"(l3,l7,tr3,k2)",p4,15,83,False,618.653,[],17134,15868,1266,False,600.09,[],OK
layered_xlarge_seed3,layered,xlarge,3,1000,3,off_off,0,0,22162,2,0.6667,"(l1,l7,tr1)",0.8,"(l3,l5,tr3,k1)",0.8,"(l3,l5,tr3,k1)",p2,41,95,False,600.303,[],20162,17060,3102,False,600.01,[],OK
layered_xlarge_seed3,layered,xlarge,3,1000,3,hetero,1,0,22162,2,0.6667,"(l1,l7,tr1)",0.8333,"(l3,l5,tr3,k1)",0.8333,"(l3,l5,tr3,k1)",p2,2,98,False,600.303,[],20162,17060,3102,False,600.104,[],OK
