instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,r_heaviest_single_0.2,r_heaviest_single_0.4,r_heaviest_single_0.6,r_heaviest_single_0.8,r_heaviest_global_0.2,r_heaviest_global_0.4,r_heaviest_global_0.6,r_heaviest_global_0.8,r_first_single_0.2,r_first_single_0.4,r_first_single_0.6,r_first_single_0.8,r_first_global_0.2,r_first_global_0.4,r_first_global_0.6,r_first_global_0.8,r_last_single_0.2,r_last_single_0.4,r_last_single_0.6,r_last_single_0.8,r_last_global_0.2,r_last_global_0.4,r_last_global_0.6,r_last_global_0.8,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,first_s1_time,first_s1_cost,first_r_tr,first_s2_time,first_s2_cost,first_r_1,first_k_1,first_mono_count,first_concentrated_count,first_s1_dispatch_cost,first_s2_dispatch_cost,first_r_heaviest_single_0.2,first_r_heaviest_single_0.4,first_r_heaviest_single_0.6,first_r_heaviest_single_0.8,first_r_heaviest_global_0.2,first_r_heaviest_global_0.4,first_r_heaviest_global_0.6,first_r_heaviest_global_0.8,first_r_first_single_0.2,first_r_first_single_0.4,first_r_first_single_0.6,first_r_first_single_0.8,first_r_first_global_0.2,first_r_first_global_0.4,first_r_first_global_0.6,first_r_first_global_0.8,first_r_last_single_0.2,first_r_last_single_0.4,first_r_last_single_0.6,first_r_last_single_0.8,first_r_last_global_0.2,first_r_last_global_0.4,first_r_last_global_0.6,first_r_last_global_0.8,status
layered_xlarge_seed1,layered,xlarge,1,0,3,off_off,0,0,19395,0,0.6667,"(l1,l10,tr1)",0.8333,"(l5,l15,tr3,k4)",0.8333,"(l5,l15,tr3,k4)",p6,13,95,0.6667,0.7333,0.7667,0.8333,0.0,0.0,0.1,0.2,0.6667,0.7333,0.8333,0.8333,0.0,0.0667,0.2333,0.3,0.6667,0.7333,0.8,0.8667,0.0,0.0333,0.2333,0.3333,False,605.239,[],19395,15760,3635,False,600.012,[],0.638,290815,0.4333,0.083,91,0.8667,0.8667,40,77,290815,16608,0.4667,0.4667,0.4667,0.6,0.0,0.0,0.0,0.1333,0.4667,0.4667,0.4667,0.6,0.0,0.0667,0.2333,0.4333,0.4667,0.4667,0.4667,0.6,0.0,0.0,0.1667,0.1667,OK
layered_xlarge_seed1,layered,xlarge,1,0,3,hetero,1,0,19395,0,0.6667,"(l1,l10,tr1)",0.8,"(l1,l6,tr3,k2)",0.8,"(l1,l6,tr3,k2)",p1,6,91,0.6667,0.7,0.8,0.8,0.0,0.0333,0.1333,0.2667,0.6667,0.7333,0.8333,0.8667,0.0,0.0667,0.2667,0.4,0.6667,0.7,0.8,0.8,0.0,0.0667,0.1667,0.2667,False,605.239,[],19395,15760,3635,False,600.011,[],0.638,290815,0.4333,0.079,40,0.8667,0.8667,40,77,290815,16608,0.4667,0.4667,0.4667,0.6,0.0,0.0,0.0,0.1333,0.4667,0.4667,0.4667,0.6,0.0,0.0667,0.2333,0.4333,0.4667,0.4667,0.4667,0.6,0.0,0.0,0.1667,0.1667,OK
layered_xlarge_seed1,layered,xlarge,1,0,3,conc,0,1,19395,0,0.6667,"(l1,l10,tr1)",0.7667,"(l5,l15,tr3,k1)",0.7667,"(l5,l15,tr3,k1)",p6,29,88,0.6667,0.7333,0.7667,0.7667,0.0,0.0333,0.0333,0.1667,0.6667,0.7667,0.8,0.8333,0.0,0.0667,0.2,0.4333,0.6667,0.7333,0.7667,0.7667,0.0,0.0333,0.2333,0.2667,False,605.239,[],19395,18484,911,False,600.022,[],0.638,290815,0.4333,0.087,64786,0.8667,0.8667,40,77,290815,16608,0.4667,0.4667,0.4667,0.6,0.0,0.0,0.0,0.1333,0.4667,0.4667,0.4667,0.6,0.0,0.0667,0.2333,0.4333,0.4667,0.4667,0.4667,0.6,0.0,0.0,0.1667,0.1667,OK
layered_xlarge_seed1,layered,xlarge,1,0,3,both,1,1,19395,0,0.6667,"(l1,l10,tr1)",0.8333,"(l5,l15,tr3,k1)",0.8333,"(l5,l15,tr3,k1)",p6,21,94,0.6667,0.7333,0.8,0.8333,0.0,0.0333,0.0667,0.2667,0.6667,0.7333,0.8333,0.8333,0.0,0.1,0.2667,0.4333,0.6667,0.7667,0.8,0.8333,0.0,0.0333,0.3333,0.3667,False,605.239,[],19395,18537,858,False,600.145,[],0.638,290815,0.4333,0.08,64826,0.8667,0.8667,40,77,290815,16608,0.4667,0.4667,0.4667,0.6,0.0,0.0,0.0,0.1333,0.4667,0.4667,0.4667,0.6,0.0,0.0667,0.2333,0.4333,0.4667,0.4667,0.4667,0.6,0.0,0.0,0.1667,0.1667,OK
layered_xlarge_seed1,layered,xlarge,1,1000,3,off_off,0,0,25013,2,0.6,"(l1,l7,tr3)",0.8333,"(l8,l10,tr3,k1)",0.8333,"(l8,l10,tr3,k1)",p4,30,82,0.6,0.6667,0.6667,0.8333,0.0,0.0,0.1333,0.2667,0.6,0.6667,0.6667,0.8333,0.0,0.0333,0.2333,0.3333,0.6,0.6,0.7333,0.8333,0.0,0.0333,0.2333,0.3,False,600.66,[],23013,17637,5376,False,600.026,[],1.45,302815,0.4333,0.124,111,0.8667,0.8667,52,76,290815,18964,0.6,0.6333,0.7,0.7,0.0,0.0,0.0333,0.1333,0.6333,0.7,0.7,0.7,0.0,0.0,0.2,0.2667,0.6,0.6,0.6,0.6,0.0,0.0333,0.2667,0.3333,OK
layered_xlarge_seed1,layered,xlarge,1,1000,3,hetero,1,0,25013,2,0.6,"(l1,l7,tr3)",0.8,"(l3,l5,tr3,k3)",0.8,"(l3,l5,tr3,k3)",p1,5,95,0.6,0.7,0.7333,0.8,0.0,0.0,0.1667,0.2333,0.6,0.6333,0.7333,0.8667,0.0,0.0,0.2,0.3,0.6,0.7333,0.7333,0.8333,0.0,0.0667,0.2333,0.3333,False,600.66,[],23013,17637,5376,False,600.02,[],1.45,302815,0.4333,0.129,52,0.8667,0.8667,52,76,290815,18964,0.6,0.6333,0.7,0.7,0.0,0.0,0.0333,0.1333,0.6333,0.7,0.7,0.7,0.0,0.0,0.2,0.2667,0.6,0.6,0.6,0.6,0.0,0.0333,0.2667,0.3333,OK
layered_xlarge_seed1,layered,xlarge,1,1000,3,conc,0,1,25013,2,0.6,"(l1,l7,tr3)",0.8333,"(l1,l7,tr3,k3)",0.8333,"(l1,l7,tr3,k3)",p4,42,91,0.6333,0.6667,0.6667,0.7667,0.0,0.0333,0.0333,0.1333,0.6333,0.6667,0.6667,0.8,0.0,0.0333,0.1,0.3,0.6333,0.7,0.7667,0.8333,0.0,0.0333,0.1333,0.2333,False,600.66,[],23013,18670,4343,False,600.032,[],1.45,302815,0.4333,0.096,75327,0.8667,0.8667,52,76,290815,18964,0.6,0.6333,0.7,0.7,0.0,0.0,0.0333,0.1333,0.6333,0.7,0.7,0.7,0.0,0.0,0.2,0.2667,0.6,0.6,0.6,0.6,0.0,0.0333,0.2667,0.3333,OK
layered_xlarge_seed1,layered,xlarge,1,1000,3,both,1,1,25013,2,0.6,"(l1,l7,tr3)",0.8333,"(l3,l5,tr3,k2)",0.8333,"(l3,l5,tr3,k2)",p1,41,97,0.6333,0.6667,0.6667,0.7667,0.0,0.0333,0.1333,0.3,0.6333,0.6667,0.6667,0.8,0.0,0.0333,0.2,0.3333,0.6333,0.7,0.7667,0.8667,0.0,0.0333,0.1333,0.2333,False,600.66,[],23013,18935,4078,False,600.11,[],1.45,302815,0.4333,0.107,75379,0.8667,0.8667,52,76,290815,18964,0.6,0.6333,0.7,0.7,0.0,0.0,0.0333,0.1333,0.6333,0.7,0.7,0.7,0.0,0.0,0.2,0.2667,0.6,0.6,0.6,0.6,0.0,0.0333,0.2667,0.3333,OK
layered_xlarge_seed2,layered,xlarge,2,0,3,off_off,0,0,17753,1,0.6,"(l1,l8,tr1)",0.7667,"(l1,l8,tr1,k3)",0.7667,"(l1,l8,tr1,k3)",p6,25,84,0.6,0.6,0.7333,0.7667,0.0,0.0,0.0,0.1333,0.7333,0.7333,0.7333,0.8333,0.0,0.0,0.0667,0.1667,0.6,0.6,0.7667,0.8,0.0,0.0,0.1333,0.1667,False,600.302,[],17753,15475,2278,False,600.012,[],0.706,180983,0.4667,0.09,91,0.7667,0.7667,34,82,180983,16087,0.5333,0.5333,0.5333,0.5667,0.0,0.0,0.0667,0.1,0.5667,0.5667,0.5667,0.5667,0.0,0.0,0.0,0.2,0.6,0.6,0.6,0.6,0.0,0.0,0.1333,0.2,OK
layered_xlarge_seed2,layered,xlarge,2,0,3,hetero,1,0,17753,1,0.6,"(l1,l8,tr1)",0.8333,"(l9,l13,tr2,k1)",0.8333,"(l9,l13,tr2,k1)",p1,0,82,0.6,0.7333,0.8333,0.8333,0.0,0.0,0.0667,0.1333,0.7333,0.7667,0.7667,0.8333,0.0,0.0333,0.1667,0.3,0.7333,0.8,0.8333,0.8333,0.0,0.0,0.1,0.2333,False,600.302,[],17753,15475,2278,False,600.015,[],0.706,180983,0.4667,0.044,34,0.7667,0.7667,34,82,180983,16087,0.5333,0.5333,0.5333,0.5667,0.0,0.0,0.0667,0.1,0.5667,0.5667,0.5667,0.5667,0.0,0.0,0.0,0.2,0.6,0.6,0.6,0.6,0.0,0.0,0.1333,0.2,OK
