instance_name,instance_type,instance_size,seed,weight,exposure_n,s2_config,hetero_on,concentrated_on,nominal_cost,exposure_count,r_tr,worst_arc,r_1,worst_trip,k_1,kit_bottleneck_trip,kit_bottleneck_part,mono_count,concentrated_count,r_heaviest_single_0.2,r_heaviest_single_0.4,r_heaviest_single_0.6,r_heaviest_single_0.8,r_heaviest_global_0.2,r_heaviest_global_0.4,r_heaviest_global_0.6,r_heaviest_global_0.8,r_first_single_0.2,r_first_single_0.4,r_first_single_0.6,r_first_single_0.8,r_first_global_0.2,r_first_global_0.4,r_first_global_0.6,r_first_global_0.8,r_last_single_0.2,r_last_single_0.4,r_last_single_0.6,r_last_single_0.8,r_last_global_0.2,r_last_global_0.4,r_last_global_0.6,r_last_global_0.8,s1_optimal,s1_time,s1_trajectory,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s2_optimal,s2_time,s2_trajectory,first_s1_time,first_s1_cost,first_r_tr,first_s2_time,first_s2_cost,first_r_1,first_k_1,first_mono_count,first_concentrated_count,first_s1_dispatch_cost,first_s2_dispatch_cost,first_r_heaviest_single_0.2,first_r_heaviest_single_0.4,first_r_heaviest_single_0.6,first_r_heaviest_single_0.8,first_r_heaviest_global_0.2,first_r_heaviest_global_0.4,first_r_heaviest_global_0.6,first_r_heaviest_global_0.8,first_r_first_single_0.2,first_r_first_single_0.4,first_r_first_single_0.6,first_r_first_single_0.8,first_r_first_global_0.2,first_r_first_global_0.4,first_r_first_global_0.6,first_r_first_global_0.8,first_r_last_single_0.2,first_r_last_single_0.4,first_r_last_single_0.6,first_r_last_single_0.8,first_r_last_global_0.2,first_r_last_global_0.4,first_r_last_global_0.6,first_r_last_global_0.8,status
layered_xlarge_seed1,layered,xlarge,1,0,3,off_off,0,0,23029,0,0.6667,"(l2,l5,tr1)",0.7667,"(l3,l15,tr3,k1)",0.7667,"(l3,l15,tr3,k1)",p1,21,75,0.6667,0.6667,0.6667,0.7,0.0,0.0,0.0,0.2,0.6667,0.6667,0.7333,0.7667,0.0,0.0,0.1333,0.2667,0.6667,0.7667,0.7667,0.7667,0.0,0.0667,0.1667,0.2667,False,622.509,[],23029,17590,5439,False,600.027,[],0.717,290815,0.4333,0.058,98,0.9667,0.9667,37,67,290815,18843,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.1667,0.6,0.6,0.6,0.6,0.0,0.0,0.0333,0.2333,0.6,0.6,0.6,0.6,0.0,0.0667,0.2,0.3667,OK
layered_xlarge_seed1,layered,xlarge,1,0,3,hetero,1,0,23029,0,0.6667,"(l2,l5,tr1)",0.8,"(l1,l9,tr3,k4)",0.8,"(l1,l9,tr3,k4)",p1,0,78,0.6667,0.7,0.7,0.7667,0.0,0.0667,0.1,0.1667,0.6667,0.7,0.7667,0.8,0.0,0.0333,0.1667,0.2667,0.6667,0.7667,0.7667,0.8667,0.0,0.0667,0.1667,0.3333,False,622.509,[],23029,17590,5439,False,600.016,[],0.717,290815,0.4333,0.111,37,0.9667,0.9667,37,67,290815,18843,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.1667,0.6,0.6,0.6,0.6,0.0,0.0,0.0333,0.2333,0.6,0.6,0.6,0.6,0.0,0.0667,0.2,0.3667,OK
layered_xlarge_seed1,layered,xlarge,1,0,3,conc,0,1,23029,0,0.6667,"(l2,l5,tr1)",0.7667,"(l1,l9,tr3,k4)",0.7667,"(l1,l9,tr3,k4)",p1,37,71,0.6667,0.6667,0.6667,0.7,0.0,0.0333,0.0333,0.1,0.6667,0.6667,0.7333,0.7667,0.0,0.0,0.0667,0.1,0.6667,0.7667,0.7667,0.8,0.0,0.1,0.1667,0.3333,False,622.509,[],23029,21073,1956,False,600.019,[],0.717,290815,0.4333,0.109,67606,0.9667,0.9667,37,67,290815,18843,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.1667,0.6,0.6,0.6,0.6,0.0,0.0,0.0333,0.2333,0.6,0.6,0.6,0.6,0.0,0.0667,0.2,0.3667,OK
layered_xlarge_seed1,layered,xlarge,1,0,3,both,1,1,23029,0,0.6667,"(l2,l5,tr1)",0.7667,"(l3,l15,tr3,k1)",0.7667,"(l3,l15,tr3,k1)",p1,27,76,0.6667,0.6667,0.6667,0.7,0.0,0.0,0.0333,0.1333,0.6667,0.6667,0.7333,0.7667,0.0,0.0,0.0667,0.3,0.6667,0.7667,0.7667,0.7667,0.0,0.0667,0.2333,0.2667,False,622.509,[],23029,20926,2103,False,600.118,[],0.717,290815,0.4333,0.105,67643,0.9667,0.9667,37,67,290815,18843,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.1667,0.6,0.6,0.6,0.6,0.0,0.0,0.0333,0.2333,0.6,0.6,0.6,0.6,0.0,0.0667,0.2,0.3667,OK
layered_xlarge_seed1,layered,xlarge,1,1000,3,off_off,0,0,25013,2,0.6,"(l1,l7,tr3)",0.8333,"(l8,l10,tr3,k1)",0.8333,"(l8,l10,tr3,k1)",p4,30,82,0.6,0.6667,0.6667,0.8333,0.0,0.0,0.1333,0.2667,0.6,0.6667,0.6667,0.8333,0.0,0.0333,0.2333,0.3333,0.6,0.6,0.7333,0.8333,0.0,0.0333,0.2333,0.3,False,702.156,[],23013,17637,5376,False,600.408,[],1.784,302815,0.4333,0.338,111,0.8667,0.8667,52,76,290815,18964,0.6,0.6333,0.7,0.7,0.0,0.0,0.0333,0.1333,0.6333,0.7,0.7,0.7,0.0,0.0,0.2,0.2667,0.6,0.6,0.6,0.6,0.0,0.0333,0.2667,0.3333,OK
layered_xlarge_seed1,layered,xlarge,1,1000,3,hetero,1,0,25013,2,0.6,"(l1,l7,tr3)",0.8,"(l3,l5,tr3,k3)",0.8,"(l3,l5,tr3,k3)",p1,5,95,0.6,0.7,0.7333,0.8,0.0,0.0,0.1667,0.2333,0.6,0.6333,0.7333,0.8667,0.0,0.0,0.2,0.3,0.6,0.7333,0.7333,0.8333,0.0,0.0667,0.2333,0.3333,False,702.156,[],23013,17637,5376,False,600.028,[],1.784,302815,0.4333,0.128,52,0.8667,0.8667,52,76,290815,18964,0.6,0.6333,0.7,0.7,0.0,0.0,0.0333,0.1333,0.6333,0.7,0.7,0.7,0.0,0.0,0.2,0.2667,0.6,0.6,0.6,0.6,0.0,0.0333,0.2667,0.3333,OK
layered_xlarge_seed1,layered,xlarge,1,1000,3,conc,0,1,25013,2,0.6,"(l1,l7,tr3)",0.8333,"(l1,l7,tr3,k3)",0.8333,"(l1,l7,tr3,k3)",p4,42,91,0.6333,0.6667,0.6667,0.7667,0.0,0.0333,0.0333,0.1333,0.6333,0.6667,0.6667,0.8,0.0,0.0333,0.1,0.3,0.6333,0.7,0.7667,0.8333,0.0,0.0333,0.1333,0.2333,False,702.156,[],23013,18670,4343,False,613.857,[],1.784,302815,0.4333,0.141,75327,0.8667,0.8667,52,76,290815,18964,0.6,0.6333,0.7,0.7,0.0,0.0,0.0333,0.1333,0.6333,0.7,0.7,0.7,0.0,0.0,0.2,0.2667,0.6,0.6,0.6,0.6,0.0,0.0333,0.2667,0.3333,OK
layered_xlarge_seed1,layered,xlarge,1,1000,3,both,1,1,25013,2,0.6,"(l1,l7,tr3)",0.8333,"(l3,l5,tr3,k2)",0.8333,"(l3,l5,tr3,k2)",p1,41,97,0.6333,0.6667,0.6667,0.7667,0.0,0.0333,0.1333,0.3,0.6333,0.6667,0.6667,0.8,0.0,0.0333,0.2,0.3333,0.6333,0.7,0.7667,0.8667,0.0,0.0333,0.1333,0.2333,False,702.156,[],23013,18935,4078,False,602.68,[],1.784,302815,0.4333,0.136,75379,0.8667,0.8667,52,76,290815,18964,0.6,0.6333,0.7,0.7,0.0,0.0,0.0333,0.1333,0.6333,0.7,0.7,0.7,0.0,0.0,0.2,0.2667,0.6,0.6,0.6,0.6,0.0,0.0333,0.2667,0.3333,OK
layered_xlarge_seed1,layered,xlarge,1,2000,3,off_off,0,0,38605,3,0.6333,"(l2,l5,tr1)",0.7667,"(l5,l15,tr3,k10)",0.7667,"(l5,l15,tr3,k10)",p6,22,87,0.7,0.7333,0.7667,0.7667,0.0,0.0,0.0667,0.1667,0.6333,0.7,0.7667,0.7667,0.0,0.0,0.1,0.1667,0.7,0.7333,0.8333,0.8667,0.0,0.0333,0.1667,0.3,False,600.961,[],32605,23835,8770,False,600.062,[],1.217,314815,0.4333,0.116,115,0.8333,0.8333,45,85,290815,25763,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.1333,0.6,0.6,0.6,0.6,0.0,0.0333,0.0333,0.1,0.6,0.6,0.6,0.6,0.0,0.0,0.0667,0.3333,OK
layered_xlarge_seed1,layered,xlarge,1,2000,3,hetero,1,0,38605,3,0.6333,"(l2,l5,tr1)",0.8,"(l5,l15,tr3,k10)",0.8,"(l5,l15,tr3,k10)",p6,2,100,0.6333,0.7333,0.8,0.8,0.0,0.0333,0.1667,0.1667,0.7,0.7,0.7667,0.8,0.0,0.0333,0.0667,0.2333,0.6333,0.7333,0.8333,0.8667,0.0,0.0,0.1667,0.3,False,600.961,[],32605,23835,8770,False,600.1,[],1.217,314815,0.4333,0.064,45,0.8333,0.8333,45,85,290815,25763,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.1333,0.6,0.6,0.6,0.6,0.0,0.0333,0.0333,0.1,0.6,0.6,0.6,0.6,0.0,0.0,0.0667,0.3333,OK
