instance,config,strategy,r_alpha_0.2,nri_alpha_0.2,cvar_alpha_0.2,r_alpha_0.4,nri_alpha_0.4,cvar_alpha_0.4,r_alpha_0.6,nri_alpha_0.6,cvar_alpha_0.6,r_alpha_0.8,nri_alpha_0.8,cvar_alpha_0.8
layered_medium_seed1,baseline,heaviest,0.3,0.8222,0.4667,0.4,0.8556,0.6,0.6,0.9028,0.7333,0.6,0.9403,0.8667
layered_medium_seed1,baseline,first,0.3,0.8347,0.5222,0.3,0.8653,0.6,0.3,0.9111,0.7333,0.6,0.9403,0.8667
layered_medium_seed1,baseline,last,0.4667,0.8347,0.5222,0.5667,0.8722,0.6556,0.6,0.9125,0.7889,0.6,0.9431,0.8667
layered_medium_seed1,hetero_w8,heaviest,0.3333,0.8264,0.5,0.4667,0.8583,0.6111,0.5333,0.8958,0.7333,0.7,0.9403,0.8667
layered_medium_seed1,hetero_w8,first,0.4,0.8292,0.5111,0.5,0.8653,0.6444,0.6333,0.9111,0.7778,0.8333,0.9542,0.8889
layered_medium_seed1,hetero_w8,last,0.3667,0.8319,0.5111,0.5667,0.8694,0.6333,0.6,0.9139,0.7445,0.8333,0.9514,0.8778
layered_medium_seed1,conc_w8,heaviest,0.3667,0.8292,0.5111,0.4333,0.8583,0.5778,0.5333,0.8986,0.6889,0.6,0.9361,0.8
layered_medium_seed1,conc_w8,first,0.3667,0.832,0.5222,0.4333,0.8653,0.6222,0.5333,0.9125,0.7667,0.6,0.9431,0.8333
layered_medium_seed1,conc_w8,last,0.4667,0.8361,0.5555,0.5667,0.8708,0.6444,0.7333,0.9181,0.8,0.8667,0.9542,0.9
layered_medium_seed1,full_w8_8,heaviest,0.3667,0.832,0.5111,0.4333,0.8583,0.5778,0.5333,0.8972,0.6778,0.6667,0.9361,0.8
layered_medium_seed1,full_w8_8,first,0.4667,0.8472,0.5556,0.5333,0.8722,0.6111,0.6667,0.9097,0.7445,0.8,0.9431,0.8333
layered_medium_seed1,full_w8_8,last,0.4333,0.8486,0.5889,0.5,0.8833,0.6778,0.7333,0.9194,0.8,0.8,0.9444,0.8667
