instance,flow_solver,lambda_net,lambda_flow,weight_normalizer,w_net,w_flow,config,w_hetero,w_conc,flow_optimum,flow_cost,n_arcs,total_trips,n_single_trip_arcs,s1_time,s2_time,s1_first_cost,s1_first_time,s1_best_cost,s1_best_time,s1_n_improve,s2_optimal,mono_count,concentrated_count,r_tr,r_alpha_single_0.2,r_alpha_single_0.4,r_alpha_single_0.6,r_alpha_single_0.8,r_alpha_global_0.2,r_alpha_global_0.4,r_alpha_global_0.6,r_alpha_global_0.8,cov_mean,cov_median,cov_cvar10,cov_frac_zero,cov_dw_mean,cov_mean_addr,cov_cvar10_addr,nri,nri_worst,nri_addr,nri_alpha_single_0.2,nri_alpha_single_0.4,nri_alpha_single_0.6,nri_alpha_single_0.8,nri_alpha_global_0.2,nri_alpha_global_0.4,nri_alpha_global_0.6,nri_alpha_global_0.8,cvar_alpha_single_0.2,cvar_alpha_single_0.4,cvar_alpha_single_0.6,cvar_alpha_single_0.8,cvar_alpha_global_0.2,cvar_alpha_global_0.4,cvar_alpha_global_0.6,cvar_alpha_global_0.8,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_trajectory
industry_test_1,milp,0.0,0.0,29871.78,0,0,baseline,0,0,False,3166409,35,106,17,600.697,100.083,3166409,600.697,3166409,600.697,0,False,10,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9802,1.0,0.8022,0.0046,0.9819,0.9833,0.8331,0.9819,0.8912,0.9832,0.957,0.9592,0.9661,0.9702,0.0133,0.063,0.2049,0.2865,0.8357,0.8432,0.8772,0.8914,0.0,0.0,0.0021,0.0038,3166409,2767853,398556,[]
industry_test_1,milp,0.0,0.0,29871.78,0,0,hetero_w8,8,0,False,3166409,35,106,17,600.697,100.03,3166409,600.697,3166409,600.697,0,False,0,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9804,1.0,0.8044,0.0042,0.9821,0.9835,0.8355,0.9821,0.8912,0.9835,0.9569,0.9594,0.9672,0.9716,0.0093,0.0584,0.2294,0.3276,0.8354,0.8432,0.8856,0.9027,0.0,0.0,0.0082,0.0135,3166409,2769429,396980,[]
industry_test_1,milp,0.0,0.0,29871.78,0,0,conc_w8,0,8,False,3166409,35,106,17,600.697,100.202,3166409,600.697,3166409,600.697,0,False,4,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9837,1.0,0.8384,0.0025,0.9851,0.9868,0.8708,0.9851,0.9164,0.9868,0.9576,0.9615,0.9675,0.973,0.0245,0.1061,0.2076,0.3395,0.8379,0.8549,0.8785,0.9027,0.0,0.0031,0.0126,0.0142,3166409,2830857,335552,[]
industry_test_1,milp,0.0,0.0,29871.78,0,0,full_w8_8,8,8,False,3166409,35,106,17,600.697,100.018,3166409,600.697,3166409,600.697,0,False,0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9838,1.0,0.8398,0.0025,0.9852,0.987,0.8721,0.9852,0.8959,0.9869,0.9575,0.9615,0.9676,0.9735,0.0219,0.0981,0.2115,0.3462,0.8367,0.8528,0.8798,0.9055,0.0,0.0,0.0206,0.0626,3166409,3104737,61672,[]
industry_test_1,milp,0.0,4.0,29871.78,0,119487,baseline,0,0,False,3592076,32,113,2,600.412,100.024,3592076,600.412,3592076,600.412,0,False,14,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9792,1.0,0.7919,0.0036,0.9809,0.9795,0.7956,0.9809,0.9085,0.9808,0.9526,0.9558,0.9611,0.9693,0.0099,0.0895,0.1638,0.3714,0.8296,0.8455,0.8631,0.9145,0.0,0.0,0.0015,0.027,3353102,2325079,1028023,[]
industry_test_1,milp,0.0,4.0,29871.78,0,119487,hetero_w8,8,0,False,3592076,32,113,2,600.412,100.019,3592076,600.412,3592076,600.412,0,False,0,138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9809,1.0,0.8089,0.003,0.9824,0.9812,0.8126,0.9824,0.872,0.9824,0.9531,0.9554,0.9613,0.9686,0.0232,0.0657,0.1366,0.3243,0.8324,0.8392,0.8546,0.8969,0.0,0.0,0.0,0.0028,3353102,2401283,951819,[]
industry_test_1,milp,0.0,4.0,29871.78,0,119487,conc_w8,0,8,False,3592076,32,113,2,600.412,100.022,3592076,600.412,3592076,600.412,0,False,5,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9847,1.0,0.848,0.0009,0.986,0.9851,0.8518,0.986,0.9198,0.986,0.9531,0.957,0.9689,0.9752,0.0179,0.0889,0.2818,0.4244,0.8307,0.8476,0.8715,0.9062,0.0,0.0,0.08,0.1453,3353102,2860678,492424,[]
industry_test_1,milp,0.0,4.0,29871.78,0,119487,full_w8_8,8,8,False,3592076,32,113,2,600.412,100.021,3592076,600.412,3592076,600.412,0,False,0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985,1.0,0.8514,0.0009,0.9862,0.9854,0.8548,0.9862,0.9377,0.9863,0.9536,0.9581,0.9697,0.977,0.0365,0.1406,0.3263,0.4934,0.8359,0.8589,0.8838,0.9251,0.0,0.0098,0.1019,0.2724,3353102,3105550,247552,[]
industry_test_1,milp,0.0,8.0,29871.78,0,238974,baseline,0,0,False,4663898,37,121,5,602.938,100.022,4663898,602.938,4663898,602.938,0,False,14,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9798,1.0,0.7983,0.0053,0.9817,0.9796,0.7962,0.9817,0.9131,0.9812,0.9585,0.9605,0.9681,0.9724,0.0106,0.0603,0.2294,0.3349,0.8395,0.8473,0.8896,0.911,0.0,0.0,0.0062,0.0151,3469028,2801389,667639,[]
industry_test_1,milp,0.0,8.0,29871.78,0,238974,hetero_w8,8,0,False,4663898,37,121,5,602.938,100.021,4663898,602.938,4663898,602.938,0,False,0,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807,1.0,0.8071,0.0047,0.9826,0.9806,0.8064,0.9826,0.8979,0.9821,0.9587,0.9604,0.9678,0.9718,0.0179,0.0617,0.1963,0.3004,0.8402,0.8463,0.882,0.9014,0.0,0.0,0.0074,0.0157,3469028,2820477,648551,[]
