instance,flow_solver,lambda_net,lambda_flow,weight_normalizer,w_net,w_flow,config,w_hetero,w_conc,flow_optimum,flow_cost,n_arcs,total_trips,n_single_trip_arcs,s1_time,s2_time,s1_first_cost,s1_first_time,s1_best_cost,s1_best_time,s1_n_improve,s2_optimal,mono_count,concentrated_count,r_tr,r_alpha_single_0.2,r_alpha_single_0.4,r_alpha_single_0.6,r_alpha_single_0.8,r_alpha_global_0.2,r_alpha_global_0.4,r_alpha_global_0.6,r_alpha_global_0.8,cov_mean,cov_median,cov_cvar10,cov_frac_zero,cov_dw_mean,cov_mean_addr,cov_cvar10_addr,nri,nri_worst,nri_addr,nri_alpha_single_0.2,nri_alpha_single_0.4,nri_alpha_single_0.6,nri_alpha_single_0.8,nri_alpha_global_0.2,nri_alpha_global_0.4,nri_alpha_global_0.6,nri_alpha_global_0.8,cvar_alpha_single_0.2,cvar_alpha_single_0.4,cvar_alpha_single_0.6,cvar_alpha_single_0.8,cvar_alpha_global_0.2,cvar_alpha_global_0.4,cvar_alpha_global_0.6,cvar_alpha_global_0.8,s1_dispatch_cost,s2_dispatch_cost,cost_saving,s1_trajectory
layered_medium_seed1,milp,0.0,0.0,148.53,0,0,baseline,0,0,True,5644,8,38,3,0.339,30.011,5644,0.339,5644,0.339,0,False,15,28,0.3,0.3,0.4,0.6,0.6,0.0,0.0,0.2667,0.4,0.9498,1.0,0.8,0.0,0.9498,0.947,0.8,0.9498,0.9333,0.947,0.8222,0.8556,0.9028,0.9403,0.0111,0.1555,0.4333,0.6111,0.4667,0.6,0.7333,0.8667,0.0,0.0,0.2667,0.4,5644,4448,1196,[]
layered_medium_seed1,milp,0.0,0.0,148.53,0,0,hetero_w8,8,0,True,5644,8,38,3,0.339,30.01,5644,0.339,5644,0.339,0,False,0,37,0.3,0.3333,0.4667,0.5333,0.7,0.0333,0.1667,0.3,0.6,0.9531,0.9667,0.8667,0.0,0.9531,0.9508,0.863,0.9531,0.9333,0.9508,0.8264,0.8583,0.8958,0.9403,0.0444,0.2333,0.4111,0.6333,0.5,0.6111,0.7333,0.8667,0.0333,0.1667,0.3,0.6,5644,4960,684,[]
layered_medium_seed1,milp,0.0,0.0,148.53,0,0,conc_w8,0,8,True,5644,8,38,3,0.339,30.01,5644,0.339,5644,0.339,0,False,4,16,0.3,0.3667,0.4333,0.5333,0.6,0.0333,0.1333,0.2667,0.3333,0.9572,0.9667,0.8636,0.0,0.9572,0.9556,0.86,0.9572,0.9333,0.9556,0.8292,0.8583,0.8986,0.9361,0.0556,0.1889,0.4,0.5778,0.5111,0.5778,0.6889,0.8,0.0333,0.1333,0.2667,0.3333,5644,5152,492,[]
layered_medium_seed1,milp,0.0,0.0,148.53,0,0,full_w8_8,8,8,True,5644,8,38,3,0.339,30.01,5644,0.339,5644,0.339,0,False,2,15,0.3,0.3667,0.4333,0.5333,0.6667,0.0333,0.1667,0.3333,0.4667,0.9584,0.9667,0.8697,0.0,0.9584,0.957,0.8667,0.9584,0.9333,0.957,0.832,0.8583,0.8972,0.9361,0.0667,0.1889,0.4,0.5889,0.5111,0.5778,0.6778,0.8,0.0333,0.1667,0.3333,0.4667,5644,5344,300,[]
layered_medium_seed2,milp,0.0,0.0,116.72,0,0,baseline,0,0,True,3735,9,32,3,0.169,0.975,3735,0.169,3735,0.169,0,True,6,33,0.5,0.5333,0.6,0.6333,0.7667,0.0333,0.1333,0.3,0.3667,0.9479,0.9667,0.8167,0.0,0.9479,0.9459,0.8095,0.9479,0.9,0.9459,0.858,0.8765,0.9086,0.9346,0.0444,0.1667,0.3667,0.5556,0.7111,0.7667,0.8333,0.8889,0.0333,0.1333,0.3,0.3667,3735,3165,570,[]
layered_medium_seed2,milp,0.0,0.0,116.72,0,0,hetero_w8,8,0,True,3735,9,32,3,0.169,0.48,3735,0.169,3735,0.169,0,True,0,37,0.5,0.5667,0.6333,0.7333,0.7667,0.0333,0.1667,0.3,0.4,0.9479,0.9667,0.8417,0.0,0.9479,0.9459,0.8381,0.9479,0.9,0.9459,0.8593,0.879,0.9123,0.937,0.0444,0.1778,0.4,0.5667,0.7111,0.7667,0.8333,0.8889,0.0333,0.1667,0.3,0.4,3735,3165,570,[]
layered_medium_seed2,milp,0.0,0.0,116.72,0,0,conc_w8,0,8,True,3735,9,32,3,0.169,30.009,3735,0.169,3735,0.169,0,False,8,19,0.5,0.5333,0.6,0.6667,0.7333,0.0,0.1,0.2667,0.3333,0.9533,0.9667,0.8296,0.0,0.9533,0.9521,0.825,0.9533,0.9111,0.9521,0.8531,0.8716,0.9012,0.9284,0.0111,0.1222,0.3,0.4667,0.7111,0.7778,0.8,0.8667,0.0,0.1,0.2667,0.3333,3735,3390,345,[]
layered_medium_seed2,milp,0.0,0.0,116.72,0,0,full_w8_8,8,8,True,3735,9,32,3,0.169,30.01,3735,0.169,3735,0.169,0,False,2,23,0.5,0.5333,0.6,0.6333,0.7667,0.0,0.1,0.2333,0.4333,0.9516,0.9667,0.8333,0.0,0.9516,0.9502,0.8292,0.9516,0.9,0.9502,0.8555,0.8741,0.9037,0.9358,0.0333,0.1333,0.3333,0.5222,0.7111,0.7667,0.8,0.8889,0.0,0.1,0.2333,0.4333,3735,3345,390,[]
layered_medium_seed3,milp,0.0,0.0,179.06,0,0,baseline,0,0,True,9132,9,51,0,0.296,30.007,9132,0.296,9132,0.296,0,False,24,51,0.2,0.2,0.4667,0.6,0.7333,0.0,0.1333,0.4,0.5667,0.9561,1.0,0.8333,0.0,0.9561,0.9561,0.8333,0.9561,0.9444,0.9561,0.8148,0.858,0.8901,0.9395,0.0222,0.2333,0.4,0.6111,0.5555,0.6666,0.7778,0.8889,0.0,0.1333,0.4,0.5667,9132,7952,1180,[]
layered_medium_seed3,milp,0.0,0.0,179.06,0,0,hetero_w8,8,0,True,9132,9,51,0,0.296,30.011,9132,0.296,9132,0.296,0,False,6,58,0.2,0.3667,0.5333,0.6667,0.7667,0.0333,0.2333,0.3,0.5667,0.955,0.9667,0.8487,0.0,0.955,0.955,0.8487,0.955,0.9444,0.955,0.8173,0.8593,0.8938,0.9445,0.0667,0.2667,0.4111,0.6778,0.5556,0.6667,0.7778,0.8889,0.0333,0.2333,0.3,0.5667,9132,7480,1652,[]
