axis,config,n_parts,units_per_part,capacity,part_size,total_volume,freq,min_freq,hetero_on,concentrated_on,time_limit,threads,configuration,status,wall_time,peak_mb,ground_time,solve_time,total_time,atoms,choices,conflicts,restarts,optimum,cost,n_solutions,first_solution_time,best_solution_time,trips_used,mono_count,concentrated_count,returncode,note
parts,baseline,2,20,5,1,40,8,8,0,0,30,1,,ok,0.151,39.7,0.001,0.148,0.149,235,8528,7627,38,True,8,1,0.002,0.002,8,2,8,0,
parts,full,2,20,5,1,40,8,8,1,1,30,1,,ok,0.819,41.5,0.001,0.817,0.818,235,72861,66852,220,True,8,3,0.002,0.002,8,0,8,0,
parts,baseline,4,20,10,1,80,8,8,0,0,30,1,,ok,30.008,52.6,0.001,30.005,30.006,391,3204360,2906759,5628,False,8,1,0.002,0.002,8,8,8,0,
parts,full,4,20,10,1,80,8,8,1,1,30,1,,ok,30.009,61.9,0.001,30.005,30.007,391,1317881,1173979,2556,False,8,8,0.002,0.685,8,0,8,0,
parts,baseline,8,20,20,1,160,8,8,0,0,30,1,,ok,30.01,64.9,0.002,30.007,30.009,703,2819619,2124810,4093,False,8,1,0.01,0.01,8,0,26,0,
parts,full,8,20,20,1,160,8,8,1,1,30,1,,ok,30.012,71.3,0.002,30.009,30.011,703,2798905,2444179,4511,False,10,17,0.01,14.38,8,0,10,0,
parts,baseline,16,20,40,1,320,8,8,0,0,30,1,,ok,30.013,86.0,0.002,30.009,30.012,1327,2354734,1449884,2811,False,8,1,0.015,0.015,8,0,37,0,
parts,full,16,20,40,1,320,8,8,1,1,30,1,,ok,30.012,53.5,0.003,30.006,30.009,1327,5799696,3320662,6743,False,16,18,0.026,6.739,8,0,16,0,
parts,baseline,32,20,80,1,640,8,8,0,0,30,1,,ok,30.016,147.6,0.004,30.008,30.012,2575,2194828,959747,2045,False,8,1,0.023,0.023,8,0,65,0,
parts,full,32,20,80,1,640,8,8,1,1,30,1,,ok,30.013,96.2,0.004,30.006,30.01,2575,5204497,2938062,6141,False,33,33,0.024,6.659,8,0,33,0,
parts,baseline,64,20,160,1,1280,8,8,0,0,30,1,,ok,30.026,260.7,0.009,30.014,30.023,5071,1488360,329024,764,False,8,1,0.072,0.072,8,0,133,0,
parts,full,64,20,160,1,1280,8,8,1,1,30,1,,ok,30.018,111.1,0.009,30.006,30.015,5071,4156246,2065263,4247,False,65,69,0.072,24.192,8,0,65,0,
trips,baseline,4,10,10,1,40,4,4,0,0,30,1,,ok,0.011,37.2,0.001,0.008,0.009,211,955,892,7,True,4,1,0.002,0.002,4,4,4,0,
trips,full,4,10,10,1,40,4,4,1,1,30,1,,ok,0.007,37.3,0.001,0.005,0.006,211,649,542,5,True,4,4,0.002,0.003,4,0,4,0,
trips,baseline,4,20,10,1,80,8,8,0,0,30,1,,ok,30.008,52.5,0.001,30.005,30.006,391,3169203,2873589,5626,False,8,1,0.002,0.002,8,8,8,0,
trips,full,4,20,10,1,80,8,8,1,1,30,1,,ok,30.009,61.9,0.001,30.005,30.007,391,1306600,1163799,2554,False,8,8,0.003,0.696,8,0,8,0,
trips,baseline,4,40,10,1,160,16,16,0,0,30,1,,ok,30.009,87.0,0.002,30.005,30.007,751,1337217,1085793,2556,False,16,1,0.004,0.004,16,13,16,0,
trips,full,4,40,10,1,160,16,16,1,1,30,1,,ok,30.006,73.0,0.002,30.002,30.004,751,1579634,1430489,3324,False,20,6,0.004,1.193,16,0,20,0,
trips,baseline,4,80,10,1,320,32,32,0,0,30,1,,ok,30.01,169.0,0.003,30.005,30.008,1471,899463,515414,1190,False,32,1,0.006,0.006,32,32,32,0,
trips,full,4,80,10,1,320,32,32,1,1,30,1,,ok,30.011,149.4,0.003,30.005,30.008,1471,1107243,652919,1532,False,32,13,0.006,10.129,32,0,32,0,
trips,baseline,4,160,10,1,640,64,64,0,0,30,1,,ok,30.014,300.9,0.004,30.005,30.01,2911,117625,70573,253,False,64,1,0.016,0.016,64,0,83,0,
trips,full,4,160,10,1,640,64,64,1,1,30,1,,ok,30.334,293.5,0.004,30.32,30.325,2911,109204,62042,247,False,79,5,0.016,0.08,64,0,79,0,
trips,baseline,4,320,10,1,1280,128,128,0,0,30,1,,ok,30.026,500.3,0.008,30.0,30.009,5791,79236,40794,133,False,128,1,0.022,0.022,128,128,128,0,
trips,full,4,320,10,1,1280,128,128,1,1,30,1,,ok,30.61,824.8,0.008,30.594,30.602,5791,95980,43121,159,False,198,30,0.022,1.247,128,66,132,0,
trips,baseline,4,640,10,1,2560,256,256,0,0,30,1,,ok,33.64,877.7,0.018,33.594,33.612,11551,41924,13506,62,False,256,1,0.047,0.047,256,256,256,0,
trips,full,4,640,10,1,2560,256,256,1,1,30,1,,ok,35.067,1184.6,0.018,35.017,35.035,11551,50271,13658,61,False,443,10,0.047,0.242,256,177,266,0,
load,baseline,4,10,5,1,40,8,8,0,0,30,1,,ok,30.013,47.2,0.001,30.01,30.012,391,3624903,3391576,7162,False,8,1,0.002,0.002,8,8,8,0,
load,full,4,10,5,1,40,8,8,1,1,30,1,,ok,30.013,52.6,0.001,30.01,30.012,391,2511892,2225672,4165,False,8,8,0.002,0.126,8,0,8,0,
