solver,encoding_family,backend,instance,instance_size,seed,n_locations,n_parts,n_routes,n_transports,density,capacity_tightness,num_bins,time_limit,run,status,wall_time,total_time,ground_time,solve_time,cost,optimum,satisfiable,choices,conflicts,restarts,atoms,s1_time,s2_time,s1_atoms,s2_atoms,s1_cost,s2_cost,s1_optimum,s2_optimum
naive_oneshot,one-shot,naive,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,3,600,1,OK,600.514,600.426,0.402,600.024,12142,False,True,8186128,2601448,4604,611792,,,,,,,,
naive_oneshot,one-shot,naive,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,3,600,2,OK,600.739,600.456,0.423,600.033,12142,False,True,6902653,2154536,4093,611792,,,,,,,,
naive_oneshot,one-shot,naive,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,3,600,3,OK,601.175,600.918,0.882,600.035,12142,False,True,6746552,2084603,4093,611792,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,3,600,1,OK,3.044,3.028,0.015,3.012,12142,True,True,122048,77432,1081,2883,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,3,600,2,OK,2.732,2.729,0.007,2.722,12142,True,True,122048,77432,1081,2883,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,3,600,3,OK,2.704,2.701,0.006,2.695,12142,True,True,122048,77432,1081,2883,,,,,,,,
naive_twostage,two-stage,naive,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,,600,1,OK,546.554,546.527,0.02,546.507,4002,True,True,42229776,20936300,34811,5200,541.612,4.915,3368,1832,4002,26,True,True
naive_twostage,two-stage,naive,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,,600,2,OK,528.076,528.052,0.018,528.034,4002,True,True,42229776,20936300,34811,5200,522.875,5.177,3368,1832,4002,26,True,True
naive_twostage,two-stage,naive,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,,600,3,OK,548.232,548.213,0.018,548.196,4002,True,True,42229776,20936300,34811,5200,543.101,5.112,3368,1832,4002,26,True,True
clingcon_twostage,two-stage,clingcon,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,,600,1,OK,471.494,471.444,0.007,471.437,4002,True,True,57556882,54732288,92153,2957,13.28,458.164,1887,1070,4002,26,True,True
clingcon_twostage,two-stage,clingcon,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,,600,2,OK,477.112,476.993,0.008,476.985,4002,True,True,57556882,54732288,92153,2957,13.408,463.585,1887,1070,4002,26,True,True
clingcon_twostage,two-stage,clingcon,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,,600,3,OK,456.297,456.234,0.036,456.198,4002,True,True,57556882,54732288,92153,2957,16.969,439.265,1887,1070,4002,26,True,True
naive_oneshot,one-shot,naive,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,3,600,1,OK,601.662,600.771,0.7,600.071,3929,False,True,6113350,1559530,3580,929387,,,,,,,,
naive_oneshot,one-shot,naive,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,3,600,2,OK,601.441,601.106,1.076,600.03,3929,False,True,6699591,1740236,4090,929387,,,,,,,,
naive_oneshot,one-shot,naive,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,3,600,3,OK,601.125,600.778,0.735,600.044,3929,False,True,4712909,1187526,2726,929387,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,3,600,1,OK,4.606,4.59,0.025,4.565,3929,True,True,79468,44949,833,3624,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,3,600,2,OK,4.321,4.316,0.014,4.302,3929,True,True,79468,44949,833,3624,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,3,600,3,OK,4.303,4.298,0.013,4.285,3929,True,True,79468,44949,833,3624,,,,,,,,
naive_twostage,two-stage,naive,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,,600,1,OK,45.317,45.304,0.033,45.271,1707,True,True,2352013,1118240,2793,5253,42.067,3.237,4153,1100,1707,17,True,True
naive_twostage,two-stage,naive,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,,600,2,OK,44.239,44.233,0.032,44.201,1707,True,True,2352013,1118240,2793,5253,40.996,3.237,4153,1100,1707,17,True,True
naive_twostage,two-stage,naive,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,,600,3,OK,43.342,43.335,0.032,43.303,1707,True,True,2352013,1118240,2793,5253,40.111,3.224,4153,1100,1707,17,True,True
clingcon_twostage,two-stage,clingcon,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,,600,1,OK,8.046,8.034,0.009,8.024,1707,True,True,759521,420859,1058,2975,7.911,0.123,2338,637,1707,17,True,True
clingcon_twostage,two-stage,clingcon,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,,600,2,OK,8.043,8.036,0.009,8.027,1707,True,True,759521,420859,1058,2975,7.914,0.122,2338,637,1707,17,True,True
clingcon_twostage,two-stage,clingcon,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,,600,3,OK,7.992,7.984,0.009,7.975,1707,True,True,759521,420859,1058,2975,7.863,0.121,2338,637,1707,17,True,True
naive_oneshot,one-shot,naive,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,3,600,1,OK,600.707,600.594,0.576,600.018,11024,False,True,4173819,1315075,2658,419657,,,,,,,,
naive_oneshot,one-shot,naive,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,3,600,2,OK,600.669,600.577,0.562,600.014,11024,False,True,4643979,1478094,3068,419657,,,,,,,,
naive_oneshot,one-shot,naive,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,3,600,3,OK,600.631,600.57,0.563,600.007,11024,False,True,5041586,1601665,3323,419657,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,3,600,1,OK,11.414,11.403,0.012,11.391,11024,True,True,207822,150143,1697,2619,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,3,600,2,OK,11.287,11.282,0.011,11.271,11024,True,True,207822,150143,1697,2619,,,,,,,,
clingcon_oneshot,one-shot,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,3,600,3,OK,11.572,11.565,0.01,11.555,11024,True,True,207822,150143,1697,2619,,,,,,,,
naive_twostage,two-stage,naive,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,1,OK,1200.115,1200.071,0.04,1200.031,6192,False,True,71554203,50541386,93849,5718,600.043,600.028,3365,2353,6192,39,False,False
naive_twostage,two-stage,naive,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,2,OK,1200.074,1200.056,0.033,1200.023,6192,False,True,71292659,49934593,91762,5718,600.036,600.02,3365,2353,6192,39,False,False
naive_twostage,two-stage,naive,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,3,OK,1200.095,1200.075,0.037,1200.039,6192,False,True,70184152,49515241,92082,5718,600.048,600.027,3365,2353,6192,39,False,False
clingcon_twostage,two-stage,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,1,OK,614.683,614.657,0.012,614.645,5756,False,True,16964155,15503409,26743,3072,14.606,600.051,1838,1234,5756,37,True,False
clingcon_twostage,two-stage,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,2,OK,614.516,614.492,0.013,614.479,5756,False,True,16902563,15447176,26615,3072,14.463,600.029,1838,1234,5756,37,True,False
clingcon_twostage,two-stage,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,3,OK,614.655,614.631,0.011,614.619,5756,False,True,17023132,15556640,26871,3072,14.611,600.02,1838,1234,5756,37,True,False
