solver,encoding_family,backend,instance,instance_size,seed,n_locations,n_parts,n_routes,n_transports,density,capacity_tightness,num_bins,time_limit,num_runs,avg_wall_time,avg_total_time,avg_ground_time,avg_solve_time,cost,optimum,satisfiable,avg_choices,avg_conflicts,avg_restarts,atoms,avg_s1_time,avg_s2_time,s1_atoms,s2_atoms,s1_cost,s2_cost,s1_optimum,s2_optimum
clingcon_oneshot,one-shot,clingcon,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,3,600,3,600.108,600.083,0.017,600.067,250696,False,True,7508354.333,4870611.667,40286.667,8518,,,,,,,,
clingcon_twostage,two-stage,clingcon,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,,600,3,1200.11,1200.079,0.012,1200.067,6584,False,True,118170004.333,80575739.667,124376.0,5483,600.054,600.025,4049,1434,6584,27,False,False
naive_oneshot,one-shot,naive,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,3,600,3,602.796,602.393,2.369,600.024,11494,False,True,3208956.0,643912.0,1509.667,1939880,,,,,,,,
naive_twostage,two-stage,naive,layered_medium_seed1,medium,1,8,3,36,2,0.321,1.867,,600,3,1200.089,1200.069,0.041,1200.028,10714,False,True,91140632.333,65519367.333,109194.0,11236,600.044,600.025,8312,2924,10714,36,False,False
clingcon_oneshot,one-shot,clingcon,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,3,600,3,600.052,600.041,0.03,600.011,176220,False,True,28300318.0,23899284.333,141048.333,12809,,,,,,,,
clingcon_twostage,two-stage,clingcon,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,,600,3,600.295,600.267,0.021,600.246,5745,False,True,30602084.667,14090614.0,24143.667,6273,600.047,0.22,5003,1270,5745,28,False,True
naive_oneshot,one-shot,naive,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,3,600,3,603.548,603.201,3.182,600.019,10485,False,True,3909011.0,545460.667,1235.667,4048919,,,,,,,,
naive_twostage,two-stage,naive,layered_medium_seed2,medium,2,8,3,45,2,0.402,3.094,,600,3,600.411,600.39,0.046,600.344,5310,False,True,32251687.0,12346857.667,19538.667,11361,600.05,0.34,10062,1299,5310,27,False,True
clingcon_oneshot,one-shot,clingcon,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,3,600,3,600.1,600.072,0.057,600.015,165305,False,True,18447084.0,15099461.667,120738.333,8820,,,,,,,,
clingcon_twostage,two-stage,clingcon,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,,600,3,1200.097,1200.071,0.025,1200.046,15393,False,True,67307526.333,45993926.333,75893.333,6634,600.047,600.024,4473,2161,15393,44,False,False
naive_oneshot,one-shot,naive,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,3,600,3,603.434,603.07,3.016,600.054,35983,False,True,1997477.667,276576.333,636.0,1806275,,,,,,,,
naive_twostage,two-stage,naive,layered_medium_seed3,medium,3,8,3,40,2,0.357,1.944,,600,3,600.169,600.143,0.085,600.058,16009,False,True,21545699.0,8301130.0,14378.333,10921,600.082,0.061,9087,1834,16009,45,False,True
clingcon_oneshot,one-shot,clingcon,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,3,600,3,20.803,20.795,0.064,20.731,4023,True,True,341207.0,166534.0,2426.0,14303,,,,,,,,
clingcon_twostage,two-stage,clingcon,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,,600,3,357.247,357.238,0.009,357.229,1866,True,True,30801281.0,14865862.0,24590.0,5171,357.218,0.019,4367,804,1866,16,True,True
naive_oneshot,one-shot,naive,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,3,600,3,607.722,607.043,7.009,600.034,4023,False,True,2834829.333,246937.667,592.333,3511538,,,,,,,,
naive_twostage,two-stage,naive,layered_medium_seed4,medium,4,8,3,39,2,0.348,4.333,,600,3,600.098,600.082,0.071,600.011,2990,False,True,20578943.0,8351489.667,13995.667,10133,600.068,0.014,8898,1235,2990,22,False,True
clingcon_oneshot,one-shot,clingcon,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,3,600,3,600.063,600.058,0.019,600.039,47024,False,True,7291805.667,4883268.333,38756.0,10536,,,,,,,,
clingcon_twostage,two-stage,clingcon,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,,600,3,600.041,600.035,0.008,600.026,6616,False,True,58648550.0,30839659.667,44306.333,5907,600.017,0.018,4579,1328,6616,33,False,True
naive_oneshot,one-shot,naive,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,3,600,3,603.148,603.028,3.015,600.013,8296,False,True,3815175.333,714957.0,1634.667,3687731,,,,,,,,
naive_twostage,two-stage,naive,layered_medium_seed5,medium,5,8,3,41,2,0.366,2.562,,600,3,614.272,614.266,0.039,614.227,6680,False,True,41892985.667,16992454.333,29811.0,10717,600.041,14.225,9286,1431,6680,35,False,True
