solver,encoding_family,backend,instance,instance_size,seed,n_locations,n_parts,n_routes,n_transports,density,capacity_tightness,num_bins,time_limit,num_runs,avg_wall_time,avg_total_time,avg_ground_time,avg_solve_time,cost,optimum,satisfiable,avg_choices,avg_conflicts,avg_restarts,atoms,avg_s1_time,avg_s2_time,s1_atoms,s2_atoms,s1_cost,s2_cost,s1_optimum,s2_optimum
clingcon_oneshot,one-shot,clingcon,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,3,600,3,2.827,2.819,0.009,2.81,12142,True,True,122048.0,77432.0,1081.0,2883,,,,,,,,
clingcon_twostage,two-stage,clingcon,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,,600,3,468.301,468.224,0.017,468.207,4002,True,True,57556882.0,54732288.0,92153.0,2957,14.552,453.671,1887,1070,4002,26,True,True
naive_oneshot,one-shot,naive,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,3,600,3,600.809,600.6,0.569,600.031,12142,False,True,7278444.333,2280195.667,4263.333,611792,,,,,,,,
naive_twostage,two-stage,naive,layered_small_seed1,small,1,6,2,17,2,0.283,1.336,,600,3,540.954,540.931,0.019,540.912,4002,True,True,42229776.0,20936300.0,34811.0,5200,535.863,5.068,3368,1832,4002,26,True,True
clingcon_oneshot,one-shot,clingcon,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,3,600,3,4.41,4.401,0.017,4.384,3929,True,True,79468.0,44949.0,833.0,3624,,,,,,,,
clingcon_twostage,two-stage,clingcon,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,,600,3,8.027,8.018,0.009,8.009,1707,True,True,759521.0,420859.0,1058.0,2975,7.896,0.122,2338,637,1707,17,True,True
naive_oneshot,one-shot,naive,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,3,600,3,601.409,600.885,0.837,600.048,3929,False,True,5841950.0,1495764.0,3465.333,929387,,,,,,,,
naive_twostage,two-stage,naive,layered_small_seed2,small,2,6,2,22,2,0.367,1.589,,600,3,44.299,44.291,0.032,44.258,1707,True,True,2352013.0,1118240.0,2793.0,5253,41.058,3.233,4153,1100,1707,17,True,True
clingcon_oneshot,one-shot,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,3,600,3,11.424,11.417,0.011,11.406,11024,True,True,207822.0,150143.0,1697.0,2619,,,,,,,,
clingcon_twostage,two-stage,clingcon,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,3,614.618,614.593,0.012,614.581,5756,False,True,16963283.333,15502408.333,26743.0,3072,14.56,600.033,1838,1234,5756,37,True,False
naive_oneshot,one-shot,naive,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,3,600,3,600.669,600.58,0.567,600.013,11024,False,True,4619794.667,1464944.667,3016.333,419657,,,,,,,,
naive_twostage,two-stage,naive,layered_small_seed3,small,3,6,2,17,2,0.283,1.027,,600,3,1200.095,1200.067,0.037,1200.031,6192,False,True,71010338.0,49997073.333,92564.333,5718,600.042,600.025,3365,2353,6192,39,False,False
clingcon_oneshot,one-shot,clingcon,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,3,600,3,342.706,342.684,0.015,342.669,8480,True,True,5468665.0,3781103.0,25082.0,2890,,,,,,,,
clingcon_twostage,two-stage,clingcon,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,,600,3,98.612,98.599,0.01,98.589,3784,True,True,5538242.0,4757401.0,8313.0,2823,98.213,0.386,1838,985,3784,26,True,True
naive_oneshot,one-shot,naive,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,3,600,3,600.878,600.797,0.78,600.017,8488,False,True,4547871.667,1191280.667,2550.333,612036,,,,,,,,
naive_twostage,two-stage,naive,layered_small_seed4,small,4,6,2,17,2,0.283,1.303,,600,3,602.275,602.258,0.032,602.227,3784,False,True,29078443.667,13031914.333,25081.333,4665,600.035,2.223,3367,1298,3784,25,False,True
clingcon_oneshot,one-shot,clingcon,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,3,600,3,207.778,207.767,0.018,207.749,13825,True,True,2002921.0,1472171.0,14969.0,4154,,,,,,,,
clingcon_twostage,two-stage,clingcon,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,,600,3,600.05,600.041,0.012,600.029,4270,False,True,46291137.667,22951641.333,40426.0,2800,600.027,0.014,2238,562,4270,17,False,True
naive_oneshot,one-shot,naive,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,3,600,3,601.756,601.585,1.567,600.018,19180,False,True,3277265.333,789426.333,1945.333,1134979,,,,,,,,
naive_twostage,two-stage,naive,layered_small_seed5,small,5,6,2,21,2,0.35,2.1,,600,3,600.063,600.055,0.032,600.022,4270,False,True,34816907.0,14014228.333,24467.0,4904,600.037,0.018,3998,906,4270,17,False,True
